Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,3.22,3.255,2.874,2.93,1197856.0,2024-11-17 23:59:59.999,3665684.83890000,26138,565243.90000000,1732165.08200000,0
2024-11-18,2.935,3.299,2.909,3.228,1478278.0,2024-11-18 23:59:59.999,4642536.01020000,31879,781996.90000000,2457352.61650000,0
2024-11-19,3.225,3.344,3.034,3.129,1060060.0,2024-11-19 23:59:59.999,3368692.78160000,23584,490957.40000000,1561774.50370000,0
2024-11-20,3.13,3.156,2.907,2.973,743862.6,2024-11-20 23:59:59.999,2249027.22690000,16795,340659.70000000,1030348.35920000,0
2024-11-21,2.973,3.354,2.881,3.28,1984903.3,2024-11-21 23:59:59.999,6295345.28420000,51110,1028729.30000000,3260219.21570000,0
2024-11-22,3.281,3.512,3.238,3.502,2115515.4,2024-11-22 23:59:59.999,7122138.78900000,48924,1102135.90000000,3713272.09110000,0
2024-11-23,3.503,3.9,3.47,3.691,3008255.4,2024-11-23 23:59:59.999,11254201.24680000,76882,1565400.80000000,5859714.18750000,0
2024-11-24,3.692,3.98,3.424,3.788,2237883.9,2024-11-24 23:59:59.999,8314471.64080000,61364,1149929.80000000,4275012.20860000,0
2024-11-25,3.791,3.873,3.499,3.581,1223258.7,2024-11-25 23:59:59.999,4550511.36980000,36684,620376.10000000,2308691.39590000,0
2024-11-26,3.58,3.729,3.349,3.541,1096447.5,2024-11-26 23:59:59.999,3863036.25690000,33144,544826.20000000,1920957.74880000,0
2024-11-27,3.538,3.767,3.466,3.761,750253.4,2024-11-27 23:59:59.999,2695014.76100000,22017,376884.40000000,1354326.65030000,0
2024-11-28,3.76,3.792,3.581,3.692,816768.1,2024-11-28 23:59:59.999,3009652.84350000,26576,394021.30000000,1451938.44020000,0
2024-11-29,3.694,3.934,3.593,3.915,707927.8,2024-11-29 23:59:59.999,2656847.15590000,19273,371673.50000000,1396354.84300000,0
2024-11-30,3.914,3.99,3.818,3.923,859264.0,2024-11-30 23:59:59.999,3358240.20830000,24316,429151.40000000,1677974.54620000,0
2024-12-01,3.916,4.041,3.77,4.023,737858.2,2024-12-01 23:59:59.999,2881822.39710000,19894,364578.80000000,1425255.37820000,0
2024-12-02,4.026,4.354,3.801,4.268,3034608.2,2024-12-02 23:59:59.999,12533699.10520000,101168,1456988.40000000,6027667.61570000,0
2024-12-03,4.266,5.742,4.082,5.738,5596744.7,2024-12-03 23:59:59.999,26313523.14710000,235612,2885579.20000000,13610448.11970000,0
2024-12-04,5.735,5.742,4.755,5.018,3591490.7,2024-12-04 23:59:59.999,18603519.31300000,131232,1699955.60000000,8805995.01420000,0
2024-12-05,5.021,5.046,4.608,4.763,1641212.8,2024-12-05 23:59:59.999,7985804.88000000,68756,775404.80000000,3772936.24260000,0
