Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.04312,0.0474,0.04085,0.04184,180009561.0,2024-11-17 23:59:59.999,7961774.31539000,87325,84041934.00000000,3729472.85234000,0
2024-11-18,0.04183,0.04593,0.04134,0.04477,67793050.0,2024-11-18 23:59:59.999,2978634.96298000,38038,33253802.00000000,1463368.27955000,0
2024-11-19,0.04467,0.04473,0.0408,0.04203,35726230.0,2024-11-19 23:59:59.999,1526559.12716000,22675,17345140.00000000,740950.76485000,0
2024-11-20,0.04199,0.04272,0.04002,0.04087,35755839.0,2024-11-20 23:59:59.999,1477588.18839000,22014,17481207.00000000,722088.70903000,0
2024-11-21,0.04084,0.04393,0.04,0.04382,54125702.0,2024-11-21 23:59:59.999,2278926.93700000,26546,27985398.00000000,1178154.87343000,0
2024-11-22,0.0438,0.04498,0.04228,0.04498,39438991.0,2024-11-22 23:59:59.999,1722365.77023000,22985,20859118.00000000,910911.60620000,0
2024-11-23,0.04495,0.04853,0.04473,0.04732,53597949.0,2024-11-23 23:59:59.999,2513945.83479000,36828,25992181.00000000,1217980.47027000,0
2024-11-24,0.04719,0.05034,0.04492,0.04954,110706425.0,2024-11-24 23:59:59.999,5355783.59760000,72696,54279885.00000000,2629330.84399000,0
2024-11-25,0.04957,0.05034,0.04548,0.04652,46512334.0,2024-11-25 23:59:59.999,2250270.58640000,36399,22930879.00000000,1108990.88729000,0
2024-11-26,0.04647,0.04959,0.04534,0.04662,52286334.0,2024-11-26 23:59:59.999,2467135.32600000,37610,25914002.00000000,1222091.48804000,0
2024-11-27,0.04662,0.0501,0.04574,0.0498,37839715.0,2024-11-27 23:59:59.999,1819319.14798000,25408,19631226.00000000,943383.65937000,0
2024-11-28,0.04979,0.05163,0.04878,0.05097,27926182.0,2024-11-28 23:59:59.999,1396838.76717000,21611,12778014.00000000,638967.20598000,0
2024-11-29,0.05098,0.05187,0.04936,0.05044,30063323.0,2024-11-29 23:59:59.999,1519114.57547000,22783,12923313.00000000,653483.06951000,0
2024-11-30,0.05046,0.05399,0.04966,0.0529,58817397.0,2024-11-30 23:59:59.999,3073309.15157000,36332,29530262.00000000,1542712.57347000,0
2024-12-01,0.05293,0.05463,0.05168,0.05315,43358005.0,2024-12-01 23:59:59.999,2307621.57236000,31918,21159126.00000000,1126748.71772000,0
2024-12-02,0.05314,0.05584,0.05011,0.05576,71182653.0,2024-12-02 23:59:59.999,3779993.41549000,59261,32585647.00000000,1730779.06678000,0
2024-12-03,0.05577,0.06143,0.05402,0.06121,56464483.0,2024-12-03 23:59:59.999,3268167.10535000,58576,27998156.00000000,1619458.52764000,0
2024-12-04,0.06122,0.06487,0.06016,0.06197,42675952.0,2024-12-04 23:59:59.999,2673205.90228000,51798,21021895.00000000,1316445.36557000,0
2024-12-05,0.06199,0.06599,0.05835,0.06281,59403148.0,2024-12-05 23:59:59.999,3766542.00436000,67308,28933160.00000000,1837735.59850000,0
2024-12-06,0.06283,0.06685,0.06205,0.06617,37322796.0,2024-12-06 23:59:59.999,2413226.04898000,48089,19253640.00000000,1244191.49096000,0
2024-12-07,0.06619,0.06665,0.06367,0.06389,45757285.0,2024-12-07 23:59:59.999,2973908.38746000,45996,23134300.00000000,1503329.88390000,0
2024-12-08,0.06388,0.06949,0.06203,0.06765,81941738.0,2024-12-08 23:59:59.999,5413302.14406000,67917,42598072.00000000,2817575.01322000,0
2024-12-09,0.06764,0.06768,0.04776,0.05399,88901702.0,2024-12-09 23:59:59.999,5218230.79727000,82484,41836805.00000000,2453426.11429000,0
2024-12-10,0.05395,0.05507,0.04652,0.05151,53281206.0,2024-12-10 23:59:59.999,2737995.80455000,55103,26152817.00000000,1343298.45252000,0
2024-12-11,0.05151,0.05629,0.04946,0.05591,36571638.0,2024-12-11 23:59:59.999,1953175.98865000,31551,17220634.00000000,918825.86489000,0
2024-12-12,0.0559,0.05916,0.05534,0.05758,46595910.0,2024-12-12 23:59:59.999,2687376.98892000,48420,22489495.00000000,1297376.86235000,0
2024-12-13,0.05758,0.06182,0.05625,0.05997,121719050.0,2024-12-13 23:59:59.999,7287084.34678000,105281,56928723.00000000,3408948.92704000,0
2024-12-14,0.05999,0.0609,0.05481,0.05612,40627499.0,2024-12-14 23:59:59.999,2371953.84766000,33427,20276590.00000000,1184592.23914000,0
2024-12-15,0.0561,0.05866,0.05454,0.05851,25877681.0,2024-12-15 23:59:59.999,1471292.37916000,25234,13273828.00000000,754879.54032000,0
2024-12-16,0.0585,0.05956,0.05561,0.05677,22935475.0,2024-12-16 23:59:59.999,1315000.07140000,26428,11119988.00000000,636447.64992000,0
2024-12-17,0.0568,0.05749,0.05298,0.05367,25361158.0,2024-12-17 23:59:59.999,1412624.96894000,27116,12317827.00000000,684576.14719000,0
2024-12-18,0.05363,0.05387,0.04671,0.0473,72831776.0,2024-12-18 23:59:59.999,3692860.94327000,66674,38349770.00000000,1948821.36690000,0
2024-12-19,0.04724,0.0478,0.04137,0.04291,53219590.0,2024-12-19 23:59:59.999,2390422.13962000,48267,26882398.00000000,1208280.89769000,0
2024-12-20,0.04294,0.04526,0.03769,0.04504,62550937.0,2024-12-20 23:59:59.999,2633339.11207000,57153,31336985.00000000,1319495.64436000,0
2024-12-21,0.04503,0.04709,0.04126,0.04188,49147311.0,2024-12-21 23:59:59.999,2170908.78041000,37676,22911528.00000000,1007629.94372000,0
2024-12-22,0.04194,0.04295,0.04023,0.04157,34266517.0,2024-12-22 23:59:59.999,1437476.92220000,31661,16134579.00000000,676718.98068000,0
2024-12-23,0.04155,0.04481,0.04044,0.04408,35266690.0,2024-12-23 23:59:59.999,1500834.56154000,31879,16836105.00000000,716073.80997000,0
2024-12-24,0.04408,0.04692,0.04292,0.04636,25814945.0,2024-12-24 23:59:59.999,1163312.49458000,22774,12794019.00000000,577935.59777000,0
2024-12-25,0.04637,0.04694,0.04488,0.04559,20489877.0,2024-12-25 23:59:59.999,939631.10545000,22498,10219522.00000000,468017.25289000,0
2024-12-26,0.0456,0.04595,0.04175,0.04244,19196920.0,2024-12-26 23:59:59.999,831508.55390000,16531,9201887.00000000,398514.91287000,0
2024-12-27,0.04247,0.04454,0.04199,0.0429,34800119.0,2024-12-27 23:59:59.999,1501937.04495000,21978,17373679.00000000,750188.30052000,0
2024-12-28,0.04294,0.04648,0.04268,0.04494,40825117.0,2024-12-28 23:59:59.999,1823740.38743000,25653,15180455.00000000,679224.18376000,0
2024-12-29,0.04496,0.0452,0.04323,0.04358,20399148.0,2024-12-29 23:59:59.999,906392.32611000,15727,10233423.00000000,454667.56265000,0
2024-12-30,0.04358,0.04481,0.04208,0.0432,17111835.0,2024-12-30 23:59:59.999,747356.81968000,13845,8321100.00000000,362753.90431000,0
2024-12-31,0.04321,0.04407,0.04187,0.04212,14193789.0,2024-12-31 23:59:59.999,607216.25677000,10829,7134147.00000000,305023.46726000,0
2025-01-01,0.04209,0.04378,0.04149,0.04347,13408484.0,2025-01-01 23:59:59.999,573878.19876000,10261,8827462.00000000,378067.67694000,0
2025-01-02,0.0435,0.04546,0.04333,0.04459,16432091.0,2025-01-02 23:59:59.999,729788.18675000,10532,7942033.00000000,352642.09024000,0
2025-01-03,0.04461,0.04677,0.04359,0.0465,22139911.0,2025-01-03 23:59:59.999,993542.72654000,15063,10863800.00000000,486532.90085000,0
2025-01-04,0.04652,0.04761,0.04602,0.04719,9968885.0,2025-01-04 23:59:59.999,467217.78662000,10250,4623754.00000000,216595.98738000,0
2025-01-05,0.0472,0.0473,0.04588,0.04664,12093060.0,2025-01-05 23:59:59.999,563980.73659000,10072,5409159.00000000,252491.85506000,0
2025-01-06,0.04665,0.04875,0.0457,0.04743,21055612.0,2025-01-06 23:59:59.999,997646.33934000,18318,10750029.00000000,509580.66140000,0
2025-01-07,0.04743,0.04761,0.04241,0.04256,22337346.0,2025-01-07 23:59:59.999,1011368.09691000,21107,10957361.00000000,494210.65515000,0
2025-01-08,0.04254,0.04314,0.03912,0.04106,21263828.0,2025-01-08 23:59:59.999,879344.99188000,18991,12668079.00000000,524864.53589000,0
2025-01-09,0.04098,0.04175,0.0392,0.04021,15190706.0,2025-01-09 23:59:59.999,617777.82040000,13643,7015694.00000000,285176.80669000,0
2025-01-10,0.04021,0.04159,0.03966,0.041,11658983.0,2025-01-10 23:59:59.999,474591.45187000,11513,4700593.00000000,190868.52890000,0
2025-01-11,0.04097,0.04168,0.04022,0.04093,7568460.0,2025-01-11 23:59:59.999,309026.38315000,7295,4025465.00000000,164387.32903000,0
2025-01-12,0.04094,0.04139,0.03973,0.04026,8556382.0,2025-01-12 23:59:59.999,348593.37720000,8608,4958569.00000000,201846.89014000,0
2025-01-13,0.04027,0.04135,0.03591,0.03859,22302171.0,2025-01-13 23:59:59.999,846821.15433000,19444,9454341.00000000,358561.42037000,0
2025-01-14,0.03866,0.04041,0.03833,0.04003,9527031.0,2025-01-14 23:59:59.999,374808.07928000,10121,4338374.00000000,170291.55503000,0
2025-01-15,0.04004,0.04226,0.03901,0.04223,16839691.0,2025-01-15 23:59:59.999,684004.42207000,14437,8177564.00000000,331243.64328000,0
2025-01-16,0.04226,0.04246,0.04072,0.04112,12750810.0,2025-01-16 23:59:59.999,531385.07989000,13624,5844582.00000000,243409.04962000,0
2025-01-17,0.04115,0.04402,0.04115,0.04368,13983341.0,2025-01-17 23:59:59.999,598393.05553000,12204,6312035.00000000,269813.75964000,0
2025-01-18,0.04371,0.04404,0.04013,0.04107,20070383.0,2025-01-18 23:59:59.999,824965.82026000,15303,10448030.00000000,428885.94258000,0
2025-01-19,0.04107,0.04206,0.03621,0.03685,42543344.0,2025-01-19 23:59:59.999,1650082.66015000,30855,20085066.00000000,780651.31295000,0
2025-01-20,0.03685,0.03935,0.03392,0.03464,50236017.0,2025-01-20 23:59:59.999,1823372.13688000,33608,24592492.00000000,894050.11709000,0
2025-01-21,0.03465,0.03598,0.03309,0.0353,38678846.0,2025-01-21 23:59:59.999,1322280.08384000,22795,22024905.00000000,751356.86966000,0
2025-01-22,0.03527,0.03574,0.03418,0.03434,23415833.0,2025-01-22 23:59:59.999,821562.17860000,14783,11301482.00000000,396740.40730000,0
2025-01-23,0.03434,0.03458,0.03258,0.03379,31829666.0,2025-01-23 23:59:59.999,1067222.06662000,17368,14251307.00000000,478091.26772000,0
2025-01-24,0.03385,0.03427,0.03166,0.03195,71424455.0,2025-01-24 23:59:59.999,2385842.19461000,19203,29229614.00000000,971506.73029000,0
2025-01-25,0.03193,0.03262,0.03136,0.03224,16672775.0,2025-01-25 23:59:59.999,534959.44965000,7817,7985965.00000000,256327.52654000,0
2025-01-26,0.03224,0.03322,0.03162,0.03168,13520715.0,2025-01-26 23:59:59.999,441145.06666000,6314,5068808.00000000,165425.46804000,0
2025-01-27,0.03168,0.03184,0.02845,0.03147,38773954.0,2025-01-27 23:59:59.999,1166605.44309000,17444,18440721.00000000,555595.08149000,0
2025-01-28,0.03146,0.03175,0.02938,0.02979,16652047.0,2025-01-28 23:59:59.999,511964.07215000,9548,8669778.00000000,266116.81364000,0
2025-01-29,0.02979,0.03153,0.02962,0.03042,18245774.0,2025-01-29 23:59:59.999,557538.20738000,11750,9088726.00000000,277207.49981000,0
2025-01-30,0.03044,0.03235,0.03013,0.03194,16573260.0,2025-01-30 23:59:59.999,525149.47016000,8230,7458483.00000000,236397.91795000,0
2025-01-31,0.03197,0.0346,0.03156,0.03239,54249019.0,2025-01-31 23:59:59.999,1815522.28854000,18142,29593261.00000000,989835.46634000,0
2025-02-01,0.03237,0.03272,0.0294,0.02961,30398171.0,2025-02-01 23:59:59.999,955848.66481000,14991,17290080.00000000,544042.40780000,0
2025-02-02,0.02961,0.03047,0.02429,0.02575,57849332.0,2025-02-02 23:59:59.999,1584924.79628000,28522,27024049.00000000,742346.56965000,0
2025-02-03,0.02573,0.02671,0.01951,0.02644,97036536.0,2025-02-03 23:59:59.999,2237946.31614000,38142,48957138.00000000,1130365.59462000,0
2025-02-04,0.02642,0.0266,0.02387,0.02513,60296301.0,2025-02-04 23:59:59.999,1524655.41376000,17103,29324664.00000000,742009.57470000,0
2025-02-05,0.02507,0.02611,0.0245,0.02499,23507110.0,2025-02-05 23:59:59.999,593737.44022000,8609,11981903.00000000,302717.79064000,0
2025-02-06,0.02494,0.02546,0.02302,0.02331,21869335.0,2025-02-06 23:59:59.999,531692.22322000,8949,11121749.00000000,270585.99121000,0
2025-02-07,0.02331,0.0252,0.02279,0.02361,19134545.0,2025-02-07 23:59:59.999,459667.92937000,8817,9660091.00000000,231129.90067000,0
2025-02-08,0.0236,0.02557,0.02343,0.02536,17342221.0,2025-02-08 23:59:59.999,422860.38849000,6725,8731834.00000000,213130.14069000,0
2025-02-09,0.02536,0.02656,0.02423,0.0255,25835688.0,2025-02-09 23:59:59.999,662680.72154000,11232,13396352.00000000,343769.77890000,0
2025-02-10,0.02552,0.02629,0.02443,0.0262,23558341.0,2025-02-10 23:59:59.999,601560.93902000,8883,12386522.00000000,316056.12243000,0
2025-02-11,0.02619,0.02765,0.02567,0.02604,23239579.0,2025-02-11 23:59:59.999,619728.34132000,8880,11679605.00000000,311888.23803000,0
2025-02-12,0.02604,0.02957,0.02534,0.02871,50461503.0,2025-02-12 23:59:59.999,1404909.81503000,17965,24924205.00000000,696596.74091000,0
2025-02-13,0.02874,0.02892,0.02681,0.02758,24518697.0,2025-02-13 23:59:59.999,681886.47557000,12254,11197855.00000000,310975.46511000,0
2025-02-14,0.02753,0.02829,0.02631,0.02751,40226827.0,2025-02-14 23:59:59.999,1092553.99569000,13746,20063958.00000000,544252.72394000,0
2025-02-15,0.0275,0.02755,0.02603,0.02618,17535405.0,2025-02-15 23:59:59.999,471074.04474000,7047,7404297.00000000,199219.47520000,0
2025-02-16,0.02616,0.02728,0.02579,0.02653,13556591.0,2025-02-16 23:59:59.999,359953.76446000,7114,6692492.00000000,177455.00556000,0
