Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.131,0.136,0.1297,0.1324,63449070.6,2024-09-19 23:59:59.999,8446406.22362000,79615,32129946.30000000,4279307.85015000,0
2024-09-20,0.1325,0.1381,0.1276,0.1305,60978788.7,2024-09-20 23:59:59.999,8073175.13709000,80789,29125151.20000000,3858087.64416000,0
2024-09-21,0.1305,0.1328,0.1259,0.1322,32173087.5,2024-09-21 23:59:59.999,4161911.02056000,64705,15886333.80000000,2056077.22691000,0
2024-09-22,0.1323,0.134,0.1268,0.131,60812366.3,2024-09-22 23:59:59.999,7949661.46458000,84598,30011425.50000000,3926529.48656000,0
2024-09-23,0.131,0.1356,0.1282,0.1334,55313992.7,2024-09-23 23:59:59.999,7344372.25997000,76720,24678343.50000000,3278415.30529000,0
2024-09-24,0.1335,0.1391,0.1303,0.1373,50350822.1,2024-09-24 23:59:59.999,6784038.76205000,81215,26021828.30000000,3508483.64187000,0
2024-09-25,0.1374,0.1422,0.1334,0.1369,58385701.2,2024-09-25 23:59:59.999,8024197.37923000,99258,28716271.50000000,3951150.02439000,0
2024-09-26,0.1369,0.1451,0.1354,0.1445,94253029.2,2024-09-26 23:59:59.999,13332377.67647000,121171,49813338.20000000,7055590.24344000,0
2024-09-27,0.1444,0.1532,0.1433,0.1483,69825593.3,2024-09-27 23:59:59.999,10377305.55138000,80931,32748994.10000000,4871724.02508000,0
2024-09-28,0.1484,0.1512,0.1401,0.1426,37621679.6,2024-09-28 23:59:59.999,5442181.48474000,57371,16603818.40000000,2402403.45785000,0
2024-09-29,0.1426,0.1485,0.1373,0.1446,33812741.4,2024-09-29 23:59:59.999,4826259.34071000,51588,15984105.60000000,2281515.46399000,0
2024-09-30,0.1447,0.148,0.1393,0.1406,48703814.0,2024-09-30 23:59:59.999,7022146.51109000,67538,23930134.50000000,3453091.25147000,0
2024-10-01,0.1406,0.1507,0.114,0.1197,136366138.8,2024-10-01 23:59:59.999,17678429.94671000,135311,71378785.20000000,9207857.99108000,0
