Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.495,1.61,1.493,1.574,3268860.5,2024-09-19 23:59:59.999,5116916.75000000,45054,1619838.50000000,2533715.04080000,0
2024-09-20,1.574,1.67,1.549,1.597,3078432.8,2024-09-20 23:59:59.999,4985678.54050000,45031,1525758.80000000,2470050.72410000,0
2024-09-21,1.597,1.62,1.561,1.616,1037559.1,2024-09-21 23:59:59.999,1649197.93990000,18095,529956.90000000,842495.47100000,0
2024-09-22,1.618,1.621,1.482,1.518,1539740.1,2024-09-22 23:59:59.999,2368867.56630000,30521,673096.80000000,1036730.84830000,0
2024-09-23,1.519,1.563,1.49,1.514,2648757.7,2024-09-23 23:59:59.999,4029814.74390000,45144,1155059.40000000,1758163.02070000,0
2024-09-24,1.514,1.642,1.486,1.623,3401233.2,2024-09-24 23:59:59.999,5294022.51290000,43778,1768311.00000000,2757991.70310000,0
2024-09-25,1.624,1.641,1.518,1.523,2670167.6,2024-09-25 23:59:59.999,4183919.38400000,31829,1225141.80000000,1920181.45460000,0
2024-09-26,1.522,1.682,1.509,1.659,3965693.9,2024-09-26 23:59:59.999,6359440.31850000,44270,2001348.20000000,3213490.60720000,0
2024-09-27,1.659,1.818,1.653,1.771,4937374.3,2024-09-27 23:59:59.999,8648784.40200000,51106,2470636.30000000,4328812.79320000,0
2024-09-28,1.772,1.825,1.708,1.774,2463931.2,2024-09-28 23:59:59.999,4337013.75770000,32056,1114991.50000000,1963352.28510000,0
2024-09-29,1.775,1.924,1.748,1.92,4731299.1,2024-09-29 23:59:59.999,8752576.62700000,58639,2296905.50000000,4250224.94170000,0
2024-09-30,1.919,1.983,1.829,1.846,5022158.9,2024-09-30 23:59:59.999,9510614.72280000,63011,2399260.40000000,4547218.21620000,0
2024-10-01,1.845,1.934,1.623,1.678,6572750.3,2024-10-01 23:59:59.999,11534538.46440000,66123,3260941.90000000,5722463.78690000,0
