Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,7.039,7.349,6.622,7.08,8582071.23,2024-11-17 23:59:59.999,60543880.27469000,234525,4298405.96000000,30337122.79971000,0
2024-11-18,7.081,8.12,7.039,7.666,15918578.72,2024-11-18 23:59:59.999,122687842.05281000,436671,8079077.79000000,62271098.03008000,0
2024-11-19,7.665,8.3,7.384,7.881,12836262.71,2024-11-19 23:59:59.999,101455416.54446000,308035,6473994.78000000,51218438.60811000,0
2024-11-20,7.878,8.211,7.321,7.35,10775154.64,2024-11-20 23:59:59.999,84437096.26297000,283296,5252449.66000000,41205809.41303000,0
2024-11-21,7.349,7.647,7.059,7.34,11373406.27,2024-11-21 23:59:59.999,83775200.25214000,268602,5688149.18000000,41932899.31416000,0
2024-11-22,7.341,7.582,6.96,7.582,8017954.46,2024-11-22 23:59:59.999,58340990.55257000,198216,3967246.57000000,28873758.01371000,0
2024-11-23,7.583,8.209,7.457,7.669,10976050.88,2024-11-23 23:59:59.999,85699405.67515000,311419,5344402.30000000,41755238.14726000,0
2024-11-24,7.669,8.13,7.232,8.045,10405105.95,2024-11-24 23:59:59.999,80397508.60184000,293050,5247158.88000000,40547054.58643000,0
2024-11-25,8.047,8.287,7.344,7.5,10380246.55,2024-11-25 23:59:59.999,81610555.32702000,312486,4981498.85000000,39232662.65846000,0
2024-11-26,7.5,7.759,7.1,7.433,6964742.31,2024-11-26 23:59:59.999,51345944.93244000,195626,3281204.71000000,24227424.31055000,0
2024-11-27,7.437,8.0,7.321,7.911,5509433.66,2024-11-27 23:59:59.999,42291437.02373000,156285,2725469.91000000,20930534.57177000,0
2024-11-28,7.912,8.8,7.901,8.544,11617695.32,2024-11-28 23:59:59.999,96558560.08227000,356571,5913366.68000000,49182569.04450000,0
2024-11-29,8.543,8.99,8.364,8.735,7494687.57,2024-11-29 23:59:59.999,65418617.94749000,235615,3876826.01000000,33831272.25835000,0
2024-11-30,8.731,9.145,8.65,8.887,6059148.75,2024-11-30 23:59:59.999,53633258.34759000,199948,3077727.28000000,27245035.63222000,0
2024-12-01,8.888,8.95,8.626,8.718,4117397.03,2024-12-01 23:59:59.999,36142516.24777000,143395,2094520.00000000,18396580.54886000,0
2024-12-02,8.717,8.839,8.0,8.745,9581234.8,2024-12-02 23:59:59.999,80637320.20312000,296468,4641055.91000000,39079508.89783000,0
2024-12-03,8.745,9.288,8.201,8.921,10625525.85,2024-12-03 23:59:59.999,93687215.44967000,358581,5477156.05000000,48357667.24732000,0
2024-12-04,8.923,9.116,8.449,8.676,8884382.03,2024-12-04 23:59:59.999,78572010.93313000,287954,4490811.89000000,39731031.04865000,0
2024-12-05,8.675,11.9,8.181,10.095,38583551.06,2024-12-05 23:59:59.999,396348624.27032000,1111746,19432270.05000000,199482147.85233000,0
2024-12-06,10.094,11.078,9.813,10.476,14963575.52,2024-12-06 23:59:59.999,156257034.48509000,557773,7205262.10000000,75362316.28934000,0
2024-12-07,10.474,10.56,10.11,10.272,4124508.64,2024-12-07 23:59:59.999,42593018.08002000,153972,1922719.91000000,19860329.33469000,0
2024-12-08,10.276,10.52,9.94,10.274,3845835.82,2024-12-08 23:59:59.999,39307532.41691000,139111,1768457.92000000,18082432.49669000,0
2024-12-09,10.274,10.274,7.785,8.911,13033016.99,2024-12-09 23:59:59.999,119494644.97358000,450798,6049892.39000000,55317688.25332000,0
2024-12-10,8.911,9.108,8.07,8.724,10493975.99,2024-12-10 23:59:59.999,89922639.71682000,347172,5240586.85000000,44939618.76364000,0
2024-12-11,8.724,9.994,8.37,9.611,8212419.29,2024-12-11 23:59:59.999,76687757.57430000,257753,4194670.02000000,39123605.49565000,0
2024-12-12,9.611,10.1,9.371,9.495,5460242.52,2024-12-12 23:59:59.999,53269662.88459000,187967,2677083.92000000,26133372.13333000,0
2024-12-13,9.496,9.633,9.073,9.413,4514925.31,2024-12-13 23:59:59.999,42174985.97848000,138368,2256493.89000000,21085254.65465000,0
2024-12-14,9.414,9.528,8.803,9.073,3039302.52,2024-12-14 23:59:59.999,27812509.94991000,97866,1456847.77000000,13339200.48711000,0
2024-12-15,9.072,9.39,8.824,9.326,2723348.02,2024-12-15 23:59:59.999,24898953.38895000,92387,1422515.53000000,13014952.61232000,0
2024-12-16,9.329,9.705,8.757,8.902,5501195.95,2024-12-16 23:59:59.999,50181737.04648000,152285,2823309.10000000,25763021.11787000,0
2024-12-17,8.902,9.068,8.422,8.526,4412880.96,2024-12-17 23:59:59.999,38824641.60559000,132991,2204095.64000000,19425832.15776000,0
2024-12-18,8.527,8.601,7.647,7.765,6855402.47,2024-12-18 23:59:59.999,56125729.95919000,218954,3298029.12000000,27050127.00433000,0
2024-12-19,7.764,8.019,6.867,7.237,9278811.76,2024-12-19 23:59:59.999,69066859.05293000,282017,4740763.87000000,35351638.46339000,0
2024-12-20,7.238,7.508,6.088,7.378,13958334.62,2024-12-20 23:59:59.999,94985262.88331000,342546,6770168.05000000,46166145.71793000,0
2024-12-21,7.377,8.056,6.964,7.108,7042264.3,2024-12-21 23:59:59.999,52165138.08505000,171326,3379920.00000000,25064022.84808000,0
2024-12-22,7.113,7.372,6.827,7.035,4266147.59,2024-12-22 23:59:59.999,30241850.14306000,104059,2101881.11000000,14919807.05741000,0
2024-12-23,7.037,7.774,6.847,7.663,5501444.94,2024-12-23 23:59:59.999,39775911.79620000,131139,2803499.23000000,20294682.12867000,0
2024-12-24,7.662,7.997,7.515,7.817,4851826.6,2024-12-24 23:59:59.999,37708565.58554000,109662,2380116.63000000,18509791.72256000,0
2024-12-25,7.816,7.85,7.428,7.548,3016902.96,2024-12-25 23:59:59.999,23033337.37944000,69922,1538083.89000000,11744131.53434000,0
2024-12-26,7.548,7.663,7.007,7.118,3054823.06,2024-12-26 23:59:59.999,22125825.27380000,74776,1540807.04000000,11160470.37358000,0
2024-12-27,7.117,7.536,6.955,7.005,3465787.49,2024-12-27 23:59:59.999,24936728.00955000,88371,1766875.97000000,12718305.47678000,0
2024-12-28,7.006,7.235,6.827,7.152,2385399.77,2024-12-28 23:59:59.999,16759023.85875000,68730,1204291.48000000,8470120.70914000,0
2024-12-29,7.153,7.178,6.724,6.84,2047350.58,2024-12-29 23:59:59.999,14328759.80316000,60371,937708.88000000,6565048.02968000,0
2024-12-30,6.84,7.106,6.621,6.84,3578508.69,2024-12-30 23:59:59.999,24584156.53130000,88589,1866564.63000000,12832775.75545000,0
2024-12-31,6.839,7.128,6.682,6.792,3140706.79,2024-12-31 23:59:59.999,21637934.71010000,71069,1573625.95000000,10841647.90960000,0
2025-01-01,6.79,7.269,6.633,7.178,2774520.83,2025-01-01 23:59:59.999,19197655.05434000,61743,1380828.33000000,9558883.77380000,0
2025-01-02,7.178,7.884,7.158,7.63,4657477.89,2025-01-02 23:59:59.999,35423434.01628000,131958,2345777.43000000,17825009.59146000,0
2025-01-03,7.632,8.143,7.473,8.062,4027060.97,2025-01-03 23:59:59.999,31601501.75188000,105989,2093762.81000000,16431366.42422000,0
2025-01-04,8.062,8.25,7.925,8.063,3299665.49,2025-01-04 23:59:59.999,26623712.77807000,93699,1603438.08000000,12946108.27663000,0
2025-01-05,8.063,8.45,7.913,8.278,2841475.51,2025-01-05 23:59:59.999,23071566.48404000,83125,1362297.98000000,11080957.14302000,0
2025-01-06,8.281,9.024,8.087,8.912,7086066.88,2025-01-06 23:59:59.999,61438930.57944000,199464,3386940.09000000,29368037.79790000,0
2025-01-07,8.911,8.923,8.031,8.101,7143524.81,2025-01-07 23:59:59.999,60212964.01266000,214407,3447929.97000000,29078700.24748000,0
2025-01-08,8.099,8.248,7.11,7.568,8525784.26,2025-01-08 23:59:59.999,65731327.11038000,202876,4066243.43000000,31347543.91190000,0
