Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.04097,0.04607,0.03873,0.04053,84051205.0,2024-11-17 23:59:59.999,3493132.47071000,54999,40887378.00000000,1700798.74741000,0
2024-11-18,0.04043,0.04414,0.04019,0.04414,49284147.0,2024-11-18 23:59:59.999,2079803.33758000,33980,24026245.00000000,1014434.04773000,0
2024-11-19,0.04414,0.0444,0.04019,0.04128,39325351.0,2024-11-19 23:59:59.999,1663128.01721000,26985,19504101.00000000,825259.91131000,0
2024-11-20,0.04132,0.04132,0.03733,0.03817,34757070.0,2024-11-20 23:59:59.999,1372750.56903000,29790,17291675.00000000,682844.24346000,0
2024-11-21,0.03812,0.04304,0.03672,0.04286,42994557.0,2024-11-21 23:59:59.999,1726235.07131000,36252,21266967.00000000,853572.72171000,0
2024-11-22,0.0429,0.04555,0.04185,0.04531,53002379.0,2024-11-22 23:59:59.999,2307679.40418000,40229,25809199.00000000,1123166.57083000,0
2024-11-23,0.04531,0.05083,0.04529,0.04979,62830888.0,2024-11-23 23:59:59.999,3031170.93473000,52860,31818457.00000000,1534334.70281000,0
2024-11-24,0.04979,0.05552,0.04947,0.05438,69425085.0,2024-11-24 23:59:59.999,3650398.57054000,61792,35349466.00000000,1860602.05504000,0
2024-11-25,0.05442,0.05936,0.05077,0.05209,80001583.0,2024-11-25 23:59:59.999,4443425.86240000,76762,40485150.00000000,2253342.60702000,0
2024-11-26,0.05209,0.0541,0.03456,0.04395,726751450.0,2024-11-26 23:59:59.999,29592006.62469000,342005,386219846.00000000,15715710.46650000,0
2024-11-27,0.04398,0.04442,0.03864,0.0398,161727632.0,2024-11-27 23:59:59.999,6638145.82865000,55660,82002121.00000000,3365958.38783000,0
2024-11-28,0.03979,0.04266,0.03636,0.03763,106614024.0,2024-11-28 23:59:59.999,4105616.78763000,34269,52662960.00000000,2026672.07369000,0
2024-11-29,0.03765,0.11555,0.03682,0.04487,1574014143.0,2024-11-29 23:59:59.999,95723887.87416100,680579,804848041.00000000,48907016.69459100,0
2024-11-30,0.04489,0.065,0.0377,0.05134,905496292.0,2024-11-30 23:59:59.999,45097041.95532000,357230,473214215.00000000,23408450.30468000,0
2024-12-01,0.05128,0.058,0.04921,0.05101,398739751.0,2024-12-01 23:59:59.999,21086972.88118000,130105,192315947.00000000,10152592.21230000,0
2024-12-02,0.05103,0.052,0.04415,0.04836,174868159.0,2024-12-02 23:59:59.999,8327415.42722000,59856,84907276.00000000,4035581.51003000,0
2024-12-03,0.04836,0.052,0.04137,0.04948,204538619.0,2024-12-03 23:59:59.999,9749283.68671000,77003,94659762.00000000,4497137.52437000,0
2024-12-04,0.04952,0.05099,0.04426,0.04836,123863430.0,2024-12-04 23:59:59.999,5933960.98410000,56971,62750183.00000000,2999810.99694000,0
2024-12-05,0.04834,0.06432,0.04426,0.04592,279354019.0,2024-12-05 23:59:59.999,15052677.00325000,139028,132823936.00000000,7139965.04225000,0
2024-12-06,0.04591,0.0517,0.04543,0.04845,77855521.0,2024-12-06 23:59:59.999,3728153.20879000,36522,42023504.00000000,2013083.79956000,0
2024-12-07,0.04842,0.05308,0.04653,0.04735,86340195.0,2024-12-07 23:59:59.999,4226081.59389000,37508,43330544.00000000,2116277.96103000,0
2024-12-08,0.04743,0.0505,0.0459,0.04729,54834605.0,2024-12-08 23:59:59.999,2622073.34592000,26713,26863187.00000000,1283941.08198000,0
2024-12-09,0.04728,0.04741,0.03872,0.04044,59150011.0,2024-12-09 23:59:59.999,2604801.21874000,33376,29260690.00000000,1297751.43276000,0
2024-12-10,0.04044,0.04346,0.03933,0.04274,8442680.0,2024-12-10 02:59:59.999,359578.62915000,2782,6968034.00000000,297790.35409000,0
