Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.006425,0.0068,0.006402,0.006508,1070440506.2,2024-09-19 23:59:59.999,7071143.72446130,36837,540317456.00000000,3570326.48632280,0
2024-09-20,0.00651,0.0071,0.006406,0.007043,1246770960.1,2024-09-20 23:59:59.999,8503861.00331190,44872,619702989.40000000,4228633.30557480,0
2024-09-21,0.007041,0.007081,0.006631,0.006813,556599629.1,2024-09-21 23:59:59.999,3788395.65986900,21730,274350907.60000000,1867858.77336850,0
2024-09-22,0.006805,0.006841,0.006494,0.006746,548800908.7,2024-09-22 23:59:59.999,3653427.25110160,25146,266592925.40000000,1775819.73676640,0
2024-09-23,0.006753,0.00717,0.006618,0.006909,945811002.0,2024-09-23 23:59:59.999,6559072.29004370,39865,473910162.20000000,3285906.01513130,0
2024-09-24,0.006905,0.007118,0.006691,0.006987,725335641.8,2024-09-24 23:59:59.999,5007698.58326880,31723,377444014.90000000,2606067.24909810,0
2024-09-25,0.00699,0.007157,0.006697,0.00675,682060501.7,2024-09-25 23:59:59.999,4688848.04468330,28368,333776737.50000000,2295949.07360150,0
2024-09-26,0.006749,0.00717,0.006633,0.007016,680030714.3,2024-09-26 23:59:59.999,4729513.80255580,26773,343420447.70000000,2390705.48396370,0
2024-09-27,0.007012,0.00762,0.006929,0.00746,1145938031.5,2024-09-27 23:59:59.999,8398028.04983060,45850,590268724.40000000,4325953.58286840,0
2024-09-28,0.007454,0.007694,0.00704,0.007187,649342840.2,2024-09-28 23:59:59.999,4753568.77019090,27391,329045413.10000000,2406240.67952350,0
2024-09-29,0.007188,0.007498,0.006985,0.007344,542873363.0,2024-09-29 23:59:59.999,3925534.58527480,28018,251041695.10000000,1814983.24928800,0
2024-09-30,0.007346,0.007384,0.00665,0.006739,685559888.0,2024-09-30 23:59:59.999,4800301.19188540,38506,343890581.00000000,2407522.03874420,0
2024-10-01,0.006736,0.007154,0.006063,0.00625,896826466.2,2024-10-01 23:59:59.999,5896536.88894550,42828,428180786.40000000,2814627.93244510,0
2024-10-02,0.006244,0.006676,0.006125,0.00625,724351067.2,2024-10-02 23:59:59.999,4635306.09910660,36250,368259919.30000000,2355623.03077290,0
2024-10-03,0.00625,0.006465,0.005942,0.006103,779332489.0,2024-10-03 23:59:59.999,4810579.46801540,35769,375532712.90000000,2318028.62765220,0
2024-10-04,0.006102,0.006563,0.006033,0.006489,542447884.1,2024-10-04 23:59:59.999,3440848.56778200,26455,275537828.40000000,1747115.49569400,0
2024-10-05,0.006487,0.006717,0.00627,0.006389,308465757.3,2024-10-05 23:59:59.999,2007920.80320720,14234,148035389.80000000,964280.97209260,0
2024-10-06,0.006393,0.006987,0.006304,0.00696,583437546.5,2024-10-06 23:59:59.999,3893443.15847040,22200,304811046.00000000,2035145.48729290,0
2024-10-07,0.006961,0.00745,0.006905,0.006959,1036041998.2,2024-10-07 23:59:59.999,7453000.82164890,43529,492383553.60000000,3543180.44038150,0
2024-10-08,0.006959,0.007111,0.006577,0.00665,625332812.6,2024-10-08 23:59:59.999,4251687.60364910,24990,297614851.30000000,2024264.50237890,0
2024-10-09,0.006645,0.006865,0.006411,0.006557,478817823.4,2024-10-09 23:59:59.999,3164900.96705420,21574,228223008.50000000,1509029.40500390,0
2024-10-10,0.006562,0.00668,0.006166,0.0064,443453833.8,2024-10-10 23:59:59.999,2839897.50899000,19732,218317620.20000000,1398347.11101480,0
2024-10-11,0.006398,0.00688,0.006317,0.006762,377799277.7,2024-10-11 23:59:59.999,2512558.63105260,16989,184924464.70000000,1229729.50441910,0
2024-10-12,0.006769,0.006924,0.006647,0.006771,315610084.3,2024-10-12 23:59:59.999,2138478.57240060,18102,143388059.80000000,971865.45392710,0
2024-10-13,0.006774,0.006936,0.006309,0.006548,554661961.0,2024-10-13 23:59:59.999,3657919.55412420,28856,269508721.40000000,1774967.42218050,0
2024-10-14,0.006547,0.007168,0.006416,0.0071,802858160.5,2024-10-14 23:59:59.999,5569508.40788940,37293,383959050.10000000,2660141.33265070,0
2024-10-15,0.007099,0.007381,0.006781,0.007155,1038292946.8,2024-10-15 23:59:59.999,7384605.22173420,51712,514810923.40000000,3660411.43681800,0
2024-10-16,0.007151,0.007193,0.006723,0.006811,462613425.7,2024-10-16 23:59:59.999,3214418.15001500,23471,222613572.20000000,1545380.98212560,0
2024-10-17,0.006809,0.007091,0.006622,0.006735,780728493.0,2024-10-17 23:59:59.999,5366319.76310710,34915,406723799.60000000,2795567.57094380,0
2024-10-18,0.006728,0.007332,0.006661,0.007194,583792561.9,2024-10-18 23:59:59.999,4132827.54185290,27918,263071285.40000000,1863216.23043110,0
2024-10-19,0.007195,0.00726,0.006785,0.006935,343979244.4,2024-10-19 23:59:59.999,2408248.05106440,16445,174075611.20000000,1217517.99896810,0
2024-10-20,0.006936,0.007355,0.006721,0.007329,658827200.7,2024-10-20 23:59:59.999,4681158.58970590,34497,317721634.20000000,2257544.97611890,0
2024-10-21,0.007328,0.007361,0.006797,0.006829,603626651.5,2024-10-21 23:59:59.999,4246315.29255770,30179,286395710.10000000,2011943.45815560,0
2024-10-22,0.00683,0.007278,0.006568,0.007172,1061074509.9,2024-10-22 23:59:59.999,7380771.07357410,51943,533872935.50000000,3711142.53752960,0
2024-10-23,0.007169,0.007231,0.006346,0.006604,929487651.5,2024-10-23 23:59:59.999,6284026.25033640,41541,461140315.60000000,3119419.23663540,0
2024-10-24,0.006604,0.006958,0.006433,0.00671,995128973.4,2024-10-24 23:59:59.999,6665372.53543080,40680,481891438.50000000,3224227.59973570,0
2024-10-25,0.00671,0.006766,0.005896,0.006128,748413937.1,2024-10-25 23:59:59.999,4796101.72650850,35950,381457131.70000000,2445805.07102320,0
2024-10-26,0.006124,0.006243,0.005872,0.006044,575383977.2,2024-10-26 23:59:59.999,3487603.17454680,25983,282486568.40000000,1711964.05059770,0
2024-10-27,0.006042,0.006308,0.005974,0.006139,447767005.2,2024-10-27 23:59:59.999,2738484.44140410,16061,227305247.80000000,1389933.34302210,0
2024-10-28,0.00614,0.00639,0.00587,0.006221,690011886.8,2024-10-28 23:59:59.999,4207976.81366490,27754,342246427.90000000,2086259.06293590,0
2024-10-29,0.006222,0.006756,0.006213,0.006687,784558253.5,2024-10-29 23:59:59.999,5127366.23876440,35614,391647197.70000000,2558909.41175970,0
2024-10-30,0.006689,0.00669,0.00648,0.006552,442701367.9,2024-10-30 23:59:59.999,2910681.62098350,24562,217762418.20000000,1432231.37846780,0
2024-10-31,0.006545,0.00657,0.006075,0.006143,460606272.1,2024-10-31 23:59:59.999,2907515.36944670,19979,227998242.30000000,1438614.87397580,0
2024-11-01,0.006138,0.006453,0.006004,0.00616,550556628.0,2024-11-01 23:59:59.999,3405379.79081290,23549,287147491.10000000,1774247.47498390,0
2024-11-02,0.006161,0.006448,0.005898,0.005949,635955257.3,2024-11-02 23:59:59.999,3931531.54243380,24983,302818810.60000000,1874547.02976560,0
2024-11-03,0.005949,0.006032,0.00539,0.005701,663989675.2,2024-11-03 23:59:59.999,3762353.55834510,23112,322560050.80000000,1829718.59063000,0
2024-11-04,0.005699,0.005843,0.005349,0.005474,665432069.3,2024-11-04 23:59:59.999,3760530.80647110,24406,336063481.00000000,1901136.76976530,0
2024-11-05,0.005479,0.005927,0.005479,0.00588,504306840.9,2024-11-05 23:59:59.999,2882586.62536920,19596,257813613.70000000,1473113.92068680,0
2024-11-06,0.005871,0.006791,0.005857,0.006687,974175956.7,2024-11-06 23:59:59.999,6295185.24069140,44002,470224074.60000000,3039364.57875600,0
2024-11-07,0.00669,0.007477,0.006678,0.007435,1124200774.4,2024-11-07 23:59:59.999,7924334.91802420,51570,567687097.60000000,4001478.57014740,0
2024-11-08,0.007436,0.007741,0.007186,0.007507,1363020462.6,2024-11-08 23:59:59.999,10145881.15738220,66735,689458569.60000000,5133372.84375610,0
2024-11-09,0.007505,0.007773,0.007246,0.00772,617132290.3,2024-11-09 23:59:59.999,4640520.85008850,32354,304376895.90000000,2290610.59145790,0
2024-11-10,0.007713,0.008538,0.00757,0.008032,1633522219.8,2024-11-10 23:59:59.999,13214552.29403920,87961,783442039.80000000,6331792.49021400,0
