Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,4.31,4.607,4.31,4.453,9293968.8,2024-09-19 23:59:59.999,41364514.71240000,119261,4891435.60000000,21771622.92330000,0
2024-09-20,4.455,4.595,4.33,4.463,6975965.4,2024-09-20 23:59:59.999,31152324.66740000,106181,3611557.50000000,16133724.19190000,0
2024-09-21,4.462,4.706,4.398,4.686,5611865.3,2024-09-21 23:59:59.999,25625138.70250000,107172,2975557.10000000,13587155.70080000,0
2024-09-22,4.686,4.698,4.38,4.506,7312139.7,2024-09-22 23:59:59.999,33165451.15990000,123976,3452232.00000000,15657187.35440000,0
2024-09-23,4.507,4.8,4.412,4.624,9436377.5,2024-09-23 23:59:59.999,43517748.70810000,123600,5003918.20000000,23088105.21450000,0
2024-09-24,4.626,4.899,4.52,4.891,8682156.2,2024-09-24 23:59:59.999,40835866.96480000,129663,4281613.00000000,20145047.92370000,0
2024-09-25,4.89,5.149,4.853,5.019,9558222.0,2024-09-25 23:59:59.999,47964027.45040000,165441,5002430.40000000,25096544.44560000,0
2024-09-26,5.021,5.714,4.936,5.382,16979450.9,2024-09-26 23:59:59.999,91216940.28970000,252739,8285315.70000000,44489514.77850000,0
2024-09-27,5.381,5.548,5.3,5.36,8289287.9,2024-09-27 23:59:59.999,44884625.10570000,144308,4317550.90000000,23378054.88390000,0
2024-09-28,5.361,5.486,5.261,5.387,5847047.4,2024-09-28 23:59:59.999,31476449.57910000,98955,2924147.10000000,15740509.94140000,0
2024-09-29,5.388,5.485,5.21,5.298,9085696.8,2024-09-29 23:59:59.999,48599626.48320000,139084,4718984.80000000,25225504.27030000,0
2024-09-30,5.3,5.309,5.013,5.066,9317035.1,2024-09-30 23:59:59.999,48071199.64830000,145293,4487126.00000000,23148774.17670000,0
2024-10-01,5.067,5.377,4.487,4.575,18519624.8,2024-10-01 23:59:59.999,89792342.44440000,355801,9243202.50000000,44769197.23770000,0
2024-10-02,4.574,4.914,4.519,4.594,16290453.9,2024-10-02 23:59:59.999,76517970.97940000,363108,8013306.70000000,37613836.63040000,0
2024-10-03,4.595,4.704,4.426,4.516,14065630.1,2024-10-03 23:59:59.999,63923512.03690000,226108,7094387.70000000,32240384.44760000,0
2024-10-04,4.515,4.833,4.483,4.803,9600837.0,2024-10-04 23:59:59.999,45110885.80890000,128728,4798430.40000000,22535420.92640000,0
2024-10-05,4.802,4.879,4.695,4.828,5069051.2,2024-10-05 23:59:59.999,24270758.93730000,95871,2482529.10000000,11884536.45020000,0
2024-10-06,4.828,4.969,4.774,4.922,4926807.8,2024-10-06 23:59:59.999,24031882.15940000,92110,2422408.90000000,11816618.46600000,0
2024-10-07,4.921,5.345,4.883,5.081,14528735.3,2024-10-07 23:59:59.999,74819426.58950000,231228,7050208.70000000,36297258.52490000,0
2024-10-08,5.084,5.146,4.862,5.049,13023023.1,2024-10-08 23:59:59.999,65319670.60130000,182745,6305397.10000000,31618960.27340000,0
2024-10-09,5.048,5.088,4.6,4.609,14957310.3,2024-10-09 23:59:59.999,72855800.01430000,174553,7444523.00000000,36251016.00320000,0
2024-10-10,4.61,4.767,4.552,4.693,10798681.6,2024-10-10 23:59:59.999,50263552.95050000,165158,5482122.00000000,25509518.23790000,0
2024-10-11,4.693,5.086,4.681,4.97,6572942.1,2024-10-11 23:59:59.999,32227280.22600000,90774,3144923.30000000,15401751.25080000,0
2024-10-12,4.971,5.124,4.893,5.003,6555840.0,2024-10-12 23:59:59.999,32860500.89480000,107806,3080826.60000000,15446286.90950000,0
2024-10-13,5.003,5.059,4.673,4.812,7204540.7,2024-10-13 23:59:59.999,34859441.36150000,151069,3676636.80000000,17771517.99550000,0
2024-10-14,4.81,5.3,4.756,5.25,11082786.5,2024-10-14 23:59:59.999,56455973.30310000,219134,5576448.30000000,28423926.73770000,0
2024-10-15,5.252,5.398,4.972,5.176,16231933.1,2024-10-15 23:59:59.999,84131066.08040000,286004,7973620.60000000,41318869.84700000,0
2024-10-16,5.176,5.285,5.056,5.1,9946148.1,2024-10-16 23:59:59.999,51499254.93970000,129708,4824053.50000000,24978525.28390000,0
2024-10-17,5.101,5.157,4.645,4.802,11917523.4,2024-10-17 23:59:59.999,58523748.78480000,158260,5820710.70000000,28554603.64830000,0
2024-10-18,4.802,5.102,4.771,5.052,7426884.5,2024-10-18 23:59:59.999,36690242.97910000,106321,3592052.50000000,17749778.66820000,0
2024-10-19,5.051,5.153,4.909,4.931,3894487.8,2024-10-19 23:59:59.999,19543267.88470000,58879,1872702.20000000,9405623.23400000,0
2024-10-20,4.932,5.208,4.86,5.188,5666832.1,2024-10-20 23:59:59.999,28275413.53400000,87549,2893472.20000000,14431026.63020000,0
2024-10-21,5.188,5.296,4.876,5.004,9045729.0,2024-10-21 23:59:59.999,45789742.89650000,128227,4326172.70000000,21906538.97280000,0
2024-10-22,5.003,5.325,4.919,5.32,14688863.8,2024-10-22 23:59:59.999,75842511.28830000,183759,7169102.80000000,37008528.32190000,0
2024-10-23,5.32,5.358,4.924,5.139,11957957.4,2024-10-23 23:59:59.999,61456093.00600000,193810,5773654.10000000,29655025.56710000,0
2024-10-24,5.139,5.522,5.1,5.423,9686849.6,2024-10-24 23:59:59.999,51546862.85770000,172273,4696325.20000000,24987843.19160000,0
