Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.02215,0.0224,0.02024,0.02057,157366892.2,2024-11-17 23:59:59.999,3340755.19132900,43444,75171286.70000000,1597111.90631900,0
2024-11-18,0.02056,0.02438,0.02037,0.02325,337822663.9,2024-11-18 23:59:59.999,7557415.90950100,77506,176969445.50000000,3964215.65221500,0
2024-11-19,0.02325,0.0237,0.02168,0.02233,219758037.9,2024-11-19 23:59:59.999,4968545.74252800,46660,99166818.20000000,2244804.43999200,0
2024-11-20,0.02232,0.02243,0.0208,0.02129,122896545.4,2024-11-20 23:59:59.999,2667289.23758300,33591,60008367.50000000,1301156.74595000,0
2024-11-21,0.02129,0.023,0.02084,0.02262,185161123.2,2024-11-21 23:59:59.999,4116873.85820800,46380,97368856.50000000,2165632.96340800,0
2024-11-22,0.02263,0.0234,0.02167,0.02283,188757714.5,2024-11-22 23:59:59.999,4242360.55592700,42723,89554780.50000000,2012678.63263800,0
2024-11-23,0.02282,0.02648,0.02264,0.0253,425050242.1,2024-11-23 23:59:59.999,10435009.94647400,107716,208317052.40000000,5113209.31540400,0
2024-11-24,0.02532,0.02673,0.02342,0.02591,321870917.1,2024-11-24 23:59:59.999,8145007.84092400,94480,161077253.40000000,4080906.72187900,0
2024-11-25,0.02593,0.02622,0.02366,0.02432,237914429.0,2024-11-25 23:59:59.999,6003831.91339900,74146,115940751.90000000,2933123.07697900,0
2024-11-26,0.02432,0.02517,0.02205,0.0229,227740242.0,2024-11-26 23:59:59.999,5271815.15357400,66654,114858152.40000000,2659581.80228100,0
2024-11-27,0.02288,0.0246,0.0218,0.02437,194860107.5,2024-11-27 23:59:59.999,4664406.10327000,47628,91940372.80000000,2200815.44302300,0
2024-11-28,0.02438,0.02479,0.02359,0.0245,131560001.6,2024-11-28 23:59:59.999,3171547.95898900,35558,66285296.60000000,1597574.25932000,0
2024-11-29,0.0245,0.02618,0.02404,0.02544,216688490.2,2024-11-29 23:59:59.999,5481382.55520700,44982,98858249.70000000,2502390.47717500,0
2024-11-30,0.02541,0.02727,0.02508,0.02666,262823767.0,2024-11-30 23:59:59.999,6959199.67068000,55102,132678788.70000000,3511935.64647000,0
2024-12-01,0.02665,0.02783,0.02581,0.02693,169911009.4,2024-12-01 23:59:59.999,4541027.08276200,40557,83472050.90000000,2230036.75422300,0
2024-12-02,0.02694,0.02907,0.02511,0.02872,432011903.7,2024-12-02 23:59:59.999,11678867.79617100,102287,218618216.30000000,5910028.96287600,0
2024-12-03,0.02872,0.03465,0.02776,0.03397,1246494491.3,2024-12-03 23:59:59.999,39304474.59257700,312860,623596865.50000000,19642919.35469400,0
2024-12-04,0.03398,0.03586,0.03209,0.03446,593529983.3,2024-12-04 23:59:59.999,20104197.56159200,180608,280147371.00000000,9498174.87287500,0
2024-12-05,0.03446,0.03462,0.03128,0.03182,421281773.5,2024-12-05 23:59:59.999,13967312.85764300,134907,175062068.50000000,5810146.86287400,0
2024-12-06,0.03183,0.03396,0.03052,0.03322,318821042.9,2024-12-06 23:59:59.999,10321672.71508500,95727,157181902.10000000,5092012.60349800,0
2024-12-07,0.03323,0.03402,0.03193,0.0321,185313458.4,2024-12-07 23:59:59.999,6101029.47822000,59672,88574731.60000000,2918238.81044600,0
2024-12-08,0.03209,0.03294,0.03111,0.03267,163574321.9,2024-12-08 23:59:59.999,5236584.40538900,53959,90916019.40000000,2912220.78874300,0
2024-12-09,0.03269,0.0327,0.02242,0.02616,545115314.0,2024-12-09 23:59:59.999,15320354.50381700,164407,289817000.40000000,8148772.02523300,0
2024-12-10,0.02616,0.02676,0.02297,0.02539,516705735.1,2024-12-10 23:59:59.999,12869822.15092400,127379,258566681.50000000,6451229.25691800,0
2024-12-11,0.02539,0.02801,0.02427,0.02767,187629610.6,2024-12-11 23:59:59.999,4943600.86950400,51298,87270918.70000000,2308442.89723400,0
2024-12-12,0.02766,0.02931,0.02749,0.02833,207313085.3,2024-12-12 23:59:59.999,5882967.50305900,60178,101762867.00000000,2889836.42963200,0
2024-12-13,0.02834,0.02889,0.02716,0.02842,130175348.8,2024-12-13 23:59:59.999,3632665.62542500,41084,65231128.70000000,1822917.91242800,0
