Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.005697,0.005697,0.00527,0.00536,565828252.0,2024-11-17 23:59:59.999,3090647.43309500,31992,264084804.00000000,1442751.40463900,0
2024-11-18,0.005362,0.0059,0.005356,0.005806,953203714.0,2024-11-18 23:59:59.999,5394019.96473100,50130,485691098.00000000,2751728.14224400,0
2024-11-19,0.005806,0.006834,0.005668,0.006214,3021398931.0,2024-11-19 23:59:59.999,19060270.70657400,190661,1508059213.00000000,9520111.48309300,0
2024-11-20,0.006208,0.006366,0.005681,0.00592,1004038367.0,2024-11-20 23:59:59.999,6022256.85043900,49991,464180330.00000000,2787845.34237800,0
2024-11-21,0.005919,0.006163,0.00564,0.006024,554422029.0,2024-11-21 23:59:59.999,3277717.47469000,33499,272390424.00000000,1611678.98526400,0
2024-11-22,0.006026,0.006339,0.005853,0.006218,688782855.0,2024-11-22 23:59:59.999,4178618.15181000,40091,342623184.00000000,2078707.75914800,0
2024-11-23,0.006219,0.006549,0.006081,0.006354,695959158.0,2024-11-23 23:59:59.999,4402454.27343300,49237,345900262.00000000,2189217.60580000,0
2024-11-24,0.006355,0.006853,0.006,0.006535,1022695617.0,2024-11-24 23:59:59.999,6560626.89585100,62780,496100128.00000000,3186262.53716600,0
2024-11-25,0.006535,0.0071,0.0064,0.00665,1174920814.0,2024-11-25 23:59:59.999,7920515.85100200,73063,590570655.00000000,3987111.21899700,0
2024-11-26,0.006641,0.007275,0.006492,0.007161,1656466154.0,2024-11-26 23:59:59.999,11532114.70098300,100256,841356288.00000000,5861538.09444900,0
2024-11-27,0.007161,0.007446,0.006816,0.007279,802604420.0,2024-11-27 23:59:59.999,5682451.84203100,49849,405284488.00000000,2871256.12530500,0
2024-11-28,0.007279,0.007283,0.006899,0.007127,338802962.0,2024-11-28 23:59:59.999,2380212.55075800,22367,169024908.00000000,1187640.62049000,0
2024-11-29,0.007123,0.007273,0.006903,0.007259,306791389.0,2024-11-29 23:59:59.999,2174139.40246200,21212,155994569.00000000,1105247.50799100,0
2024-11-30,0.00726,0.007389,0.006932,0.007364,616519174.0,2024-11-30 23:59:59.999,4415949.07734300,39983,276881394.00000000,1984494.49962600,0
2024-12-01,0.007363,0.007415,0.00708,0.007371,432388179.0,2024-12-01 23:59:59.999,3139159.11332700,30144,213266661.00000000,1549432.69616800,0
2024-12-02,0.007369,0.007402,0.006724,0.007353,852763775.0,2024-12-02 23:59:59.999,6032320.29420000,53557,401653752.00000000,2845119.33076500,0
2024-12-03,0.007358,0.008306,0.007,0.007925,2225261980.0,2024-12-03 23:59:59.999,16775632.44062800,147374,1024260094.00000000,7733932.48228200,0
2024-12-04,0.007939,0.008379,0.007588,0.008057,1446648914.0,2024-12-04 23:59:59.999,11619566.60386100,107933,703084492.00000000,5648615.88832000,0
2024-12-05,0.008059,0.00808,0.007536,0.007669,807203128.0,2024-12-05 23:59:59.999,6326471.28169100,63357,374885186.00000000,2940658.08227600,0
2024-12-06,0.007665,0.008391,0.007601,0.00813,1281838682.0,2024-12-06 23:59:59.999,10302872.09140700,102504,645677018.00000000,5195648.06457400,0
2024-12-07,0.00813,0.008244,0.007897,0.008029,472108203.0,2024-12-07 23:59:59.999,3790184.06402000,41675,226642000.00000000,1819507.71921100,0
2024-12-08,0.008018,0.008018,0.00772,0.00794,340753281.0,2024-12-08 23:59:59.999,2674377.45164900,28117,177512751.00000000,1393458.27619400,0
2024-12-09,0.00794,0.00794,0.006306,0.006695,1017730742.0,2024-12-09 23:59:59.999,7218567.47187000,67549,468663463.00000000,3329178.68665100,0
2024-12-10,0.006691,0.006846,0.005797,0.006329,1196615007.0,2024-12-10 23:59:59.999,7515851.52314800,80708,555721531.00000000,3487907.84259700,0
2024-12-11,0.00633,0.007063,0.006083,0.006942,865894198.0,2024-12-11 23:59:59.999,5689079.27550300,53628,450406209.00000000,2959051.60280800,0
2024-12-12,0.006944,0.007292,0.006767,0.007042,773138739.0,2024-12-12 23:59:59.999,5436908.07887800,48114,376242008.00000000,2647041.52591500,0
2024-12-13,0.007042,0.007103,0.006805,0.007028,466511354.0,2024-12-13 23:59:59.999,3245218.74899900,28392,228232661.00000000,1587917.71320600,0
2024-12-14,0.007027,0.007195,0.006535,0.006689,427025129.0,2024-12-14 23:59:59.999,2920956.01636200,26815,216317085.00000000,1482205.34488800,0
2024-12-15,0.006691,0.006936,0.006542,0.006848,312062041.0,2024-12-15 23:59:59.999,2113549.75216600,22559,144397411.00000000,978705.23596000,0
2024-12-16,0.00685,0.00699,0.00639,0.006642,439378029.0,2024-12-16 23:59:59.999,2921350.90234100,30610,216367759.00000000,1440999.72283500,0
2024-12-17,0.00664,0.00665,0.006195,0.006276,368268459.0,2024-12-17 23:59:59.999,2379375.54284400,24142,168385025.00000000,1088190.96752300,0
2024-12-18,0.00628,0.00637,0.005586,0.005623,516949508.0,2024-12-18 23:59:59.999,3100575.21481400,32965,244065016.00000000,1467772.91748600,0
2024-12-19,0.00562,0.005908,0.005153,0.005247,659139570.0,2024-12-19 23:59:59.999,3644636.69802600,42526,305598168.00000000,1693769.15143600,0
