Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.6721,0.6798,0.64,0.6584,1982971.0,2024-11-17 23:59:59.999,1316764.18140000,24977,948180.00000000,630688.92430000,0
2024-11-18,0.6589,0.6957,0.6571,0.6842,2582765.0,2024-11-18 23:59:59.999,1757050.57650000,41992,1417095.00000000,963985.86250000,0
2024-11-19,0.6844,0.69,0.6523,0.6644,1204936.0,2024-11-19 23:59:59.999,809901.41810000,20188,543345.00000000,365771.20000000,0
2024-11-20,0.6643,0.6699,0.629,0.6369,1690182.0,2024-11-20 23:59:59.999,1098207.12340000,24469,749114.00000000,486574.75840000,0
2024-11-21,0.6368,0.6753,0.6233,0.6664,3276722.0,2024-11-21 23:59:59.999,2133052.87890000,39485,1640397.00000000,1067070.09120000,0
2024-11-22,0.6665,0.6788,0.6426,0.6761,1685903.0,2024-11-22 23:59:59.999,1120320.15450000,23269,829698.00000000,550895.11050000,0
2024-11-23,0.6761,0.72,0.6732,0.7008,3231770.0,2024-11-23 23:59:59.999,2257300.51370000,61098,1964466.00000000,1372849.43870000,0
2024-11-24,0.7007,0.7379,0.6825,0.7344,4667254.0,2024-11-24 23:59:59.999,3326715.24800000,66910,2431313.00000000,1732945.49980000,0
2024-11-25,0.7342,0.7679,0.7044,0.7172,4642158.0,2024-11-25 23:59:59.999,3437539.33500000,78800,2574456.00000000,1907646.73200000,0
2024-11-26,0.7168,0.7478,0.6631,0.6974,3509311.0,2024-11-26 23:59:59.999,2465323.66440000,57289,1665650.00000000,1169744.75170000,0
2024-11-27,0.6971,0.7729,0.6859,0.7549,3318226.0,2024-11-27 23:59:59.999,2466205.02470000,44548,1910441.00000000,1421283.63240000,0
2024-11-28,0.7548,0.7548,0.7107,0.7192,3722393.0,2024-11-28 23:59:59.999,2730933.85380000,54082,2012416.00000000,1478695.51310000,0
2024-11-29,0.7192,0.7579,0.71,0.7548,3160484.0,2024-11-29 23:59:59.999,2324411.15970000,38962,1855556.00000000,1367539.58480000,0
2024-11-30,0.7547,0.7919,0.7348,0.7609,6730011.0,2024-11-30 23:59:59.999,5131787.94140000,80165,3309598.00000000,2524137.12270000,0
2024-12-01,0.761,0.7903,0.7334,0.7751,4251799.0,2024-12-01 23:59:59.999,3267700.87750000,53266,2163262.00000000,1663802.76490000,0
2024-12-02,0.775,0.8399,0.7504,0.803,8261248.0,2024-12-02 23:59:59.999,6512361.50770000,119948,4097412.00000000,3234396.94660000,0
2024-12-03,0.8031,0.8463,0.7413,0.839,8431613.0,2024-12-03 23:59:59.999,6763902.81060000,104157,4066845.00000000,3269071.34520000,0
2024-12-04,0.839,0.8971,0.827,0.8424,9377082.0,2024-12-04 23:59:59.999,8028422.35570000,127386,4626391.00000000,3969286.07060000,0
2024-12-05,0.8425,0.8752,0.8,0.8303,7152216.0,2024-12-05 23:59:59.999,5994713.63220000,112432,3318294.00000000,2785378.83870000,0
2024-12-06,0.8299,0.8737,0.8008,0.838,5652334.0,2024-12-06 23:59:59.999,4729019.25050000,84161,2591388.00000000,2169514.75470000,0
2024-12-07,0.8379,0.848,0.812,0.8128,4199725.0,2024-12-07 23:59:59.999,3471161.91500000,54924,1762440.00000000,1456923.50340000,0
2024-12-08,0.8128,0.8247,0.7836,0.8224,3448849.0,2024-12-08 23:59:59.999,2782101.43640000,43922,1567583.00000000,1265015.63630000,0
2024-12-09,0.8222,0.8236,0.5502,0.673,8226721.0,2024-12-09 23:59:59.999,5740033.41650000,93681,3371250.00000000,2355592.40110000,0
2024-12-10,0.673,0.7,0.6087,0.6576,8304892.0,2024-12-10 23:59:59.999,5385454.02760000,131968,3277395.00000000,2131599.08580000,0
2024-12-11,0.6577,0.7079,0.6379,0.7019,3453398.0,2024-12-11 23:59:59.999,2336429.75520000,51386,1544180.00000000,1048891.13310000,0
2024-12-12,0.7021,0.7405,0.6979,0.7265,3693270.0,2024-12-12 23:59:59.999,2667314.27600000,43344,1850395.00000000,1337466.88520000,0
2024-12-13,0.7265,0.7394,0.7026,0.7336,3171352.0,2024-12-13 23:59:59.999,2280617.77090000,39613,1417247.00000000,1019189.95290000,0
2024-12-14,0.7332,0.7408,0.685,0.7029,3151990.0,2024-12-14 23:59:59.999,2247959.97750000,31506,1485389.00000000,1057752.10090000,0
2024-12-15,0.703,0.7153,0.6795,0.7133,2523786.0,2024-12-15 23:59:59.999,1765873.98520000,28733,1107261.00000000,775380.60970000,0
2024-12-16,0.7133,0.7341,0.6762,0.6906,2047377.0,2024-12-16 23:59:59.999,1438781.28020000,24772,989856.00000000,694559.18440000,0
2024-12-17,0.6907,0.7134,0.6555,0.6628,1995169.0,2024-12-17 23:59:59.999,1355837.37330000,18684,992273.00000000,674684.36380000,0
2024-12-18,0.6635,0.672,0.6102,0.6289,2387292.0,2024-12-18 23:59:59.999,1548585.82540000,43238,1043428.00000000,677228.70510000,0
2024-12-19,0.6289,0.6529,0.59,0.626,3555843.0,2024-12-19 23:59:59.999,2211312.28170000,68527,1298284.00000000,809155.10340000,0
2024-12-20,0.6266,0.6858,0.5788,0.6807,5890083.0,2024-12-20 23:59:59.999,3741125.94240000,77369,2287040.00000000,1459573.41290000,0
2024-12-21,0.6808,0.7846,0.6763,0.7023,6329242.0,2024-12-21 23:59:59.999,4680474.35840000,51086,2840488.00000000,2099281.15200000,0
2024-12-22,0.7031,0.7275,0.6695,0.6877,2270477.0,2024-12-22 23:59:59.999,1578979.84970000,21562,1117638.00000000,777247.05790000,0
2024-12-23,0.6882,0.7811,0.6685,0.7682,4501333.0,2024-12-23 23:59:59.999,3290344.33670000,48251,2272075.00000000,1662287.11530000,0
2024-12-24,0.7679,0.7809,0.7357,0.7418,2655648.0,2024-12-24 23:59:59.999,2012771.15820000,29151,1276084.00000000,966792.26490000,0
2024-12-25,0.7423,0.7666,0.7285,0.7434,1746507.0,2024-12-25 23:59:59.999,1301371.71800000,24057,875938.00000000,652574.77580000,0
2024-12-26,0.7439,0.7455,0.6959,0.7096,2282738.0,2024-12-26 23:59:59.999,1636284.00080000,24188,1106078.00000000,794662.85430000,0
2024-12-27,0.7096,0.73,0.6985,0.7148,1256343.0,2024-12-27 23:59:59.999,894662.12680000,15094,614975.00000000,438388.07810000,0
2024-12-28,0.7159,0.7445,0.7118,0.732,1690722.0,2024-12-28 23:59:59.999,1232433.72800000,12553,897418.00000000,653935.70640000,0
2024-12-29,0.7321,0.7416,0.7106,0.719,732402.0,2024-12-29 23:59:59.999,533207.21240000,7165,310349.00000000,226333.87830000,0
2024-12-30,0.7184,0.744,0.6976,0.72,1176062.0,2024-12-30 23:59:59.999,848149.23330000,11697,536351.00000000,387895.97100000,0
2024-12-31,0.72,0.74,0.7058,0.7271,1358310.0,2024-12-31 23:59:59.999,987464.04570000,11673,713080.00000000,519052.57610000,0
2025-01-01,0.7271,0.7338,0.7046,0.7126,801081.0,2025-01-01 23:59:59.999,572391.68200000,9961,427526.00000000,305119.30060000,0
2025-01-02,0.7129,0.758,0.7129,0.7406,1087486.0,2025-01-02 23:59:59.999,806751.49160000,13201,543612.00000000,403874.80890000,0
2025-01-03,0.7406,0.7521,0.7246,0.7521,865696.0,2025-01-03 23:59:59.999,642037.76850000,9129,428080.00000000,317646.91640000,0
2025-01-04,0.7521,0.7529,0.7293,0.7342,1246708.0,2025-01-04 23:59:59.999,924930.03470000,11406,582940.00000000,432416.95760000,0
2025-01-05,0.7342,0.7431,0.729,0.7357,880724.0,2025-01-05 23:59:59.999,647867.28420000,7527,503448.00000000,370322.99000000,0
