Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.37e-05,1.459e-05,1.37e-05,1.409e-05,3251781936997.0,2024-09-19 23:59:59.999,45969547.79207494,1038730,1603009019900.00,22668500.66087930,0
2024-09-20,1.41e-05,1.451e-05,1.388e-05,1.438e-05,1977949160548.0,2024-09-20 23:59:59.999,28202879.17334891,1064872,961600077915.00,13723508.27875000,0
2024-09-21,1.438e-05,1.504e-05,1.41e-05,1.5e-05,1848213651996.0,2024-09-21 23:59:59.999,27036537.25611466,811591,928680835484.00,13599922.92257662,0
2024-09-22,1.499e-05,1.508e-05,1.415e-05,1.452e-05,1782333463943.0,2024-09-22 23:59:59.999,25957659.37517488,990601,886768384908.00,12912884.95590975,0
2024-09-23,1.453e-05,1.487e-05,1.42e-05,1.448e-05,1932619658827.0,2024-09-23 23:59:59.999,28096740.96843109,1183194,938336903560.00,13638995.93896234,0
2024-09-24,1.448e-05,1.492e-05,1.427e-05,1.483e-05,2033118707149.0,2024-09-24 23:59:59.999,29754636.89418485,1064222,1023729164936.00,14984641.55725164,0
2024-09-25,1.483e-05,1.576e-05,1.472e-05,1.526e-05,3900893562948.0,2024-09-25 23:59:59.999,59608510.69950333,1632759,2003635140947.00,30637059.15801760,0
2024-09-26,1.526e-05,1.935e-05,1.49e-05,1.862e-05,13472123037892.0,2024-09-26 23:59:59.999,235639564.50282114,5152366,6974700973280.00,121831196.11388740,0
2024-09-27,1.863e-05,2.169e-05,1.855e-05,2.027e-05,13636255168900.0,2024-09-27 23:59:59.999,273526280.05934806,7382015,6991971501372.00,140158051.10580416,0
2024-09-28,2.027e-05,2.147e-05,1.896e-05,1.962e-05,7441548624423.0,2024-09-28 23:59:59.999,149171492.21908062,5099813,3431075811274.00,68838479.93971959,0
2024-09-29,1.963e-05,2.039e-05,1.904e-05,1.934e-05,5103581334012.0,2024-09-29 23:59:59.999,100374896.65736616,3525179,2513879363958.00,49485668.85414466,0
2024-09-30,1.935e-05,1.937e-05,1.744e-05,1.757e-05,6199638319918.0,2024-09-30 23:59:59.999,113487430.61532274,3493803,2816894842154.00,51551817.79662727,0
2024-10-01,1.756e-05,1.865e-05,1.55e-05,1.642e-05,10377289734292.0,2024-10-01 23:59:59.999,177705769.79114640,4460643,5275431310051.00,90446040.33068201,0
2024-10-02,1.641e-05,1.71e-05,1.601e-05,1.628e-05,6502319016319.0,2024-10-02 23:59:59.999,107891722.81707129,4174158,3271669753710.00,54341578.22857785,0
2024-10-03,1.628e-05,1.676e-05,1.548e-05,1.608e-05,4738603469897.0,2024-10-03 23:59:59.999,76270982.20072092,3606119,2301866435269.00,37056439.93270329,0
