Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.000851,0.0008605,0.0007855,0.0007987,7930565443.0,2024-11-17 23:59:59.999,6528509.81144340,71463,3550370925.00000000,2926295.46228750,0
2024-11-18,0.0007982,0.0008298,0.0007806,0.000816,5235293590.0,2024-11-18 23:59:59.999,4239072.54887380,54528,2372465662.00000000,1922539.08238930,0
2024-11-19,0.000816,0.0008206,0.00077,0.0007907,3615307135.0,2024-11-19 23:59:59.999,2882556.11945900,36764,1836875762.00000000,1464467.86314380,0
2024-11-20,0.0007906,0.0008274,0.0007394,0.0007513,4934967279.0,2024-11-20 23:59:59.999,3852374.36870650,52025,2336942631.00000000,1827555.69969440,0
2024-11-21,0.0007512,0.0007967,0.0007259,0.0007809,4814460132.0,2024-11-21 23:59:59.999,3730711.29641510,46487,2337785991.00000000,1810019.66446230,0
2024-11-22,0.0007815,0.0008078,0.000762,0.0008031,4431307895.0,2024-11-22 23:59:59.999,3483028.44062960,42140,2199700335.00000000,1728602.37408530,0
2024-11-23,0.0008031,0.0008723,0.0007921,0.0008399,6983117917.0,2024-11-23 23:59:59.999,5814799.55224140,70937,3646501592.00000000,3035259.17683840,0
2024-11-24,0.0008399,0.0008982,0.0007925,0.0008841,8882128656.0,2024-11-24 23:59:59.999,7605199.75581650,98918,4725595695.00000000,4052840.44662000,0
2024-11-25,0.0008846,0.000889,0.000798,0.0008215,4906473511.0,2024-11-25 23:59:59.999,4169107.19505810,61369,2506828952.00000000,2131929.43643260,0
2024-11-26,0.000821,0.0008601,0.0007648,0.0008013,5165486236.0,2024-11-26 23:59:59.999,4176898.27162600,61539,2626785927.00000000,2126172.24732290,0
2024-11-27,0.0008011,0.0009124,0.0007819,0.0008777,7125486486.0,2024-11-27 23:59:59.999,6091783.39477020,69288,3494299144.00000000,2988373.33103110,0
2024-11-28,0.0008777,0.0011611,0.0008447,0.0009686,47991811590.0,2024-11-28 23:59:59.999,47360474.59138150,431340,23488461863.00000000,23138125.27309960,0
2024-11-29,0.0009685,0.0010053,0.0009262,0.0009595,16485818324.0,2024-11-29 23:59:59.999,15848414.49874510,169177,8241523623.00000000,7922809.49925840,0
2024-11-30,0.0009595,0.0009921,0.0009456,0.00097,6430504647.0,2024-11-30 23:59:59.999,6224796.93897730,65462,3159661329.00000000,3059237.59747740,0
2024-12-01,0.0009699,0.0010021,0.0009403,0.0009859,5817536469.0,2024-12-01 23:59:59.999,5685652.82601550,56644,2651206792.00000000,2591877.77245380,0
2024-12-02,0.0009866,0.001002,0.00091,0.0009748,7608761285.0,2024-12-02 23:59:59.999,7272008.50306560,75514,3617623083.00000000,3454883.68830830,0
2024-12-03,0.000975,0.0010934,0.0009352,0.0010719,15976962047.0,2024-12-03 23:59:59.999,16325530.65098360,216595,7751321620.00000000,7924905.95127750,0
2024-12-04,0.0010722,0.0012756,0.0010246,0.0011346,21628362961.0,2024-12-04 23:59:59.999,25237661.93017170,228146,11222158239.00000000,13117579.26567670,0
2024-12-05,0.0011343,0.0012111,0.0010805,0.0011433,9522751707.0,2024-12-05 23:59:59.999,10976575.22906820,105920,4705265706.00000000,5430252.31857590,0
2024-12-06,0.0011429,0.0012204,0.0010999,0.0011527,6589818634.0,2024-12-06 23:59:59.999,7636444.90976590,91635,3076947211.00000000,3568896.95751340,0
2024-12-07,0.0011528,0.0011986,0.0011412,0.0011683,5937134499.0,2024-12-07 23:59:59.999,6955124.23835600,78064,2726573157.00000000,3194149.57581190,0
2024-12-08,0.0011679,0.0011833,0.0011155,0.0011686,4067240482.0,2024-12-08 23:59:59.999,4669760.26593400,54746,1938511876.00000000,2226516.61614790,0
2024-12-09,0.001169,0.0011707,0.0008151,0.0009594,7350108426.0,2024-12-09 23:59:59.999,7542680.88892900,121517,3599183757.00000000,3679665.27085710,0
2024-12-10,0.000959,0.00098,0.0008283,0.0009179,7570706901.0,2024-12-10 23:59:59.999,6895111.24705200,129267,3621746207.00000000,3300503.50894100,0
2024-12-11,0.000917,0.0010147,0.0008746,0.0009969,4693244553.0,2024-12-11 23:59:59.999,4477060.71750170,52558,2370773727.00000000,2265942.82804370,0
2024-12-12,0.000997,0.0010385,0.0009729,0.0009933,4138808363.0,2024-12-12 23:59:59.999,4165983.97152920,75533,2013506312.00000000,2028199.45663520,0
2024-12-13,0.0009932,0.0010022,0.0009574,0.0009886,3516777868.0,2024-12-13 23:59:59.999,3450101.81708000,60291,1699823768.00000000,1668036.83777990,0
2024-12-14,0.0009887,0.0010028,0.0009179,0.0009406,3210808937.0,2024-12-14 23:59:59.999,3059037.12276410,47038,1603962250.00000000,1527817.90946840,0
2024-12-15,0.0009402,0.0009742,0.0009091,0.0009696,3006039911.0,2024-12-15 23:59:59.999,2840344.91573170,43962,1591588404.00000000,1504859.60568650,0
2024-12-16,0.0009695,0.000989,0.0009115,0.0009447,2712798019.0,2024-12-16 23:59:59.999,2577762.92318950,51535,1344393138.00000000,1277865.93878510,0
2024-12-17,0.0009451,0.0009471,0.0008785,0.0008894,2865789691.0,2024-12-17 23:59:59.999,2637816.53224960,56185,1429116045.00000000,1315269.78751480,0
2024-12-18,0.0008892,0.000896,0.0007905,0.0008088,4279115723.0,2024-12-18 23:59:59.999,3666595.43360800,82767,2110725057.00000000,1807133.71118270,0
2024-12-19,0.0008088,0.0008283,0.0007118,0.0007397,5630153583.0,2024-12-19 23:59:59.999,4349244.25333360,107207,2893948804.00000000,2235042.26069830,0
2024-12-20,0.0007401,0.0007734,0.0006389,0.0007661,6152266760.0,2024-12-20 23:59:59.999,4356849.11709670,79367,3145128430.00000000,2229976.66537040,0
2024-12-21,0.0007653,0.0008201,0.0007245,0.0007384,3423056887.0,2024-12-21 23:59:59.999,2619358.25577110,60781,1759136560.00000000,1346246.22205360,0
2024-12-22,0.0007386,0.0007587,0.0007113,0.000734,3034861781.0,2024-12-22 23:59:59.999,2238294.11453720,54843,1467514231.00000000,1082694.69446270,0
2024-12-23,0.000734,0.0007926,0.0007167,0.0007802,3096331431.0,2024-12-23 23:59:59.999,2330223.00589440,58165,1496766381.00000000,1126729.87671010,0
2024-12-24,0.0007801,0.000833,0.0007596,0.0008155,2362763161.0,2024-12-24 23:59:59.999,1886021.34874350,37648,1130049963.00000000,901586.24372120,0
2024-12-25,0.0008155,0.0008265,0.0007858,0.0007987,1672765277.0,2024-12-25 23:59:59.999,1350770.25750270,31995,860423393.00000000,694767.99953520,0
2024-12-26,0.0007988,0.0008065,0.0007373,0.0007468,1713202011.0,2024-12-26 23:59:59.999,1300113.52791070,29632,847956529.00000000,643641.44204000,0
2024-12-27,0.0007468,0.0007909,0.0007405,0.0007544,2687219557.0,2024-12-27 23:59:59.999,2054125.65853160,41230,1329098040.00000000,1018204.98264940,0
2024-12-28,0.0007544,0.0007949,0.0007462,0.0007765,2446318131.0,2024-12-28 23:59:59.999,1887225.18759360,34676,1194863563.00000000,922505.67421760,0
2024-12-29,0.0007768,0.0007796,0.0007365,0.0007435,1437469029.0,2024-12-29 23:59:59.999,1094543.68350670,23031,721819102.00000000,549545.31017030,0
