Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1694,0.1793,0.1682,0.1788,5481425.4,2024-09-19 23:59:59.999,956746.51663000,10465,3448900.30000000,603671.84593000,0
2024-09-20,0.1789,0.1881,0.1754,0.1872,8332779.8,2024-09-20 23:59:59.999,1530303.96764000,17658,4118542.70000000,757513.93797000,0
2024-09-21,0.1871,0.1997,0.1863,0.1962,13909802.9,2024-09-21 23:59:59.999,2687987.54807000,31448,7612249.80000000,1471236.16821000,0
2024-09-22,0.1956,0.1956,0.1833,0.1884,5068833.4,2024-09-22 23:59:59.999,955607.60946000,11754,2197334.00000000,414242.29506000,0
2024-09-23,0.1885,0.1951,0.1871,0.191,6019591.4,2024-09-23 23:59:59.999,1146712.50632000,12701,2784740.90000000,530665.62494000,0
2024-09-24,0.1911,0.1945,0.1864,0.194,3714221.7,2024-09-24 23:59:59.999,706651.16941000,8712,1462746.50000000,278813.04223000,0
2024-09-25,0.194,0.196,0.19,0.1918,3011218.8,2024-09-25 23:59:59.999,582587.07863000,8279,1003645.30000000,194124.60972000,0
2024-09-26,0.1917,0.2019,0.1898,0.2008,6927142.1,2024-09-26 23:59:59.999,1366828.89332000,17305,3296581.50000000,649836.16159000,0
2024-09-27,0.2007,0.2022,0.1973,0.2008,3444316.7,2024-09-27 23:59:59.999,688171.46051000,9511,1583565.10000000,316481.11207000,0
2024-09-28,0.2005,0.202,0.1924,0.1957,3125414.0,2024-09-28 23:59:59.999,615889.41956000,8588,1588705.50000000,312497.51572000,0
2024-09-29,0.1958,0.1989,0.1914,0.1967,3679048.5,2024-09-29 23:59:59.999,717480.73135000,8464,1779897.80000000,347114.29492000,0
2024-09-30,0.1967,0.1969,0.1835,0.1855,3411475.5,2024-09-30 23:59:59.999,651407.88374000,8965,1703623.70000000,324973.83606000,0
2024-10-01,0.1852,0.1915,0.167,0.1722,7160079.7,2024-10-01 23:59:59.999,1273457.77108000,16018,3802399.10000000,673833.85134000,0
2024-10-02,0.1721,0.1782,0.1647,0.1679,4237859.1,2024-10-02 23:59:59.999,725072.44078000,9929,2192890.30000000,374922.46224000,0
2024-10-03,0.1678,0.1715,0.1608,0.1665,7160588.3,2024-10-03 23:59:59.999,1192921.99700000,10330,3150565.80000000,525064.17673000,0
2024-10-04,0.1665,0.1738,0.1654,0.1736,4176243.4,2024-10-04 23:59:59.999,706770.90047000,6829,2332956.00000000,395122.76479000,0
2024-10-05,0.1736,0.1769,0.1707,0.1743,2643966.7,2024-10-05 23:59:59.999,461547.40492000,5054,1549455.80000000,270710.28193000,0
2024-10-06,0.1742,0.1804,0.1739,0.1804,3309061.5,2024-10-06 23:59:59.999,586779.83008000,6337,1765731.10000000,313473.82210000,0
2024-10-07,0.1805,0.1828,0.1767,0.1779,3473125.6,2024-10-07 23:59:59.999,627198.52558000,8227,1355273.20000000,244911.46265000,0
2024-10-08,0.1779,0.183,0.1769,0.181,4017880.3,2024-10-08 23:59:59.999,722056.61191000,8759,1902796.90000000,342261.40833000,0
2024-10-09,0.1811,0.1823,0.1735,0.1752,3244173.1,2024-10-09 23:59:59.999,580233.13624000,7754,1450201.70000000,259360.68470000,0
2024-10-10,0.1752,0.1762,0.1661,0.171,3464890.3,2024-10-10 23:59:59.999,595914.51563000,9575,1486837.20000000,255693.52353000,0
