Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.3759,0.419,0.3759,0.404,16050906.0,2024-09-19 23:59:59.999,6387698.63900000,49807,7502407.00000000,2995560.79570000,0
2024-09-20,0.4046,0.4135,0.3964,0.4106,5490547.0,2024-09-20 23:59:59.999,2230400.22610000,17847,2681632.00000000,1089430.36550000,0
2024-09-21,0.4106,0.438,0.4046,0.4305,7550509.0,2024-09-21 23:59:59.999,3183094.18800000,24796,4000164.00000000,1686584.10920000,0
2024-09-22,0.4304,0.4305,0.3974,0.4082,5493278.0,2024-09-22 23:59:59.999,2259556.84540000,18935,2563130.00000000,1053742.32300000,0
2024-09-23,0.4082,0.4159,0.3991,0.4129,4948575.0,2024-09-23 23:59:59.999,2023054.30200000,15395,2349333.00000000,960399.35330000,0
2024-09-24,0.4129,0.4296,0.4078,0.4257,4659784.0,2024-09-24 23:59:59.999,1945296.71340000,18104,2083134.00000000,870111.25450000,0
2024-09-25,0.4259,0.444,0.4229,0.4348,10081764.0,2024-09-25 23:59:59.999,4381539.67490000,34218,5242640.00000000,2278839.99670000,0
2024-09-26,0.4349,0.4481,0.427,0.4468,5265745.0,2024-09-26 23:59:59.999,2310722.24340000,20091,2883878.00000000,1266125.12580000,0
2024-09-27,0.4468,0.4513,0.4385,0.4452,3832715.0,2024-09-27 23:59:59.999,1704862.75950000,14237,1818813.00000000,809019.47170000,0
2024-09-28,0.445,0.4508,0.4239,0.4331,4833283.0,2024-09-28 23:59:59.999,2106299.12300000,16822,2280282.00000000,991966.14550000,0
2024-09-29,0.4334,0.4386,0.4175,0.4347,3365469.0,2024-09-29 23:59:59.999,1440398.37430000,15928,1464719.00000000,627244.46610000,0
2024-09-30,0.435,0.4361,0.4041,0.4082,7298205.0,2024-09-30 23:59:59.999,3049222.62130000,27157,3188502.00000000,1328723.29040000,0
2024-10-01,0.408,0.435,0.371,0.3766,12256250.0,2024-10-01 23:59:59.999,4966899.13210000,45912,6141052.00000000,2490150.76430000,0
2024-10-02,0.3766,0.3923,0.3666,0.3728,5951889.0,2024-10-02 23:59:59.999,2267285.93500000,23535,2972486.00000000,1132700.43360000,0
2024-10-03,0.3727,0.3811,0.3552,0.3685,3856737.0,2024-10-03 23:59:59.999,1415675.98110000,14758,1818401.00000000,666974.67500000,0
2024-10-04,0.3685,0.386,0.3659,0.3847,3928497.0,2024-10-04 23:59:59.999,1485899.47150000,12105,2055327.00000000,777153.97600000,0
2024-10-05,0.3847,0.3997,0.3787,0.3857,2922449.0,2024-10-05 23:59:59.999,1139399.49390000,8950,1324782.00000000,516406.61210000,0
2024-10-06,0.3857,0.3981,0.3835,0.3965,1931733.0,2024-10-06 23:59:59.999,756154.70140000,6011,866705.00000000,339639.87730000,0
2024-10-07,0.3965,0.4034,0.3823,0.3838,2922481.0,2024-10-07 23:59:59.999,1152304.62710000,10677,1314312.00000000,518528.61610000,0
2024-10-08,0.3845,0.4008,0.3767,0.4008,5073161.0,2024-10-08 23:59:59.999,1966717.71810000,16133,2756203.00000000,1070953.63570000,0
2024-10-09,0.4007,0.4206,0.3857,0.3928,16189999.0,2024-10-09 23:59:59.999,6618579.68450000,44905,7943317.00000000,3249290.55360000,0
2024-10-10,0.3928,0.423,0.3925,0.4192,12302152.0,2024-10-10 23:59:59.999,5046701.87630000,37947,6158870.00000000,2528321.05530000,0
2024-10-11,0.4189,0.4348,0.4056,0.4336,10853205.0,2024-10-11 23:59:59.999,4545121.77110000,30301,5218733.00000000,2186597.42150000,0
2024-10-12,0.4334,0.4526,0.4291,0.4454,10067676.0,2024-10-12 23:59:59.999,4476222.89260000,33995,5301082.00000000,2358237.31270000,0
2024-10-13,0.4454,0.4745,0.4377,0.4639,10852737.0,2024-10-13 23:59:59.999,4934302.76960000,37486,5623964.00000000,2559375.24440000,0
2024-10-14,0.464,0.4839,0.4469,0.475,11769141.0,2024-10-14 23:59:59.999,5478790.36020000,41547,5672800.00000000,2641139.56460000,0
2024-10-15,0.4751,0.6178,0.4661,0.6058,84414593.0,2024-10-15 23:59:59.999,47027897.15930000,304685,43005592.00000000,23963198.34310000,0
2024-10-16,0.6057,0.65,0.5806,0.5979,63600076.0,2024-10-16 23:59:59.999,38343423.68570000,240862,31879614.00000000,19226064.30350000,0
2024-10-17,0.5977,0.6323,0.5501,0.6181,48969775.0,2024-10-17 23:59:59.999,28549718.92710000,164087,24053771.00000000,14020444.29450000,0
2024-10-18,0.6186,0.6666,0.589,0.6302,52033825.0,2024-10-18 23:59:59.999,32920745.51010000,206042,26004067.00000000,16449854.92870000,0
2024-10-19,0.6301,0.7767,0.5834,0.5921,116333221.0,2024-10-19 23:59:59.999,76012676.40690000,476175,55392722.00000000,36345984.90290000,0
2024-10-20,0.5921,0.5966,0.539,0.5452,60215748.0,2024-10-20 23:59:59.999,33541056.08870000,210856,29089402.00000000,16217626.83530000,0
2024-10-21,0.5452,0.5547,0.5124,0.5132,29187880.0,2024-10-21 23:59:59.999,15545614.39610000,101387,12315581.00000000,6564398.69210000,0
2024-10-22,0.5132,0.5438,0.5022,0.5276,29131179.0,2024-10-22 23:59:59.999,15269285.19040000,112824,14014359.00000000,7356198.65420000,0
2024-10-23,0.5275,0.539,0.4762,0.4862,25357653.0,2024-10-23 23:59:59.999,12806763.97440000,120842,12589547.00000000,6360899.31700000,0
2024-10-24,0.4861,0.4983,0.4756,0.4921,11378770.0,2024-10-24 23:59:59.999,5533965.51500000,37103,5411828.00000000,2633599.62080000,0
2024-10-25,0.4922,0.4922,0.4137,0.4367,15493993.0,2024-10-25 23:59:59.999,7164363.68250000,47259,7010566.00000000,3236586.15850000,0
2024-10-26,0.4366,0.4498,0.4268,0.4395,9859822.0,2024-10-26 23:59:59.999,4338476.33720000,29881,4928945.00000000,2167566.96800000,0
2024-10-27,0.439,0.4645,0.4375,0.4497,20467761.0,2024-10-27 23:59:59.999,9240336.62960000,66083,10384390.00000000,4695823.12370000,0
2024-10-28,0.4498,0.4836,0.4491,0.469,41375267.0,2024-10-28 23:59:59.999,19394401.68280000,111075,21282406.00000000,9977970.14720000,0
2024-10-29,0.4688,0.492,0.4604,0.4788,23781668.0,2024-10-29 23:59:59.999,11263286.31830000,59051,10654941.00000000,5051163.81040000,0
2024-10-30,0.4788,0.4788,0.4632,0.4703,8407747.0,2024-10-30 23:59:59.999,3961488.61220000,23805,3794577.00000000,1788882.61890000,0
2024-10-31,0.4703,0.4716,0.4367,0.4406,8447776.0,2024-10-31 23:59:59.999,3830440.61950000,23435,3871546.00000000,1754337.10320000,0
2024-11-01,0.4406,0.454,0.4308,0.4405,5587805.0,2024-11-01 23:59:59.999,2466884.96310000,17269,2796387.00000000,1233962.95150000,0
2024-11-02,0.4408,0.4619,0.4268,0.4312,11764452.0,2024-11-02 23:59:59.999,5272437.25170000,33594,5891078.00000000,2638725.40760000,0
2024-11-03,0.4314,0.4338,0.4,0.4192,6103955.0,2024-11-03 23:59:59.999,2536662.44550000,21392,3044702.00000000,1262730.04200000,0
2024-11-04,0.4192,0.4233,0.3976,0.4064,4484481.0,2024-11-04 23:59:59.999,1849940.09740000,14235,1931459.00000000,798647.70950000,0
2024-11-05,0.4063,0.434,0.4063,0.4284,5877774.0,2024-11-05 23:59:59.999,2486944.97330000,14704,2828451.00000000,1198913.43320000,0
2024-11-06,0.4288,0.469,0.4288,0.4655,17144779.0,2024-11-06 23:59:59.999,7721326.07340000,42242,8303416.00000000,3741073.93530000,0
2024-11-07,0.4655,0.4775,0.4501,0.465,10609445.0,2024-11-07 23:59:59.999,4929514.53690000,28230,5170589.00000000,2402881.72060000,0
2024-11-08,0.4652,0.4701,0.4492,0.4634,7706678.0,2024-11-08 23:59:59.999,3544351.14450000,18095,3433791.00000000,1579843.80840000,0
2024-11-09,0.4631,0.4851,0.4528,0.4836,8265308.0,2024-11-09 23:59:59.999,3848279.71820000,22157,4187192.00000000,1949309.49870000,0
2024-11-10,0.4837,0.5064,0.4608,0.4901,20840840.0,2024-11-10 23:59:59.999,10218705.97600000,57830,10367082.00000000,5084864.14800000,0
2024-11-11,0.49,0.5137,0.4702,0.5109,17963581.0,2024-11-11 23:59:59.999,8856959.62020000,50996,8927814.00000000,4402119.04710000,0
