Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.04752,0.04752,0.0447,0.04515,46093193.0,2024-11-17 23:59:59.999,2123499.38520500,90573,20104866.30000000,925276.03778200,0
2024-11-18,0.04516,0.0478,0.04495,0.04736,39597764.9,2024-11-18 23:59:59.999,1839877.66816800,62979,19836811.40000000,922306.05055500,0
2024-11-19,0.04736,0.05,0.04679,0.04976,74161467.0,2024-11-19 23:59:59.999,3598190.25790900,82968,38501674.80000000,1870079.34668700,0
2024-11-20,0.04978,0.05072,0.04546,0.04647,44626572.3,2024-11-20 23:59:59.999,2126505.57775400,65368,22051397.60000000,1057574.65482000,0
2024-11-21,0.04647,0.04804,0.04412,0.04802,40540175.2,2024-11-21 23:59:59.999,1883426.69951800,94141,17851527.20000000,829855.62907100,0
2024-11-22,0.04801,0.04855,0.04565,0.04809,37443316.6,2024-11-22 23:59:59.999,1769801.19614700,72929,17040830.90000000,804813.85754600,0
2024-11-23,0.04808,0.05012,0.04713,0.04915,45108590.5,2024-11-23 23:59:59.999,2194026.22086800,67153,21844501.80000000,1062973.06624900,0
2024-11-24,0.04915,0.05213,0.04761,0.05189,71988014.0,2024-11-24 23:59:59.999,3586683.18819100,101161,34859593.00000000,1739581.14144400,0
2024-11-25,0.05189,0.0544,0.05099,0.05396,63424034.3,2024-11-25 23:59:59.999,3367780.28458400,104737,32662539.20000000,1735868.03639900,0
2024-11-26,0.05397,0.05754,0.05053,0.05754,95961523.9,2024-11-26 23:59:59.999,5193631.18573700,144252,54288158.20000000,2941276.52508200,0
2024-11-27,0.05753,0.05948,0.0546,0.05877,99467990.6,2024-11-27 23:59:59.999,5608204.67841000,104055,54398838.20000000,3069597.18653100,0
2024-11-28,0.05878,0.05882,0.05565,0.05815,27464213.5,2024-11-28 23:59:59.999,1565397.85820900,53178,12848186.80000000,731639.44936500,0
2024-11-29,0.05815,0.05902,0.05542,0.05883,41285207.7,2024-11-29 23:59:59.999,2338042.62520000,58083,20079564.90000000,1136665.93455800,0
2024-11-30,0.05883,0.06043,0.05702,0.05868,26043243.6,2024-11-30 23:59:59.999,1515909.82891100,38002,13624302.30000000,795873.82637200,0
2024-12-01,0.05868,0.05888,0.05614,0.05838,29711952.7,2024-12-01 23:59:59.999,1709934.09656300,44890,14182659.90000000,816042.40960600,0
2024-12-02,0.05838,0.0584,0.05328,0.05674,42364419.9,2024-12-02 23:59:59.999,2347895.84852900,83879,18625434.90000000,1032522.20983500,0
2024-12-03,0.05675,0.06009,0.0524,0.06009,91948888.1,2024-12-03 23:59:59.999,5122129.23832500,128585,45941806.50000000,2567284.06227200,0
2024-12-04,0.06008,0.06466,0.05725,0.06234,107777061.9,2024-12-04 23:59:59.999,6575795.62791500,142498,54293606.60000000,3318042.84101700,0
2024-12-05,0.06234,0.06234,0.05711,0.05921,55970984.9,2024-12-05 23:59:59.999,3356384.39035900,90143,25723170.40000000,1542101.51728600,0
2024-12-06,0.05919,0.06084,0.05698,0.05986,40267263.8,2024-12-06 23:59:59.999,2385198.90997300,67057,19029733.70000000,1127870.78530500,0
2024-12-07,0.05987,0.06377,0.05843,0.06225,84674251.4,2024-12-07 23:59:59.999,5153390.44419400,92887,43563406.50000000,2653171.73079800,0
2024-12-08,0.06225,0.06225,0.05947,0.06201,30638603.9,2024-12-08 23:59:59.999,1866999.26234600,43964,11797388.00000000,719255.24323800,0
2024-12-09,0.06201,0.06446,0.04759,0.05287,105402502.1,2024-12-09 23:59:59.999,6140814.60544100,147411,53439903.90000000,3119276.57410500,0
2024-12-10,0.05286,0.0534,0.04602,0.04967,73447789.9,2024-12-10 23:59:59.999,3663725.26305000,127398,34687539.90000000,1729729.06014000,0
2024-12-11,0.04966,0.05325,0.04735,0.05305,61137303.4,2024-12-11 23:59:59.999,3063794.59010400,84455,28516427.10000000,1430105.17620700,0
2024-12-12,0.05306,0.05528,0.05211,0.05319,63625114.5,2024-12-12 23:59:59.999,3420406.29747300,81314,30371935.10000000,1631551.49640700,0
2024-12-13,0.05319,0.05929,0.05183,0.05775,113636377.1,2024-12-13 23:59:59.999,6413032.45013600,119480,58109520.40000000,3278992.57486500,0
2024-12-14,0.05775,0.05875,0.05232,0.05357,38963446.1,2024-12-14 23:59:59.999,2150742.33016400,55761,17790975.40000000,983216.10250000,0
2024-12-15,0.05357,0.05468,0.05188,0.05432,23281980.1,2024-12-15 23:59:59.999,1235962.69593800,40935,10307743.30000000,547427.84899100,0
2024-12-16,0.05433,0.05469,0.05097,0.05157,22748072.1,2024-12-16 23:59:59.999,1192610.75117800,47492,10778510.50000000,563962.29909500,0
2024-12-17,0.05156,0.05159,0.04849,0.04895,20366715.1,2024-12-17 23:59:59.999,1022596.72363100,35811,9614002.10000000,482527.71968400,0
2024-12-18,0.04897,0.05043,0.0447,0.04573,40361194.3,2024-12-18 23:59:59.999,1937278.93178800,49616,20706707.80000000,997296.02139900,0
2024-12-19,0.04574,0.0481,0.04242,0.04467,65217322.1,2024-12-19 23:59:59.999,2961317.12627200,47482,32348095.80000000,1473413.59914100,0
2024-12-20,0.04468,0.04894,0.04268,0.04653,81181889.1,2024-12-20 23:59:59.999,3722714.55274000,55849,40993346.40000000,1883961.52292300,0
2024-12-21,0.04654,0.04983,0.04465,0.04636,53626818.9,2024-12-21 23:59:59.999,2531441.92325600,38395,25023758.70000000,1182301.32535000,0
2024-12-22,0.04636,0.04858,0.04554,0.04801,44860124.4,2024-12-22 23:59:59.999,2115007.53859200,32675,20868441.00000000,984535.19415000,0
2024-12-23,0.04802,0.04946,0.04634,0.04914,23401831.6,2024-12-23 23:59:59.999,1120508.56899700,23052,11195303.10000000,535885.66969800,0
2024-12-24,0.04913,0.05018,0.04764,0.0497,26321822.4,2024-12-24 23:59:59.999,1294136.92663400,21476,14942916.20000000,734634.99364200,0
2024-12-25,0.0497,0.05819,0.04888,0.05329,233815748.2,2024-12-25 23:59:59.999,12595132.33519400,159020,119756596.10000000,6445963.32006600,0
2024-12-26,0.05328,0.06148,0.05098,0.05615,285698020.0,2024-12-26 23:59:59.999,16032395.69272300,181270,147127648.20000000,8250904.45541300,0
2024-12-27,0.05615,0.06143,0.05329,0.05503,117406617.6,2024-12-27 23:59:59.999,6699250.40751100,87053,56197397.40000000,3206776.49788200,0
2024-12-28,0.05509,0.05509,0.0524,0.05469,47782932.9,2024-12-28 23:59:59.999,2574030.76148300,33616,25471229.60000000,1372750.45290400,0
2024-12-29,0.05469,0.06702,0.0544,0.05802,203897965.8,2024-12-29 23:59:59.999,12327942.36732000,154629,99134556.10000000,5998707.22669200,0
2024-12-30,0.05802,0.06261,0.0532,0.05437,89817844.0,2024-12-30 23:59:59.999,5030841.16284800,61854,45311889.40000000,2542309.39080700,0
2024-12-31,0.05434,0.06781,0.05238,0.0645,383672723.3,2024-12-31 23:59:59.999,23628738.54866800,309481,189023425.00000000,11668074.43284400,0
2025-01-01,0.06451,0.0647,0.05645,0.05821,135923177.5,2025-01-01 23:59:59.999,8134086.03405100,92150,66973012.80000000,4006546.40917300,0
2025-01-02,0.05817,0.0583,0.05569,0.05804,51026396.3,2025-01-02 23:59:59.999,2898991.81801700,34721,24230600.30000000,1377434.10533300,0
2025-01-03,0.05804,0.06185,0.05801,0.06096,115868942.9,2025-01-03 23:59:59.999,6986300.49183900,73493,57185973.60000000,3448852.70430500,0
2025-01-04,0.06096,0.0715,0.05918,0.06847,219476425.3,2025-01-04 23:59:59.999,14521526.63688900,177364,106970038.90000000,7077817.55821400,0
2025-01-05,0.06848,0.06852,0.06452,0.06692,76893592.7,2025-01-05 23:59:59.999,5070229.08469500,52216,40139434.80000000,2647537.82928200,0
2025-01-06,0.06698,0.07448,0.0651,0.06981,148561919.1,2025-01-06 23:59:59.999,10314224.20492800,128916,76527948.20000000,5307151.09785100,0
2025-01-07,0.06979,0.07723,0.06643,0.07721,150698340.9,2025-01-07 23:59:59.999,10651817.68985500,142777,73763954.40000000,5212706.08791500,0
2025-01-08,0.07715,0.07724,0.06596,0.07099,166132522.3,2025-01-08 23:59:59.999,11596195.70966700,138451,80730404.10000000,5636707.27639300,0
