Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.4701,0.478,0.4417,0.4513,54985483.29,2024-11-17 23:59:59.999,25359950.93447600,120170,27378505.30000000,12628697.54695200,0
2024-11-18,0.4514,0.515,0.4469,0.5064,127755487.8,2024-11-18 23:59:59.999,61802075.51593900,242518,65216483.18000000,31561399.49074300,0
2024-11-19,0.5064,0.5105,0.4642,0.479,53955014.4,2024-11-19 23:59:59.999,26076203.77784200,120291,26430263.86000000,12783476.06268600,0
2024-11-20,0.4789,0.4902,0.4435,0.4492,71636074.57,2024-11-20 23:59:59.999,33760554.26181600,143755,33931509.39000000,15994290.07686500,0
2024-11-21,0.4493,0.5273,0.4353,0.5045,107185083.49,2024-11-21 23:59:59.999,53210603.02884700,211891,51265096.20000000,25448353.74145300,0
2024-11-22,0.5048,0.5422,0.49,0.5335,102171521.48,2024-11-22 23:59:59.999,52612270.20621700,174621,50417011.85000000,25976724.58357500,0
2024-11-23,0.5335,0.5969,0.5276,0.5744,115039294.31,2024-11-23 23:59:59.999,64831990.24606300,269022,57389678.27000000,32358671.68432800,0
2024-11-24,0.5745,0.6196,0.5555,0.611,124537324.5,2024-11-24 23:59:59.999,73689055.46579600,318689,60743649.31000000,35994835.68046200,0
2024-11-25,0.6111,0.6423,0.5745,0.5868,111372661.08,2024-11-25 23:59:59.999,67576092.88143200,259639,54906367.35000000,33355023.07344500,0
2024-11-26,0.5869,0.6065,0.5339,0.5789,107689962.95,2024-11-26 23:59:59.999,61281516.58190300,211388,52434278.70000000,29813163.93559400,0
2024-11-27,0.5786,0.6479,0.5702,0.6378,74700419.98,2024-11-27 23:59:59.999,45237476.82914500,162635,36845262.13000000,22328331.11101500,0
2024-11-28,0.6377,0.6511,0.6061,0.6303,57201924.29,2024-11-28 23:59:59.999,35927496.82440700,136153,28017642.52000000,17604454.53674600,0
2024-11-29,0.6305,0.6329,0.6081,0.6268,46620239.05,2024-11-29 23:59:59.999,28881782.25235300,93215,22381500.85000000,13866803.88936800,0
2024-11-30,0.6272,0.7184,0.6174,0.7123,79182776.97,2024-11-30 23:59:59.999,53106007.09321300,186658,39475138.99000000,26485864.99622400,0
2024-12-01,0.7125,0.7341,0.6954,0.7115,67248961.31,2024-12-01 23:59:59.999,47769134.48579800,161806,32525888.99000000,23126344.90205800,0
2024-12-02,0.7114,0.7272,0.6555,0.7112,83294016.46,2024-12-02 23:59:59.999,57165791.77026100,211797,37984444.19000000,26063567.98003000,0
2024-12-03,0.7116,0.7486,0.6367,0.7259,94672760.06,2024-12-03 23:59:59.999,66175775.32868900,216413,46979886.42000000,32833892.85594000,0
2024-12-04,0.726,0.7677,0.7098,0.7217,75984433.77,2024-12-04 23:59:59.999,56217852.00709100,208341,37454428.49000000,27730215.47291300,0
2024-12-05,0.7216,0.7503,0.6783,0.7147,79726520.16,2024-12-05 23:59:59.999,57341929.34549100,278143,36886788.33000000,26535916.13827600,0
2024-12-06,0.7146,0.8043,0.708,0.7846,86055390.84,2024-12-06 23:59:59.999,65803248.61739700,236529,42051290.01000000,32196451.49523300,0
2024-12-07,0.7848,0.7953,0.7649,0.7684,35770298.88,2024-12-07 23:59:59.999,27891663.79880300,119396,17127959.87000000,13358797.05959800,0
2024-12-08,0.7684,0.781,0.74,0.7762,29646204.49,2024-12-08 23:59:59.999,22574413.45395100,106382,13832809.98000000,10539283.29931000,0
2024-12-09,0.7759,0.777,0.52,0.6212,101279163.53,2024-12-09 23:59:59.999,67443990.88176100,276517,46682782.68000000,31087667.79854200,0
2024-12-10,0.6212,0.6425,0.5576,0.6154,92061922.23,2024-12-10 23:59:59.999,55511778.15771100,201322,44773860.74000000,26994486.27915700,0
2024-12-11,0.6156,0.6623,0.5872,0.6546,49594116.26,2024-12-11 23:59:59.999,31153942.27446400,123265,23723094.73000000,14914949.95222300,0
2024-12-12,0.6549,0.699,0.6494,0.6611,43381529.37,2024-12-12 23:59:59.999,29409769.67856500,139343,19720967.47000000,13382183.45333600,0
2024-12-13,0.6612,0.6656,0.632,0.658,37456662.6,2024-12-13 23:59:59.999,24360397.56829500,102375,17595592.03000000,11442167.49213100,0
2024-12-14,0.6582,0.6677,0.6053,0.6228,25393772.08,2024-12-14 23:59:59.999,16055713.97836000,81167,12393122.20000000,7832436.42825000,0
2024-12-15,0.6228,0.6511,0.6012,0.6482,24716219.42,2024-12-15 23:59:59.999,15500639.48383800,78979,12389648.28000000,7775981.23599800,0
2024-12-16,0.6485,0.6718,0.6114,0.6275,40964386.68,2024-12-16 23:59:59.999,26215864.17810200,130303,19285750.23000000,12349001.62647000,0
2024-12-17,0.6275,0.6291,0.5777,0.5866,37044968.09,2024-12-17 23:59:59.999,22526567.65285800,102965,19021990.08000000,11561798.35038600,0
2024-12-18,0.5867,0.5882,0.519,0.5254,53003559.75,2024-12-18 23:59:59.999,29445807.12651000,141330,26276666.90000000,14601123.36318900,0
2024-12-19,0.5254,0.5334,0.462,0.4874,85059550.62,2024-12-19 23:59:59.999,42076449.08573100,200108,39314420.42000000,19483436.58681100,0
2024-12-20,0.4874,0.5064,0.4258,0.5001,102647997.58,2024-12-20 23:59:59.999,47983261.44064700,196183,49555140.50000000,23199009.86719200,0
2024-12-21,0.5003,0.5279,0.4649,0.4728,49834009.83,2024-12-21 23:59:59.999,24543465.07948700,114709,24499509.52000000,12033288.81470600,0
2024-12-22,0.4732,0.4918,0.4578,0.466,34096551.87,2024-12-22 23:59:59.999,16187116.49846100,79455,16155073.98000000,7674219.29052000,0
2024-12-23,0.4658,0.5054,0.454,0.4952,43426818.53,2024-12-23 23:59:59.999,20620607.03262200,111071,21231821.12000000,10080041.04661200,0
2024-12-24,0.4952,0.5184,0.4802,0.5078,29848364.66,2024-12-24 23:59:59.999,14929766.92427400,83933,15274638.01000000,7630536.21374700,0
2024-12-25,0.5077,0.5127,0.4881,0.4956,19854204.1,2024-12-25 23:59:59.999,9933391.46626000,55111,9591236.31000000,4795405.26682800,0
2024-12-26,0.4957,0.5005,0.4571,0.4651,21823479.88,2024-12-26 23:59:59.999,10316857.19091800,53545,10571028.80000000,5001618.93698400,0
2024-12-27,0.465,0.496,0.462,0.471,32031966.16,2024-12-27 23:59:59.999,15307357.93694700,82627,15466448.69000000,7396171.65942300,0
2024-12-28,0.4709,0.4899,0.4635,0.483,20353923.22,2024-12-28 23:59:59.999,9681344.98395700,52620,10035593.23000000,4771343.43166700,0
2024-12-29,0.4831,0.4941,0.4646,0.4728,23521964.36,2024-12-29 23:59:59.999,11340449.38395200,58020,11667981.67000000,5635902.54868600,0
2024-12-30,0.4727,0.4925,0.4606,0.4713,32340182.84,2024-12-30 23:59:59.999,15419390.35028600,75758,15744335.95000000,7502846.11418400,0
2024-12-31,0.4713,0.4838,0.4571,0.4687,20014725.19,2024-12-31 23:59:59.999,9406178.94217800,45066,9274480.48000000,4357034.48604200,0
2025-01-01,0.4685,0.4849,0.4605,0.479,15900008.76,2025-01-01 23:59:59.999,7515954.92143000,39114,7029046.70000000,3323719.01773700,0
2025-01-02,0.4791,0.5082,0.4791,0.4959,25934935.93,2025-01-02 23:59:59.999,12874646.79526700,61935,12469702.20000000,6187482.80792400,0
2025-01-03,0.496,0.5222,0.4866,0.5181,25760351.19,2025-01-03 23:59:59.999,13029741.10473400,57012,13170226.30000000,6655576.15732800,0
2025-01-04,0.5183,0.5357,0.5093,0.5253,22934818.88,2025-01-04 23:59:59.999,11992147.31647100,54699,12005110.17000000,6275427.07245800,0
