Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.568,1.743,1.548,1.687,14776701.6,2024-09-19 23:59:59.999,24713125.76840000,91218,7287396.10000000,12162483.17680000,0
2024-09-20,1.687,1.809,1.665,1.745,9928073.0,2024-09-20 23:59:59.999,17333044.46090000,68620,5086029.50000000,8875382.24000000,0
2024-09-21,1.745,1.773,1.715,1.759,4890002.4,2024-09-21 23:59:59.999,8539843.13040000,34845,2511785.60000000,4392618.14440000,0
2024-09-22,1.759,1.763,1.66,1.73,4611587.2,2024-09-22 23:59:59.999,7850268.44390000,44918,2143057.20000000,3648778.04850000,0
2024-09-23,1.73,1.875,1.686,1.846,14240985.8,2024-09-23 23:59:59.999,25695025.12190000,106093,7285913.90000000,13153883.58740000,0
2024-09-24,1.846,1.985,1.816,1.961,15258961.8,2024-09-24 23:59:59.999,29302597.32130000,122622,7696454.00000000,14786818.17000000,0
2024-09-25,1.961,2.048,1.865,1.875,12272583.3,2024-09-25 23:59:59.999,24062934.42430000,87800,5738781.90000000,11278248.37540000,0
2024-09-26,1.875,2.074,1.845,1.989,14855495.2,2024-09-26 23:59:59.999,29499368.10230000,98836,7506543.70000000,14923419.90000000,0
2024-09-27,1.99,2.064,1.961,1.99,8796860.7,2024-09-27 23:59:59.999,17677080.67240000,73512,4383840.00000000,8812947.28560000,0
2024-09-28,1.991,2.023,1.913,1.962,4857702.4,2024-09-28 23:59:59.999,9524070.55520000,48238,2137608.50000000,4197613.00370000,0
2024-09-29,1.962,2.0,1.892,1.964,6089538.5,2024-09-29 23:59:59.999,11840710.04630000,50726,3143633.60000000,6114099.87970000,0
2024-09-30,1.965,1.998,1.816,1.841,8341768.1,2024-09-30 23:59:59.999,15836768.56880000,63557,3835663.10000000,7283529.42150000,0
2024-10-01,1.84,1.939,1.605,1.71,20001045.4,2024-10-01 23:59:59.999,35227405.75710000,128652,9948923.30000000,17515002.65860000,0
2024-10-02,1.711,1.798,1.663,1.728,12152703.2,2024-10-02 23:59:59.999,21141114.27230000,90082,5903044.30000000,10277202.65020000,0
2024-10-03,1.728,1.89,1.696,1.828,23733498.3,2024-10-03 23:59:59.999,42621996.69030000,189727,12430737.80000000,22351600.98660000,0
2024-10-04,1.827,2.0,1.817,1.879,16443269.1,2024-10-04 23:59:59.999,31372435.56160000,124380,8503171.90000000,16222000.79080000,0
2024-10-05,1.879,1.884,1.764,1.803,8294990.2,2024-10-05 23:59:59.999,15101377.01840000,74911,4039630.40000000,7361319.27930000,0
2024-10-06,1.803,1.848,1.788,1.84,7159257.6,2024-10-06 23:59:59.999,13000704.49250000,84217,3298127.10000000,5995451.88150000,0
2024-10-07,1.84,1.888,1.753,1.757,11676440.6,2024-10-07 23:59:59.999,21310432.21980000,104528,5499542.30000000,10052772.84970000,0
2024-10-08,1.756,1.781,1.705,1.732,7561245.5,2024-10-08 23:59:59.999,13186896.51320000,75697,3720367.40000000,6491349.05110000,0
2024-10-09,1.733,1.757,1.634,1.652,6813372.7,2024-10-09 23:59:59.999,11492922.31710000,69405,3322747.10000000,5611670.73890000,0
2024-10-10,1.652,1.695,1.59,1.674,8894020.0,2024-10-10 23:59:59.999,14652941.87580000,86202,4066227.50000000,6718495.85520000,0
2024-10-11,1.673,1.779,1.652,1.743,6376470.1,2024-10-11 23:59:59.999,10971344.65500000,72161,3290878.70000000,5664647.16560000,0
2024-10-12,1.743,1.788,1.741,1.757,4804092.4,2024-10-12 23:59:59.999,8457204.96730000,60865,2325676.70000000,4100333.57060000,0
2024-10-13,1.757,1.762,1.53,1.731,7558672.2,2024-10-13 23:59:59.999,12959225.06560000,75587,3373055.40000000,5783453.98680000,0
2024-10-14,1.732,1.845,1.704,1.833,9177818.2,2024-10-14 23:59:59.999,16531921.98490000,101539,4807074.40000000,8657586.02700000,0
2024-10-15,1.834,1.882,1.758,1.818,14861057.5,2024-10-15 23:59:59.999,26959848.31310000,138496,6991166.90000000,12708950.98680000,0
2024-10-16,1.818,1.922,1.793,1.85,11474384.3,2024-10-16 23:59:59.999,21258871.17330000,115111,5826547.60000000,10809461.99590000,0
2024-10-17,1.851,1.915,1.68,1.864,9891196.1,2024-10-17 23:59:59.999,18120547.47620000,115224,4922440.00000000,9026041.58850000,0
2024-10-18,1.864,1.962,1.844,1.927,8017632.0,2024-10-18 23:59:59.999,15274742.69410000,87075,4161042.40000000,7932788.84910000,0
2024-10-19,1.928,1.928,1.862,1.883,2882429.3,2024-10-19 23:59:59.999,5451832.34480000,51142,1191489.90000000,2255366.10870000,0
2024-10-20,1.884,1.94,1.845,1.926,4495839.3,2024-10-20 23:59:59.999,8506533.59250000,68045,2309542.00000000,4373482.99580000,0
2024-10-21,1.926,1.953,1.803,1.828,6174051.5,2024-10-21 23:59:59.999,11562397.48000000,71761,2627145.70000000,4920667.82270000,0
2024-10-22,1.829,1.847,1.77,1.814,4097488.0,2024-10-22 23:59:59.999,7414341.49220000,62639,1997468.20000000,3615778.46100000,0
