Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,3.761,3.9409,3.5732,3.7839,111441563.6,2024-11-17 23:59:59.999,418296601.94244000,910716,56465271.30000000,212003036.51975000,0
2024-11-18,3.7846,3.9098,3.6057,3.6992,83318827.7,2024-11-18 23:59:59.999,311301569.21275000,642774,42195814.00000000,157753860.38124000,0
2024-11-19,3.6993,3.85,3.6043,3.724,63587904.5,2024-11-19 23:59:59.999,236838076.96930000,624773,32366658.70000000,120608157.20001000,0
2024-11-20,3.7238,3.8443,3.4229,3.5247,85245452.8,2024-11-20 23:59:59.999,312147651.28531000,769504,41407663.70000000,151596119.95760000,0
2024-11-21,3.5249,3.697,3.3232,3.6252,101461563.7,2024-11-21 23:59:59.999,360270592.62134000,821691,51165483.20000000,181747395.63359000,0
2024-11-22,3.6253,3.6556,3.3934,3.5653,75576988.5,2024-11-22 23:59:59.999,266374840.21395000,616460,37827450.90000000,133322775.84606000,0
2024-11-23,3.5649,3.6596,3.34,3.4367,92252268.0,2024-11-23 23:59:59.999,326039217.09434000,728686,46493332.90000000,164299254.71807000,0
2024-11-24,3.4369,3.5705,3.1367,3.3958,83624554.9,2024-11-24 23:59:59.999,281074204.63941000,748556,42115975.80000000,141425997.14652000,0
2024-11-25,3.3963,3.4853,3.1013,3.1926,97009654.6,2024-11-25 23:59:59.999,320031529.63740000,737415,49694645.20000000,164119527.60456000,0
2024-11-26,3.192,3.5414,2.9722,3.4944,131509948.2,2024-11-26 23:59:59.999,431232286.03307000,984960,63064154.00000000,206818877.69157000,0
2024-11-27,3.4944,3.5028,3.2751,3.4332,73196702.5,2024-11-27 23:59:59.999,248692261.23715000,567042,37576363.30000000,127681655.97612000,0
2024-11-28,3.4332,3.6554,3.3922,3.4436,73918092.7,2024-11-28 23:59:59.999,260352969.51920000,518582,37201884.60000000,131062860.14242000,0
2024-11-29,3.4436,3.58,3.3584,3.4856,62817169.5,2024-11-29 23:59:59.999,217256730.17359000,471518,30959746.50000000,107020686.70053000,0
2024-11-30,3.4855,3.5339,3.4115,3.4758,44862843.1,2024-11-30 23:59:59.999,155520985.71919000,341228,21473614.10000000,74415913.69485000,0
2024-12-01,3.4759,3.5339,3.3336,3.4763,48248863.1,2024-12-01 23:59:59.999,165656488.41945000,358937,23578408.00000000,80909290.95303000,0
2024-12-02,3.4763,3.493,3.1783,3.3894,72501101.3,2024-12-02 23:59:59.999,238811394.09561000,584770,35525162.90000000,117038748.99350000,0
2024-12-03,3.3896,3.8785,3.3225,3.6951,190168789.2,2024-12-03 23:59:59.999,696859980.07776000,1241368,94189104.30000000,345448350.93889000,0
2024-12-04,3.6955,3.7933,3.5214,3.6737,93733342.4,2024-12-04 23:59:59.999,343735747.18474000,643941,47182431.10000000,173017308.89210000,0
2024-12-05,3.6734,4.4453,3.5261,4.2274,214178300.3,2024-12-05 23:59:59.999,870060891.49101000,1474836,110995210.60000000,451009790.01275000,0
2024-12-06,4.2269,4.49,4.0752,4.2171,130522393.0,2024-12-06 23:59:59.999,554207763.30178000,879495,69117182.00000000,293580253.50566000,0
2024-12-07,4.2171,4.4487,4.1542,4.2589,64229595.1,2024-12-07 23:59:59.999,276505217.44123000,549072,31607437.00000000,136121984.18539000,0
2024-12-08,4.2591,4.3983,4.1214,4.2322,45534245.1,2024-12-08 23:59:59.999,192766275.12533000,357868,21662478.90000000,91745885.45505000,0
2024-12-09,4.2311,4.27,3.35,3.8379,132662733.3,2024-12-09 23:59:59.999,521716718.56804000,1082435,64377594.50000000,253299310.76184000,0
2024-12-10,3.837,3.8984,3.4631,3.7135,121862641.1,2024-12-10 23:59:59.999,451506305.91128000,1094786,61102429.80000000,226408457.76221000,0
2024-12-11,3.7135,4.406,3.5657,4.3728,100136534.4,2024-12-11 23:59:59.999,400060694.22471000,1164206,50094037.00000000,200233525.45786000,0
2024-12-12,4.3729,4.9136,4.3543,4.6209,146971444.5,2024-12-12 23:59:59.999,689194504.64607000,1299669,73012503.50000000,342180437.35626000,0
2024-12-13,4.6205,4.9269,4.5402,4.7623,79617007.8,2024-12-13 23:59:59.999,377342535.71106000,808615,40122774.90000000,190270538.57148000,0
2024-12-14,4.7622,4.8455,4.3502,4.4592,50497435.7,2024-12-14 23:59:59.999,231909132.22999000,550098,24781729.70000000,113808807.31252000,0
2024-12-15,4.4595,4.85,4.3514,4.7834,56881957.6,2024-12-15 23:59:59.999,261511231.54209000,660590,29377391.00000000,135063858.93568000,0
2024-12-16,4.7842,4.96,4.5987,4.6286,69394598.3,2024-12-16 23:59:59.999,330318419.01531000,894082,34303630.10000000,163322864.62922000,0
2024-12-17,4.6282,4.868,4.5659,4.6409,56088100.0,2024-12-17 23:59:59.999,264023831.61017000,793672,28527173.60000000,134285805.02503000,0
2024-12-18,4.6408,4.763,4.19,4.3361,84978873.3,2024-12-18 23:59:59.999,383516960.51650000,1106625,42982298.60000000,194046607.07324000,0
2024-12-19,4.3362,4.5984,3.9339,4.0754,131068350.3,2024-12-19 23:59:59.999,556602839.55491000,1654063,65732064.50000000,279411963.77326000,0
2024-12-20,4.0753,4.6193,3.492,4.5815,197631937.0,2024-12-20 23:59:59.999,800618109.34125000,2286057,100169454.20000000,405569689.46447000,0
2024-12-21,4.5816,4.9099,4.2305,4.3629,122761811.8,2024-12-21 23:59:59.999,564629119.61163000,1496540,61105645.20000000,281463677.89217000,0
2024-12-22,4.363,4.5951,4.164,4.3257,98198185.5,2024-12-22 23:59:59.999,431465382.57114000,1104513,49406088.70000000,217111000.37904000,0
2024-12-23,4.3258,4.7576,4.1089,4.7163,95752445.5,2024-12-23 23:59:59.999,416602281.62882000,1113014,47512572.30000000,206717010.25391000,0
2024-12-24,4.716,4.758,4.4647,4.6059,66727550.6,2024-12-24 23:59:59.999,308523550.74435000,781314,32453804.50000000,150048043.24913000,0
2024-12-25,4.606,4.6442,4.4531,4.4983,37173241.8,2024-12-25 23:59:59.999,168879320.69572000,361804,17998236.80000000,81759699.40095000,0
2024-12-26,4.4986,4.5342,4.1483,4.2024,49242072.1,2024-12-26 23:59:59.999,211414361.14438000,588732,24216871.50000000,103930956.07897000,0
2024-12-27,4.2023,4.4153,4.0542,4.0847,53508066.9,2024-12-27 23:59:59.999,225916810.00085000,677196,26501134.70000000,111868552.44035000,0
2024-12-28,4.0848,4.2678,3.9782,4.2133,39076586.4,2024-12-28 23:59:59.999,159987972.90674000,453098,19203736.50000000,78652648.08586000,0
2024-12-29,4.2133,4.28,4.0527,4.0921,26878303.7,2024-12-29 23:59:59.999,111972725.46228000,468304,13261167.40000000,55253914.39467000,0
2024-12-30,4.0922,4.3748,3.946,4.1811,58145109.7,2024-12-30 23:59:59.999,240995969.40754000,904252,27516629.60000000,114052706.69754000,0
2024-12-31,4.1812,4.3463,4.0479,4.1225,46337644.7,2024-12-31 23:59:59.999,194583309.70487000,692391,22825282.90000000,95813085.75290000,0
2025-01-01,4.1226,4.3187,4.046,4.2847,27318153.9,2025-01-01 23:59:59.999,114224406.22836000,457251,13172827.90000000,55125191.51889000,0
2025-01-02,4.2848,4.4659,4.256,4.3526,33034319.5,2025-01-02 23:59:59.999,144153162.40061000,554070,16098556.30000000,70244122.30390000,0
2025-01-03,4.3527,4.9888,4.2436,4.9843,60704503.6,2025-01-03 23:59:59.999,281204553.07935000,877154,31173248.70000000,145007445.13005000,0
2025-01-04,4.9842,5.3598,4.8406,5.2902,97832735.2,2025-01-04 23:59:59.999,501566604.04010000,1265194,48510998.70000000,248633728.17205000,0
2025-01-05,5.2902,5.3256,5.1183,5.2443,46958284.4,2025-01-05 23:59:59.999,244722983.87301000,655159,23669366.20000000,123347884.42029000,0
2025-01-06,5.2444,5.3687,4.9779,5.09,50481892.3,2025-01-06 23:59:59.999,262682934.51149000,889703,25963241.40000000,135198450.90182000,0
