Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.02263,0.02296,0.02129,0.02182,278225156.0,2024-11-17 23:59:59.999,6112415.79845000,39139,134644626.00000000,2957783.81329000,0
2024-11-18,0.02181,0.02292,0.02165,0.0226,318819446.0,2024-11-18 23:59:59.999,7142609.87044000,44313,147142768.00000000,3299687.09028000,0
2024-11-19,0.02259,0.02292,0.02112,0.02152,226393828.0,2024-11-19 23:59:59.999,5033881.38226000,43087,108338745.00000000,2409159.22961000,0
2024-11-20,0.02151,0.02153,0.01983,0.02005,261039767.0,2024-11-20 23:59:59.999,5446855.56022000,35812,116666351.00000000,2440268.87633000,0
2024-11-21,0.02006,0.02126,0.01921,0.02096,241771381.0,2024-11-21 23:59:59.999,4944942.17518000,34485,114395065.00000000,2347431.29607000,0
2024-11-22,0.02097,0.0217,0.02037,0.02168,187458808.0,2024-11-22 23:59:59.999,3927117.37870000,33685,96694263.00000000,2027355.69214000,0
2024-11-23,0.02169,0.02367,0.02153,0.02279,332189830.0,2024-11-23 23:59:59.999,7545317.41553000,57512,162152168.00000000,3683133.95292000,0
2024-11-24,0.0228,0.02414,0.02188,0.02355,394125588.0,2024-11-24 23:59:59.999,9074786.69934000,70524,191759952.00000000,4418516.78240000,0
2024-11-25,0.02357,0.02418,0.02158,0.02193,311529177.0,2024-11-25 23:59:59.999,7157017.21471000,57238,146899392.00000000,3377705.00279000,0
2024-11-26,0.02193,0.02288,0.02012,0.02069,323265006.0,2024-11-26 23:59:59.999,6832126.91391000,50613,152482507.00000000,3223130.91813000,0
2024-11-27,0.02068,0.02303,0.02053,0.02273,195803884.0,2024-11-27 23:59:59.999,4287256.03774000,37228,98346998.00000000,2156880.57762000,0
2024-11-28,0.02273,0.02297,0.02171,0.02189,158254424.0,2024-11-28 23:59:59.999,3514472.75811000,30323,78077528.00000000,1733644.07079000,0
2024-11-29,0.02189,0.02304,0.02152,0.02242,219672556.0,2024-11-29 23:59:59.999,4898707.09560000,36298,111928117.00000000,2497691.46827000,0
2024-11-30,0.02242,0.02279,0.02185,0.02244,227115450.0,2024-11-30 23:59:59.999,5077301.40335000,52582,105949878.00000000,2368448.45626000,0
2024-12-01,0.02244,0.02362,0.02186,0.02312,242734541.0,2024-12-01 23:59:59.999,5565551.48339000,44025,126049890.00000000,2889451.84933000,0
2024-12-02,0.02312,0.0243,0.0219,0.02428,508571450.0,2024-12-02 23:59:59.999,11762664.70419000,87783,247853446.00000000,5734317.65564000,0
2024-12-03,0.02426,0.04097,0.02393,0.03981,2027090410.0,2024-12-03 23:59:59.999,59835554.00708000,383562,1059614732.00000000,31168970.48018000,0
2024-12-04,0.03983,0.043,0.03101,0.0317,1487943507.0,2024-12-04 23:59:59.999,52437500.72224000,287380,700996751.00000000,24744870.19768000,0
2024-12-05,0.03171,0.03204,0.02851,0.02987,602357813.0,2024-12-05 23:59:59.999,18434715.62664000,112652,284690172.00000000,8717657.64049000,0
2024-12-06,0.02986,0.03258,0.0295,0.03081,376162218.0,2024-12-06 23:59:59.999,11745815.69872000,70514,181734146.00000000,5675272.31101000,0
2024-12-07,0.03081,0.03184,0.03058,0.03061,194195459.0,2024-12-07 23:59:59.999,6055442.62935000,41509,88798551.00000000,2770861.92812000,0
2024-12-08,0.03062,0.0314,0.0299,0.03116,111729648.0,2024-12-08 23:59:59.999,3437980.57129000,25385,55013736.00000000,1693590.65169000,0
2024-12-09,0.03117,0.03126,0.02055,0.02434,611933667.0,2024-12-09 23:59:59.999,15838778.91714000,123838,301558864.00000000,7761170.97426000,0
2024-12-10,0.02433,0.02522,0.02222,0.02389,556211233.0,2024-12-10 23:59:59.999,13149837.85636000,83677,266812778.00000000,6314126.41615000,0
2024-12-11,0.02388,0.02568,0.02305,0.02547,222051524.0,2024-12-11 23:59:59.999,5455515.20509000,44495,117998794.00000000,2906387.45821000,0
2024-12-12,0.02546,0.02731,0.02525,0.02613,314511089.0,2024-12-12 23:59:59.999,8319596.44362000,71790,160002661.00000000,4236420.87005000,0
2024-12-13,0.02614,0.02654,0.02504,0.02552,188471952.0,2024-12-13 23:59:59.999,4818544.06732000,47777,90308426.00000000,2309323.82178000,0
2024-12-14,0.02554,0.02604,0.02408,0.0246,154518174.0,2024-12-14 23:59:59.999,3869449.89835000,38076,74277768.00000000,1863416.44793000,0
2024-12-15,0.0246,0.02514,0.02377,0.02503,131326759.0,2024-12-15 23:59:59.999,3219779.37059000,32130,67158205.00000000,1646160.26931000,0
2024-12-16,0.02506,0.02618,0.02388,0.0251,300635743.0,2024-12-16 23:59:59.999,7549404.03445000,59569,154829280.00000000,3892343.26458000,0
