Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.649,0.679,0.649,0.669,4053865.1,2024-09-19 23:59:59.999,2694022.16460000,17378,2117246.80000000,1409019.01380000,0
2024-09-20,0.669,0.7,0.664,0.693,3400595.3,2024-09-20 23:59:59.999,2323806.29170000,19571,1636795.20000000,1118396.96190000,0
2024-09-21,0.691,0.701,0.678,0.697,1608418.1,2024-09-21 23:59:59.999,1110115.15660000,9615,789476.00000000,545380.29540000,0
2024-09-22,0.697,0.701,0.662,0.684,3015283.6,2024-09-22 23:59:59.999,2066775.58870000,13164,1392357.10000000,956299.36360000,0
2024-09-23,0.684,0.707,0.67,0.704,3317616.6,2024-09-23 23:59:59.999,2314037.09040000,20593,1620339.30000000,1130128.80030000,0
2024-09-24,0.704,0.726,0.692,0.723,2768083.5,2024-09-24 23:59:59.999,1967636.41070000,17177,1375088.00000000,977929.30590000,0
2024-09-25,0.724,0.732,0.699,0.703,3951044.5,2024-09-25 23:59:59.999,2808001.52470000,16839,1762338.60000000,1253223.58780000,0
2024-09-26,0.704,0.756,0.696,0.745,5044634.8,2024-09-26 23:59:59.999,3687530.39360000,28151,2702191.70000000,1971073.90820000,0
2024-09-27,0.745,0.821,0.74,0.819,5451290.4,2024-09-27 23:59:59.999,4248434.14080000,35106,3047660.40000000,2380592.92370000,0
2024-09-28,0.82,0.93,0.819,0.913,27072516.0,2024-09-28 23:59:59.999,23932174.72540000,171061,13890266.10000000,12276187.79960000,0
2024-09-29,0.913,0.93,0.86,0.863,12266431.6,2024-09-29 23:59:59.999,10953014.42080000,85588,5520273.90000000,4938074.28440000,0
2024-09-30,0.864,0.866,0.793,0.802,6249774.2,2024-09-30 23:59:59.999,5223896.96560000,48305,3092457.80000000,2588179.07820000,0
2024-10-01,0.802,0.822,0.7,0.709,10032167.2,2024-10-01 23:59:59.999,7609188.88180000,65864,4379132.40000000,3304843.58950000,0
2024-10-02,0.709,0.739,0.69,0.701,6278598.0,2024-10-02 23:59:59.999,4491392.41200000,42290,3261920.80000000,2336695.22780000,0
2024-10-03,0.702,0.713,0.674,0.7,4986101.5,2024-10-03 23:59:59.999,3460056.41380000,21674,2551645.80000000,1771383.94150000,0
2024-10-04,0.701,0.75,0.699,0.738,5068008.6,2024-10-04 23:59:59.999,3717439.22110000,27604,2702024.80000000,1981948.58510000,0
2024-10-05,0.737,0.753,0.727,0.745,1903418.0,2024-10-05 23:59:59.999,1411774.10100000,16986,919504.80000000,682898.26900000,0
2024-10-06,0.744,0.762,0.735,0.757,2150248.4,2024-10-06 23:59:59.999,1609535.46810000,18133,1098142.00000000,822959.83380000,0
2024-10-07,0.757,0.781,0.734,0.744,4811011.3,2024-10-07 23:59:59.999,3645253.21300000,45211,2018162.10000000,1528064.46620000,0
2024-10-08,0.744,0.755,0.721,0.739,2021599.2,2024-10-08 23:59:59.999,1494569.08630000,20218,866754.90000000,641217.46370000,0
2024-10-09,0.738,0.75,0.707,0.719,1732676.7,2024-10-09 23:59:59.999,1262646.76440000,11484,840950.20000000,613001.71230000,0
2024-10-10,0.718,0.778,0.712,0.778,7251514.7,2024-10-10 23:59:59.999,5456130.35780000,40028,3965939.00000000,2983352.65010000,0
2024-10-11,0.778,0.781,0.743,0.778,4105891.8,2024-10-11 23:59:59.999,3129402.13340000,27970,1726036.50000000,1317776.94200000,0
2024-10-12,0.779,0.784,0.747,0.767,5048106.9,2024-10-12 23:59:59.999,3837897.14730000,36257,2007400.00000000,1527600.79950000,0
2024-10-13,0.768,0.775,0.725,0.738,2511580.0,2024-10-13 23:59:59.999,1878419.69210000,17039,1175168.00000000,880420.74820000,0
2024-10-14,0.738,0.799,0.732,0.788,4538105.6,2024-10-14 23:59:59.999,3520305.51760000,32897,2170086.00000000,1685181.64800000,0
2024-10-15,0.788,0.791,0.73,0.76,6854082.2,2024-10-15 23:59:59.999,5240783.77250000,48020,3424507.00000000,2621906.32460000,0
2024-10-16,0.759,0.767,0.726,0.729,3114240.4,2024-10-16 23:59:59.999,2315313.85650000,16251,1448149.70000000,1078464.01490000,0
2024-10-17,0.728,0.731,0.669,0.687,8242174.3,2024-10-17 23:59:59.999,5772385.53500000,28249,4624990.80000000,3227616.49390000,0
2024-10-18,0.686,0.72,0.683,0.72,3459449.4,2024-10-18 23:59:59.999,2437614.19550000,14266,1817686.20000000,1281060.94140000,0
2024-10-19,0.72,0.735,0.693,0.706,4550012.3,2024-10-19 23:59:59.999,3256306.83440000,15441,2326661.50000000,1666574.87830000,0
2024-10-20,0.706,0.852,0.695,0.823,31750184.7,2024-10-20 23:59:59.999,25458844.96090000,121300,16094663.40000000,12895663.84280000,0
2024-10-21,0.824,0.84,0.755,0.763,13904735.2,2024-10-21 23:59:59.999,10983129.86820000,42786,6680790.70000000,5280347.16920000,0
2024-10-22,0.763,0.782,0.738,0.748,8387448.1,2024-10-22 23:59:59.999,6379764.88560000,27183,3904021.20000000,2973763.57150000,0
2024-10-23,0.749,0.752,0.692,0.711,5452256.3,2024-10-23 23:59:59.999,3906654.50490000,19945,2429608.50000000,1739582.99570000,0
2024-10-24,0.711,0.752,0.708,0.742,5769879.8,2024-10-24 23:59:59.999,4250294.40930000,20368,3085679.00000000,2272089.08450000,0
2024-10-25,0.743,0.754,0.647,0.685,6891596.0,2024-10-25 23:59:59.999,4911891.68490000,27343,2992739.20000000,2136531.52740000,0
2024-10-26,0.685,0.702,0.67,0.684,3718966.2,2024-10-26 23:59:59.999,2549846.46890000,16683,1800981.50000000,1235312.55010000,0
2024-10-27,0.684,0.712,0.68,0.704,2504921.8,2024-10-27 23:59:59.999,1729662.68950000,8926,1314686.40000000,908407.01020000,0
2024-10-28,0.704,0.712,0.672,0.702,4458625.6,2024-10-28 23:59:59.999,3097940.17700000,25695,2138822.40000000,1487714.00990000,0
2024-10-29,0.702,0.734,0.7,0.724,3468075.2,2024-10-29 23:59:59.999,2483176.68940000,16020,1527077.40000000,1094208.77720000,0
2024-10-30,0.725,0.745,0.711,0.726,5489619.1,2024-10-30 23:59:59.999,3987946.11490000,17693,2858868.10000000,2075573.41870000,0
2024-10-31,0.727,0.73,0.678,0.683,2727806.6,2024-10-31 23:59:59.999,1921357.20180000,10451,1312508.00000000,924523.55630000,0
2024-11-01,0.683,0.698,0.659,0.673,3244338.7,2024-11-01 23:59:59.999,2196042.04620000,12277,1583649.70000000,1072385.82750000,0
2024-11-02,0.673,0.687,0.649,0.653,2530006.1,2024-11-02 23:59:59.999,1678851.50230000,8310,1097254.80000000,728671.05620000,0
2024-11-03,0.654,0.658,0.587,0.609,5527771.9,2024-11-03 23:59:59.999,3407978.12270000,22025,2585777.20000000,1595188.42460000,0
2024-11-04,0.61,0.623,0.584,0.594,7185621.6,2024-11-04 23:59:59.999,4376449.23910000,15888,3476164.70000000,2117571.30950000,0
2024-11-05,0.594,0.642,0.594,0.632,4384864.1,2024-11-05 23:59:59.999,2722559.94880000,13013,2419112.70000000,1503709.00920000,0
2024-11-06,0.632,0.758,0.631,0.723,17866702.7,2024-11-06 23:59:59.999,12681200.80670000,52110,8930861.80000000,6345513.75300000,0
2024-11-07,0.724,0.759,0.693,0.733,14198888.2,2024-11-07 23:59:59.999,10327183.77620000,35096,7601535.30000000,5519183.49570000,0
2024-11-08,0.733,0.743,0.698,0.724,6911639.6,2024-11-08 23:59:59.999,4952313.36250000,27092,3206623.60000000,2294815.13100000,0
2024-11-09,0.724,0.77,0.71,0.763,6501078.3,2024-11-09 23:59:59.999,4802262.53550000,30143,3085241.60000000,2282534.00270000,0
2024-11-10,0.763,0.826,0.747,0.792,9902825.3,2024-11-10 23:59:59.999,7815797.85560000,61112,5213255.30000000,4111850.92410000,0
2024-11-11,0.793,0.863,0.775,0.86,9111160.1,2024-11-11 23:59:59.999,7424060.10940000,70674,4554777.20000000,3715455.20590000,0
2024-11-12,0.86,0.887,0.744,0.791,19726205.4,2024-11-12 23:59:59.999,16165227.68720000,120893,9920287.90000000,8152919.33100000,0
2024-11-13,0.791,0.808,0.718,0.761,13169438.2,2024-11-13 23:59:59.999,10091781.66010000,99755,6317614.90000000,4832723.84030000,0
2024-11-14,0.761,0.78,0.703,0.714,11478810.4,2024-11-14 23:59:59.999,8510867.22830000,63446,5727999.40000000,4247791.11380000,0
2024-11-15,0.714,0.758,0.693,0.755,7262372.5,2024-11-15 23:59:59.999,5220440.85290000,30876,3673645.40000000,2644582.67300000,0
2024-11-16,0.756,0.812,0.749,0.8,10544849.0,2024-11-16 23:59:59.999,8150660.66160000,40190,5514200.90000000,4266090.43740000,0
2024-11-17,0.8,0.81,0.728,0.739,7502256.4,2024-11-17 23:59:59.999,5763684.74580000,31815,3342299.60000000,2568800.37240000,0
2024-11-18,0.739,0.819,0.736,0.816,11593156.9,2024-11-18 23:59:59.999,9113914.09390000,47054,5653183.70000000,4446078.44760000,0
2024-11-19,0.816,0.836,0.759,0.78,11029752.8,2024-11-19 23:59:59.999,8830082.63090000,35681,5447277.90000000,4362347.62350000,0
2024-11-20,0.781,0.789,0.719,0.734,7485732.8,2024-11-20 23:59:59.999,5643384.46510000,25978,3370445.60000000,2544164.98430000,0
2024-11-21,0.733,0.802,0.709,0.788,11117087.3,2024-11-21 23:59:59.999,8542348.52360000,41493,5467191.50000000,4204652.64460000,0
2024-11-22,0.788,0.865,0.763,0.863,12050004.3,2024-11-22 23:59:59.999,9554357.58600000,43917,6478393.80000000,5147565.53790000,0
2024-11-23,0.863,1.286,0.836,1.062,90816286.5,2024-11-23 23:59:59.999,97662881.49680000,391171,45664946.50000000,49173567.03790000,0
2024-11-24,1.062,1.148,0.993,1.133,31672221.5,2024-11-24 23:59:59.999,34034156.57090000,120139,15645640.30000000,16843515.15090000,0
2024-11-25,1.133,1.189,1.049,1.079,18881016.1,2024-11-25 23:59:59.999,21175395.46960000,77755,9087944.30000000,10195807.92890000,0
2024-11-26,1.078,1.118,0.973,1.037,13533077.7,2024-11-26 23:59:59.999,14060822.17170000,58254,6452423.00000000,6702423.54520000,0
2024-11-27,1.036,1.238,1.012,1.208,19644404.6,2024-11-27 23:59:59.999,22402802.92640000,78777,10100827.20000000,11520038.48510000,0
2024-11-28,1.209,1.22,1.139,1.145,11772824.5,2024-11-28 23:59:59.999,13783807.64180000,48739,5531671.30000000,6479950.31970000,0
2024-11-29,1.144,1.21,1.123,1.19,6882915.3,2024-11-29 23:59:59.999,8041432.84680000,34094,3506927.20000000,4108814.12440000,0
2024-11-30,1.19,1.39,1.173,1.335,16952500.8,2024-11-30 23:59:59.999,21448570.81610000,90237,9076121.30000000,11485602.30360000,0
2024-12-01,1.335,1.356,1.268,1.319,8605762.9,2024-12-01 23:59:59.999,11250757.01300000,45973,3876231.10000000,5073184.10770000,0
2024-12-02,1.319,1.453,1.22,1.425,21742765.0,2024-12-02 23:59:59.999,29601521.69790000,129693,11305967.30000000,15408643.65410000,0
2024-12-03,1.426,1.473,1.3,1.457,19692623.7,2024-12-03 23:59:59.999,27639744.17000000,114700,9810535.90000000,13782937.77960000,0
2024-12-04,1.458,1.584,1.408,1.506,25302116.0,2024-12-04 23:59:59.999,37813467.74530000,131059,12878625.30000000,19264133.80940000,0
2024-12-05,1.507,1.529,1.397,1.439,14538647.3,2024-12-05 23:59:59.999,21302485.65380000,88504,6887325.90000000,10089587.10350000,0
2024-12-06,1.439,1.768,1.429,1.708,35637149.0,2024-12-06 23:59:59.999,57721163.07220000,217228,18557894.40000000,30049229.95250000,0
2024-12-07,1.709,2.042,1.67,1.938,46308167.7,2024-12-07 23:59:59.999,87381714.90030000,302003,23130753.00000000,43665005.53800000,0
2024-12-08,1.938,2.7,1.911,2.664,100022996.5,2024-12-08 23:59:59.999,232034906.00320000,739399,51990684.40000000,120525987.20440000,0
2024-12-09,2.665,2.818,1.813,2.059,77827730.4,2024-12-09 23:59:59.999,185736379.03450000,545859,35921354.00000000,85885478.44210000,0
2024-12-10,2.059,2.321,1.809,2.0,47797313.4,2024-12-10 23:59:59.999,98924382.16840000,302439,23302303.20000000,48319512.27580000,0
2024-12-11,2.001,2.318,1.926,2.308,34954396.1,2024-12-11 23:59:59.999,72708620.84150000,243644,17177395.70000000,35825093.49540000,0
2024-12-12,2.307,2.68,2.184,2.217,41573905.7,2024-12-12 23:59:59.999,99688714.80690000,312622,19907555.80000000,47773420.64210000,0
2024-12-13,2.217,2.277,2.135,2.197,18247669.8,2024-12-13 23:59:59.999,40006880.82740000,105885,9214586.80000000,20224671.06870000,0
2024-12-14,2.197,2.299,2.058,2.089,17155588.8,2024-12-14 23:59:59.999,37637017.14520000,114545,8252559.20000000,18168800.05960000,0
2024-12-15,2.09,2.294,2.058,2.255,14765014.2,2024-12-15 23:59:59.999,32109416.55250000,105675,7439985.70000000,16201696.76330000,0
2024-12-16,2.255,2.305,2.006,2.034,15630688.7,2024-12-16 23:59:59.999,33059967.89110000,102354,7180405.50000000,15240331.55680000,0
