Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.3625,0.3626,0.3361,0.3494,13205751.6,2024-11-17 23:59:59.999,4632075.31527000,33229,6325251.90000000,2216508.05267000,0
2024-11-18,0.3493,0.3762,0.3475,0.3717,22789272.9,2024-11-18 23:59:59.999,8250618.17624000,48745,11176677.90000000,4048148.31286000,0
2024-11-19,0.3716,0.3716,0.3527,0.3638,11101656.2,2024-11-19 23:59:59.999,4029018.39860000,23584,5402381.60000000,1960813.02726000,0
2024-11-20,0.364,0.3642,0.3327,0.3388,12014247.7,2024-11-20 23:59:59.999,4182708.07383000,24026,5754264.20000000,2003453.66213000,0
2024-11-21,0.3386,0.3647,0.3263,0.3606,18755503.3,2024-11-21 23:59:59.999,6595369.87572000,37957,9513917.90000000,3341010.90747000,0
2024-11-22,0.3607,0.3662,0.3444,0.3662,13084259.2,2024-11-22 23:59:59.999,4659116.07778000,28507,6035123.50000000,2148547.73788000,0
2024-11-23,0.3663,0.417,0.3598,0.3971,49398926.1,2024-11-23 23:59:59.999,19498488.37022000,106975,25225142.70000000,9970770.82461000,0
2024-11-24,0.3969,0.4145,0.3651,0.4055,27612369.2,2024-11-24 23:59:59.999,10834250.63569000,66193,12890473.10000000,5055083.14343000,0
2024-11-25,0.4056,0.4166,0.3776,0.386,23627000.2,2024-11-25 23:59:59.999,9468753.39504000,61110,11628713.10000000,4663630.14640000,0
2024-11-26,0.3858,0.4015,0.3538,0.3879,20104835.5,2024-11-26 23:59:59.999,7538315.96031000,50784,10009010.50000000,3747062.88124000,0
2024-11-27,0.3879,0.4127,0.3756,0.4114,15540647.0,2024-11-27 23:59:59.999,6108426.87287000,38718,7656454.60000000,3012072.18851000,0
2024-11-28,0.4115,0.4116,0.387,0.3991,13126474.6,2024-11-28 23:59:59.999,5221557.98751000,28645,5882036.50000000,2338742.74956000,0
2024-11-29,0.3991,0.4224,0.3884,0.4182,12093949.2,2024-11-29 23:59:59.999,4910397.80546000,27453,5672525.60000000,2298834.63298000,0
2024-11-30,0.4183,0.4268,0.4063,0.4209,12354155.8,2024-11-30 23:59:59.999,5146941.28950000,30810,5526156.80000000,2304948.38383000,0
2024-12-01,0.421,0.4582,0.4023,0.4576,24973737.1,2024-12-01 23:59:59.999,10913430.70626000,68650,13050009.10000000,5714381.26307000,0
2024-12-02,0.4573,0.4716,0.4102,0.4515,35211114.7,2024-12-02 23:59:59.999,15471388.27572000,83780,16561961.50000000,7288755.23010000,0
