Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-05-06,0.1432,1.0,0.1432,0.2195,165941271.1,2025-05-06 23:59:59.999,41687783.34850000,210505,79877198.70000000,19918883.96267000,0
2025-05-07,0.2196,0.274,0.1957,0.2245,168445021.2,2025-05-07 23:59:59.999,38087177.21964000,263193,79729007.20000000,18150175.40421000,0
2025-05-08,0.2245,0.2445,0.2067,0.2264,89918303.2,2025-05-08 23:59:59.999,20210301.55675000,191590,43380853.40000000,9773795.28580000,0
2025-05-09,0.2264,0.2497,0.2145,0.2444,81294607.6,2025-05-09 23:59:59.999,19168173.76534000,226564,40612377.80000000,9591547.59838000,0
2025-05-10,0.2446,0.3,0.2342,0.2859,134520115.1,2025-05-10 23:59:59.999,36676055.71693000,306420,65984144.50000000,18018546.66471000,0
2025-05-11,0.2861,0.3241,0.2621,0.2735,94475336.6,2025-05-11 23:59:59.999,27582034.30970000,192329,48235259.50000000,14129969.03910000,0
2025-05-12,0.2733,0.2878,0.2314,0.2467,69776447.9,2025-05-12 23:59:59.999,18270339.21264000,159095,32927018.80000000,8633193.53419000,0
2025-05-13,0.247,0.2734,0.2336,0.2722,60421477.5,2025-05-13 23:59:59.999,15448364.27583000,114635,29516989.90000000,7551409.64470000,0
2025-05-14,0.2723,0.3233,0.2644,0.3136,128814124.3,2025-05-14 23:59:59.999,38496305.99755000,299886,63817157.80000000,19119053.19360000,0
2025-05-15,0.3134,0.3198,0.2617,0.3175,131585810.7,2025-05-15 23:59:59.999,38691561.74779000,260623,63052469.90000000,18585682.02133000,0
