Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1067,0.1133,0.1065,0.1079,26484347.0,2024-09-19 23:59:59.999,2886156.84000000,15202,13205840.00000000,1441671.40040000,0
2024-09-20,0.108,0.1155,0.1055,0.1088,33035523.0,2024-09-20 23:59:59.999,3632973.53000000,17134,16218971.00000000,1791140.17560000,0
2024-09-21,0.1088,0.1121,0.1051,0.1112,13549205.0,2024-09-21 23:59:59.999,1465748.27600000,9079,6570579.00000000,710753.70290000,0
2024-09-22,0.1113,0.1122,0.102,0.1063,28927521.0,2024-09-22 23:59:59.999,3099973.21080000,14583,13147283.00000000,1412501.97680000,0
2024-09-23,0.1064,0.1118,0.104,0.1102,20745380.0,2024-09-23 23:59:59.999,2275750.25170000,12277,10105403.00000000,1109685.94660000,0
2024-09-24,0.1102,0.113,0.1075,0.1123,20529139.0,2024-09-24 23:59:59.999,2274924.53670000,11839,10220644.00000000,1133480.49800000,0
2024-09-25,0.1123,0.1155,0.1071,0.1078,17176751.0,2024-09-25 23:59:59.999,1918571.62580000,10336,7565353.00000000,846655.55210000,0
2024-09-26,0.1078,0.1134,0.1055,0.1118,13861885.0,2024-09-26 23:59:59.999,1542139.88820000,12760,6373899.00000000,709672.38150000,0
2024-09-27,0.1118,0.1263,0.1105,0.1221,42703445.0,2024-09-27 23:59:59.999,5119361.00520000,28048,20600800.00000000,2470748.45480000,0
2024-09-28,0.1223,0.1244,0.1134,0.1161,51179642.0,2024-09-28 23:59:59.999,6029225.27520000,25746,24328960.00000000,2868476.89230000,0
2024-09-29,0.1162,0.1184,0.1097,0.1165,54780894.0,2024-09-29 23:59:59.999,6288146.54330000,27482,26592992.00000000,3059008.25530000,0
2024-09-30,0.1165,0.1175,0.1034,0.1048,16107974.0,2024-09-30 23:59:59.999,1793407.85940000,10781,7077662.00000000,789175.20910000,0
2024-10-01,0.1047,0.109,0.0913,0.0952,28238143.0,2024-10-01 23:59:59.999,2810445.78690000,17845,13746631.00000000,1367227.56600000,0
2024-10-02,0.0951,0.099,0.0896,0.0919,14318002.0,2024-10-02 23:59:59.999,1356434.67990000,9488,6786608.00000000,643578.52230000,0
2024-10-03,0.0919,0.0946,0.0877,0.0917,14352986.0,2024-10-03 23:59:59.999,1307011.95040000,10399,6421898.00000000,585532.29010000,0
2024-10-04,0.0916,0.0989,0.0912,0.0973,11477531.0,2024-10-04 23:59:59.999,1094057.00820000,7954,6039184.00000000,575166.03810000,0
2024-10-05,0.0973,0.0987,0.0928,0.0948,7640177.0,2024-10-05 23:59:59.999,733303.24980000,5381,3252199.00000000,312328.97100000,0
2024-10-06,0.0949,0.1045,0.0944,0.1033,19817808.0,2024-10-06 23:59:59.999,1997565.42550000,12553,10360920.00000000,1044715.91640000,0
2024-10-07,0.1033,0.1042,0.0993,0.1001,16299835.0,2024-10-07 23:59:59.999,1665126.11700000,10906,7285275.00000000,745359.68540000,0
2024-10-08,0.1003,0.1028,0.0982,0.1001,12661272.0,2024-10-08 23:59:59.999,1274125.76980000,8867,5705487.00000000,574599.61480000,0
2024-10-09,0.1001,0.102,0.0951,0.0972,14390070.0,2024-10-09 23:59:59.999,1423191.86280000,9212,7554154.00000000,747634.54110000,0
2024-10-10,0.0971,0.1001,0.0947,0.0985,8855943.0,2024-10-10 23:59:59.999,861948.15150000,6656,4265522.00000000,415561.86220000,0
2024-10-11,0.0984,0.1061,0.0983,0.1031,27752447.0,2024-10-11 23:59:59.999,2858418.09820000,15139,12886783.00000000,1327447.09770000,0
2024-10-12,0.1031,0.1054,0.1021,0.1031,7552131.0,2024-10-12 23:59:59.999,786933.51580000,5479,3416300.00000000,356073.11480000,0
2024-10-13,0.1032,0.1037,0.0983,0.1019,11037297.0,2024-10-13 23:59:59.999,1118094.16680000,7931,4607827.00000000,466790.18810000,0
2024-10-14,0.1019,0.1072,0.1001,0.1064,12850527.0,2024-10-14 23:59:59.999,1346115.10470000,9379,6225088.00000000,652022.05540000,0
