Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,517.8,522.7,485.0,491.1,85855.3951,2024-11-17 23:59:59.999,43177731.11060000,189471,39867.63850000,20062358.50403000,0
2024-11-18,491.1,527.2,475.2,511.5,145970.5424,2024-11-18 23:59:59.999,72960973.02168000,202791,77266.69000000,38648290.75538000,0
2024-11-19,511.6,512.4,472.9,482.7,127396.7291,2024-11-19 23:59:59.999,62058230.81024000,186789,62817.66130000,30618503.07552000,0
2024-11-20,482.6,491.5,450.0,482.0,148552.8732,2024-11-20 23:59:59.999,70173869.81392000,191058,76491.19940000,36150455.61460000,0
2024-11-21,482.1,529.0,461.6,518.9,189039.0567,2024-11-21 23:59:59.999,93480415.91820000,286762,95590.73490000,47331243.44185000,0
2024-11-22,519.0,521.2,484.2,511.3,99149.9508,2024-11-22 23:59:59.999,49509574.39710000,152749,48146.46160000,24042984.34069000,0
2024-11-23,511.3,548.5,499.1,521.9,154058.9437,2024-11-23 23:59:59.999,80628666.64166000,249175,79556.42570000,41687231.78648000,0
2024-11-24,521.9,547.8,485.6,527.4,143935.7534,2024-11-24 23:59:59.999,74248963.74834000,255116,73720.68490000,38007887.58885000,0
2024-11-25,527.4,565.8,491.7,546.0,199336.933,2024-11-25 23:59:59.999,105807249.93615000,313342,101431.41200000,53867517.02347000,0
2024-11-26,545.9,574.6,503.4,558.9,253195.9698,2024-11-26 23:59:59.999,136540382.04474000,382356,132792.29470000,71630271.29215000,0
2024-11-27,558.8,594.0,542.1,560.8,159325.1953,2024-11-27 23:59:59.999,90592225.23162000,252631,82804.20770000,47138908.52953000,0
2024-11-28,560.8,610.0,551.0,595.5,162232.78,2024-11-28 23:59:59.999,93637612.88020000,284530,91048.55770000,52623630.56793000,0
2024-11-29,595.5,640.1,582.2,617.4,166489.2062,2024-11-29 23:59:59.999,102684473.75931000,326057,92044.90480000,56821003.84726000,0
2024-11-30,617.6,681.0,609.6,677.8,146850.9686,2024-11-30 23:59:59.999,94827701.39414000,312399,78099.25850000,50488445.74828000,0
2024-12-01,677.9,678.4,626.1,636.4,92952.3145,2024-12-01 23:59:59.999,60352737.25525000,180914,45111.11710000,29309093.22613000,0
2024-12-02,636.5,644.5,565.1,606.4,210517.0442,2024-12-02 23:59:59.999,125989368.14181000,350298,106447.29920000,63706208.11726000,0
2024-12-03,606.5,638.2,567.1,619.3,199933.2385,2024-12-03 23:59:59.999,120951759.62442000,378364,107545.47750000,65142075.35966000,0
2024-12-04,619.4,725.9,617.2,655.6,240386.9453,2024-12-04 23:59:59.999,162233040.98965000,432589,125940.40000000,84918326.07198000,0
2024-12-05,655.5,724.3,623.1,680.7,227073.0061,2024-12-05 23:59:59.999,153950181.09580000,428641,113588.40530000,77054717.84134000,0
2024-12-06,680.5,748.3,671.6,706.7,201998.105,2024-12-06 23:59:59.999,145001339.53748000,339272,104342.68030000,74974517.74344000,0
2024-12-07,706.7,719.2,680.0,698.3,78240.3358,2024-12-07 23:59:59.999,54901366.77381000,138961,40228.08970000,28235124.57511000,0
2024-12-08,698.4,717.3,675.6,712.9,89457.2313,2024-12-08 23:59:59.999,62133401.49231000,158576,44961.89340000,31253337.39734000,0
2024-12-09,712.9,713.5,385.0,597.7,274356.4708,2024-12-09 23:59:59.999,172637609.91337000,472933,129778.78830000,82080202.34202000,0
2024-12-10,597.7,612.9,528.2,574.3,220574.4525,2024-12-10 23:59:59.999,125423463.34690000,370684,108088.36270000,61529751.86858000,0
2024-12-11,574.3,619.9,550.8,600.9,136166.4268,2024-12-11 23:59:59.999,80444396.03742000,210933,69295.40570000,40953780.26957000,0
2024-12-12,601.0,645.5,569.3,576.9,138891.0237,2024-12-12 23:59:59.999,84497292.66881000,213768,69642.92170000,42422170.61468000,0
