Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.06382,0.08064,0.063,0.067,342382274.0,2024-11-17 23:59:59.999,23932060.35145000,358397,167655131.00000000,11730287.49169000,0
2024-11-18,0.06699,0.078,0.06384,0.07322,121639903.0,2024-11-18 23:59:59.999,8672280.63016000,135331,58821572.00000000,4196379.62900000,0
2024-11-19,0.07325,0.07329,0.0686,0.0704,49490159.0,2024-11-19 23:59:59.999,3502358.50155000,63665,25279633.00000000,1788842.15254000,0
2024-11-20,0.07041,0.07181,0.06498,0.06622,36651925.0,2024-11-20 23:59:59.999,2471302.84460000,35504,17703821.00000000,1194653.87731000,0
2024-11-21,0.06621,0.06881,0.06335,0.06747,37822532.0,2024-11-21 23:59:59.999,2508300.13169000,36985,18043297.00000000,1195670.97813000,0
2024-11-22,0.06747,0.06914,0.06485,0.06892,41583995.0,2024-11-22 23:59:59.999,2779044.22055000,42096,19751269.00000000,1319673.88482000,0
2024-11-23,0.06893,0.07369,0.06777,0.07099,72296414.0,2024-11-23 23:59:59.999,5134477.22862000,64999,33003969.00000000,2343426.63829000,0
2024-11-24,0.071,0.0818,0.06996,0.07775,122488851.0,2024-11-24 23:59:59.999,9233546.08449000,124195,61739603.00000000,4655911.56745000,0
2024-11-25,0.07774,0.08089,0.07202,0.07491,79321175.0,2024-11-25 23:59:59.999,6082256.24628000,87349,39668747.00000000,3045860.28203000,0
2024-11-26,0.07493,0.085,0.07172,0.07929,101384397.0,2024-11-26 23:59:59.999,7836499.75827000,107155,49924582.00000000,3862619.57427000,0
2024-11-27,0.07923,0.08132,0.07575,0.08108,35195146.0,2024-11-27 23:59:59.999,2745384.92086000,41565,16408891.00000000,1280222.76431000,0
2024-11-28,0.08105,0.08105,0.07627,0.07906,21848600.0,2024-11-28 23:59:59.999,1703113.90277000,29909,10912522.00000000,850174.34636000,0
2024-11-29,0.07911,0.08628,0.07657,0.08408,57647655.0,2024-11-29 23:59:59.999,4664554.60262000,56573,29880030.00000000,2419104.13472000,0
