Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,1.393,1.432,1.372,1.402,3323593.6,2024-09-19 23:59:59.999,4655232.99040000,28290,1805925.30000000,2533694.48650000,0
2024-09-20,1.403,1.432,1.361,1.419,3135984.3,2024-09-20 23:59:59.999,4395470.71780000,26121,1495469.00000000,2099663.39090000,0
2024-09-21,1.42,1.458,1.39,1.44,3667448.1,2024-09-21 23:59:59.999,5249845.63430000,29618,1983611.70000000,2840722.60730000,0
2024-09-22,1.441,1.441,1.352,1.397,2599261.4,2024-09-22 23:59:59.999,3620689.81990000,22890,1098320.80000000,1531383.94870000,0
2024-09-23,1.396,1.42,1.356,1.387,4773445.7,2024-09-23 23:59:59.999,6642826.38880000,37173,2392140.40000000,3333701.10930000,0
2024-09-24,1.388,1.417,1.347,1.403,4309066.6,2024-09-24 23:59:59.999,5941589.85820000,33518,2043838.70000000,2822333.13000000,0
2024-09-25,1.403,1.43,1.361,1.386,4975236.8,2024-09-25 23:59:59.999,6944728.08260000,37341,2371279.70000000,3312077.50320000,0
2024-09-26,1.386,1.553,1.382,1.52,10139074.4,2024-09-26 23:59:59.999,14920132.78370000,77702,5617784.20000000,8262653.96480000,0
2024-09-27,1.521,1.546,1.489,1.519,3973091.0,2024-09-27 23:59:59.999,6033337.41980000,38090,1956199.60000000,2972381.26160000,0
2024-09-28,1.52,1.556,1.441,1.459,4940482.8,2024-09-28 23:59:59.999,7349325.17940000,30454,2552152.40000000,3800347.78100000,0
2024-09-29,1.459,1.519,1.429,1.476,3902428.6,2024-09-29 23:59:59.999,5739213.32590000,33471,2151596.70000000,3165854.25940000,0
2024-09-30,1.477,1.501,1.381,1.4,3950081.8,2024-09-30 23:59:59.999,5696911.18110000,35613,1645806.70000000,2376059.30600000,0
2024-10-01,1.399,1.472,1.3,1.303,8105638.6,2024-10-01 23:59:59.999,10927666.98920000,59616,3249898.40000000,4403806.90690000,0
2024-10-02,1.304,1.339,1.207,1.23,5322988.0,2024-10-02 23:59:59.999,6819129.16520000,42236,2442744.60000000,3137444.90570000,0
2024-10-03,1.229,1.268,1.186,1.232,4613623.4,2024-10-03 23:59:59.999,5656390.89050000,35448,2322279.40000000,2848971.49100000,0
2024-10-04,1.232,1.291,1.22,1.281,2611095.8,2024-10-04 23:59:59.999,3294481.56460000,20638,1322688.20000000,1671578.43350000,0
2024-10-05,1.279,1.318,1.263,1.281,2208580.2,2024-10-05 23:59:59.999,2848019.36090000,16581,1087130.40000000,1405083.06570000,0
2024-10-06,1.281,1.347,1.272,1.336,2057036.0,2024-10-06 23:59:59.999,2704915.09530000,16672,1120937.30000000,1473223.30130000,0
