Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,5.232,5.386,4.877,5.025,10097393.62,2024-11-17 23:59:59.999,52371080.53997000,230631,4860073.36000000,25222765.37988000,0
2024-11-18,5.027,5.753,4.968,5.559,13426413.7,2024-11-18 23:59:59.999,71613559.03238000,294687,6755221.35000000,36095345.02409000,0
2024-11-19,5.56,5.569,5.014,5.161,7624778.6,2024-11-19 23:59:59.999,40456640.03255000,163354,3623913.97000000,19240755.08798000,0
2024-11-20,5.163,5.2,4.838,4.937,6235764.19,2024-11-20 23:59:59.999,31449329.85380000,136511,3041131.59000000,15353943.06432000,0
2024-11-21,4.938,5.54,4.807,5.417,11439878.95,2024-11-21 23:59:59.999,59661781.66598000,223274,5960136.70000000,31120335.01123000,0
2024-11-22,5.419,5.8,5.355,5.71,12812789.55,2024-11-22 23:59:59.999,70689322.55835000,257940,6462941.37000000,35682656.53235000,0
2024-11-23,5.709,7.637,5.655,7.125,39826506.64,2024-11-23 23:59:59.999,264859047.46804000,793588,20305442.85000000,134800019.29013000,0
2024-11-24,7.125,8.524,7.041,7.954,43088429.17,2024-11-24 23:59:59.999,332239860.00830000,982718,21547945.61000000,166108297.74807000,0
2024-11-25,7.954,8.514,7.431,7.761,28910189.68,2024-11-25 23:59:59.999,229032917.05573000,720953,13985357.23000000,111034883.02617000,0
2024-11-26,7.758,8.598,7.234,8.217,24976202.02,2024-11-26 23:59:59.999,196373100.64626000,582067,12376081.11000000,97459726.32737000,0
2024-11-27,8.218,8.64,7.789,8.063,18008915.73,2024-11-27 23:59:59.999,147484349.75155000,452748,8970616.57000000,73556240.37791000,0
2024-11-28,8.064,8.939,7.966,8.232,15950767.9,2024-11-28 23:59:59.999,134101798.37079000,444278,8019928.39000000,67533394.14943000,0
2024-11-29,8.229,8.257,7.86,8.04,11041606.18,2024-11-29 23:59:59.999,89389284.88821000,291247,5410912.40000000,43809093.44709000,0
2024-11-30,8.039,8.588,7.976,8.366,11194794.56,2024-11-30 23:59:59.999,92936054.29345000,318684,5556592.05000000,46130627.98218000,0
2024-12-01,8.367,8.45,7.907,8.0,7795547.83,2024-12-01 23:59:59.999,63144256.71502000,220397,3733972.27000000,30257067.48965000,0
2024-12-02,8.0,8.047,7.182,7.681,16056728.73,2024-12-02 23:59:59.999,121279156.36913000,447648,7826875.03000000,59031738.21037000,0
2024-12-03,7.68,8.177,7.29,8.096,18684088.35,2024-12-03 23:59:59.999,146612084.40048000,586081,9767223.74000000,76699007.95082000,0
2024-12-04,8.097,8.924,7.896,8.326,18180127.37,2024-12-04 23:59:59.999,154294946.69609000,500568,9632035.54000000,81789575.83118000,0
2024-12-05,8.326,8.71,7.842,8.244,14748967.51,2024-12-05 23:59:59.999,123521935.20378000,408499,7235051.93000000,60597455.47110000,0
2024-12-06,8.247,9.282,8.18,8.836,13504457.96,2024-12-06 23:59:59.999,118125250.61008000,430192,7003031.32000000,61312845.83953000,0
2024-12-07,8.839,8.973,8.387,8.465,7743318.83,2024-12-07 23:59:59.999,66663616.28168000,221949,3804354.38000000,32755405.09404000,0
2024-12-08,8.465,8.557,8.134,8.379,4625647.45,2024-12-08 23:59:59.999,38540883.07410000,138564,2222036.01000000,18512274.35961000,0
2024-12-09,8.38,8.381,5.75,6.662,23837280.1,2024-12-09 23:59:59.999,167948946.36038000,631655,11666666.52000000,82289477.95368000,0
