Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.01068,0.01118,0.01066,0.01087,218433410.0,2024-09-19 23:59:59.999,2388044.49942000,20504,112302510.00000000,1228350.68614000,0
2024-09-20,0.01087,0.01152,0.01076,0.01118,199575127.0,2024-09-20 23:59:59.999,2227659.19102000,17217,99806672.00000000,1115275.32235000,0
2024-09-21,0.01118,0.01148,0.01088,0.01139,165850981.0,2024-09-21 23:59:59.999,1854873.88248000,14983,83552913.00000000,935232.05590000,0
2024-09-22,0.01139,0.01139,0.01041,0.01081,150591656.0,2024-09-22 23:59:59.999,1635712.17538000,12854,68893894.00000000,747491.07794000,0
2024-09-23,0.01081,0.01131,0.01057,0.01103,196534580.0,2024-09-23 23:59:59.999,2166906.31887000,17158,94060168.00000000,1037059.56371000,0
2024-09-24,0.01103,0.01176,0.01081,0.01159,317641788.0,2024-09-24 23:59:59.999,3620202.56664000,26748,162283592.00000000,1849236.62305000,0
2024-09-25,0.01159,0.01173,0.01118,0.01126,167417526.0,2024-09-25 23:59:59.999,1919182.16048000,15953,81678553.00000000,936761.57471000,0
2024-09-26,0.01126,0.01184,0.01106,0.01162,199573999.0,2024-09-26 23:59:59.999,2307581.29048000,18355,99986159.00000000,1157240.30257000,0
2024-09-27,0.01162,0.01222,0.01158,0.01202,168065612.0,2024-09-27 23:59:59.999,2006823.33439000,16374,80890395.00000000,966119.15560000,0
2024-09-28,0.01202,0.01225,0.01143,0.01178,137809938.0,2024-09-28 23:59:59.999,1619883.37578000,14602,71099492.00000000,835351.21104000,0
2024-09-29,0.01179,0.01207,0.01141,0.01188,159292545.0,2024-09-29 23:59:59.999,1879774.96241000,16175,78048241.00000000,921129.74493000,0
2024-09-30,0.01189,0.01195,0.01085,0.01095,188289391.0,2024-09-30 23:59:59.999,2139776.47838000,20059,96436760.00000000,1096006.56020000,0
2024-10-01,0.01094,0.01139,0.00956,0.00972,348412498.0,2024-10-01 23:59:59.999,3601114.92206000,27000,166001005.00000000,1716638.92779000,0
2024-10-02,0.00972,0.01029,0.00922,0.00949,214755659.0,2024-10-02 23:59:59.999,2101940.10457000,15923,98026404.00000000,962786.46601000,0
2024-10-03,0.00948,0.0097,0.00913,0.00939,200521859.0,2024-10-03 23:59:59.999,1895837.64076000,14228,100698987.00000000,953644.27548000,0
2024-10-04,0.00939,0.00999,0.00937,0.00979,141872676.0,2024-10-04 23:59:59.999,1381064.13044000,10409,71273196.00000000,694284.40297000,0
2024-10-05,0.0098,0.0101,0.00957,0.00975,141009721.0,2024-10-05 23:59:59.999,1387690.79526000,11897,68641725.00000000,676443.88834000,0
2024-10-06,0.00976,0.01007,0.00963,0.01005,106597567.0,2024-10-06 23:59:59.999,1053254.46069000,9537,50660216.00000000,501197.17290000,0
2024-10-07,0.01006,0.0103,0.00987,0.00988,183436652.0,2024-10-07 23:59:59.999,1849736.26051000,15624,85220271.00000000,859940.77803000,0
2024-10-08,0.00989,0.01007,0.00961,0.00971,138336071.0,2024-10-08 23:59:59.999,1357029.86345000,12224,63820358.00000000,626265.40255000,0
2024-10-09,0.00971,0.00988,0.00929,0.00943,131605461.0,2024-10-09 23:59:59.999,1266413.00645000,11955,71429971.00000000,688838.76559000,0
2024-10-10,0.00943,0.00964,0.00917,0.00956,111915042.0,2024-10-10 23:59:59.999,1058687.29194000,10894,52747880.00000000,499303.11446000,0
2024-10-11,0.00957,0.01015,0.00952,0.01,176048371.0,2024-10-11 23:59:59.999,1743433.79719000,14781,82890905.00000000,822117.41791000,0
2024-10-12,0.01001,0.01032,0.00998,0.0102,102551000.0,2024-10-12 23:59:59.999,1043684.12132000,9945,48903359.00000000,498159.22830000,0
2024-10-13,0.01019,0.01028,0.00973,0.01015,110836424.0,2024-10-13 23:59:59.999,1108933.85118000,9942,52817602.00000000,528648.55174000,0
