Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,5.648,5.725,5.29,5.383,9193867.83,2024-11-17 23:59:59.999,50618077.37487000,269634,4702034.67000000,25874862.30373000,0
2024-11-18,5.383,5.614,5.36,5.576,6811388.12,2024-11-18 23:59:59.999,37480984.24000000,211011,3337740.06000000,18373843.41060000,0
2024-11-19,5.577,5.679,5.371,5.447,6276891.19,2024-11-19 23:59:59.999,34848260.48467000,189368,3020986.64000000,16774287.14933000,0
2024-11-20,5.448,5.464,5.188,5.289,8823033.95,2024-11-20 23:59:59.999,46967329.82865000,244089,3763737.79000000,20069408.03822000,0
2024-11-21,5.29,5.593,5.222,5.507,11837030.25,2024-11-21 23:59:59.999,64510224.24033000,312666,5886800.98000000,32067480.95789000,0
2024-11-22,5.507,5.596,5.334,5.45,10516534.86,2024-11-22 23:59:59.999,57576547.22342000,273587,4702788.19000000,25793269.64141000,0
2024-11-23,5.45,6.625,5.441,6.313,29148711.24,2024-11-23 23:59:59.999,177348130.38027000,755774,15455527.46000000,94239060.26052000,0
2024-11-24,6.314,6.59,5.779,6.151,15818064.2,2024-11-24 23:59:59.999,97944829.87680000,425754,7741450.12000000,47958736.25434000,0
2024-11-25,6.151,6.297,5.916,6.079,11662617.78,2024-11-25 23:59:59.999,71502035.03358000,297322,5645399.71000000,34617869.96825000,0
2024-11-26,6.079,6.315,5.685,6.136,13510945.52,2024-11-26 23:59:59.999,81193847.10401000,262397,6958123.50000000,41848866.92332000,0
2024-11-27,6.137,6.508,6.112,6.372,10296457.2,2024-11-27 23:59:59.999,64975736.29495000,195893,5612835.75000000,35441224.73458000,0
2024-11-28,6.372,6.617,6.234,6.436,10785808.31,2024-11-28 23:59:59.999,69269993.91420000,192584,5677605.27000000,36481689.42134000,0
2024-11-29,6.436,6.54,6.321,6.45,5199237.67,2024-11-29 23:59:59.999,33443165.67658000,109376,2688092.12000000,17293184.91387000,0
2024-11-30,6.449,6.997,6.424,6.821,9411595.27,2024-11-30 23:59:59.999,63442265.36401000,221501,4640036.84000000,31282735.46686000,0
2024-12-01,6.822,6.977,6.659,6.836,6087332.5,2024-12-01 23:59:59.999,41470638.11016000,154577,3228442.54000000,21997771.03020000,0
2024-12-02,6.837,6.893,6.354,6.568,11106357.42,2024-12-02 23:59:59.999,73009798.52712000,239331,5367820.67000000,35300938.33929000,0
2024-12-03,6.568,6.823,6.315,6.773,12375768.61,2024-12-03 23:59:59.999,81890564.75909000,281419,6243835.32000000,41320523.77635000,0
2024-12-04,6.774,7.2,6.774,6.896,15644264.24,2024-12-04 23:59:59.999,109833366.25647000,315000,8035752.70000000,56376303.82903000,0
2024-12-05,6.896,7.033,6.591,6.793,12647454.82,2024-12-05 23:59:59.999,86671610.77088000,269758,6434108.27000000,44090265.26447000,0
2024-12-06,6.793,6.953,6.621,6.798,9021772.3,2024-12-06 23:59:59.999,61291346.03384000,225115,4028424.19000000,27381355.15997000,0
2024-12-07,6.798,6.931,6.748,6.796,5359291.02,2024-12-07 23:59:59.999,36739883.50146000,173971,2376169.40000000,16294349.59281000,0
2024-12-08,6.798,6.847,6.646,6.78,4310467.87,2024-12-08 23:59:59.999,29072657.35244000,164999,1791702.89000000,12086569.49180000,0
2024-12-09,6.78,6.815,5.3,5.778,17089715.89,2024-12-09 23:59:59.999,104458638.31455000,358251,8013408.67000000,48951875.07792000,0
2024-12-10,5.778,5.972,5.496,5.938,14661689.14,2024-12-10 23:59:59.999,84465108.70487000,280864,7051026.69000000,40685414.08753000,0
2024-12-11,5.938,6.356,5.763,6.342,7557257.81,2024-12-11 23:59:59.999,46248149.49714000,152507,3781254.29000000,23132154.47343000,0
2024-12-12,6.344,6.519,6.259,6.343,7138803.15,2024-12-12 23:59:59.999,45713007.10186000,159382,3606722.09000000,23084129.33308000,0
2024-12-13,6.343,6.454,6.217,6.33,4609562.42,2024-12-13 23:59:59.999,29228351.42696000,109758,2341647.11000000,14844948.04330000,0
2024-12-14,6.332,6.399,6.072,6.25,4072927.25,2024-12-14 23:59:59.999,25331918.60321000,80199,1950268.37000000,12134357.08145000,0
2024-12-15,6.249,6.431,6.102,6.391,3490867.03,2024-12-15 23:59:59.999,21991245.84495000,72564,1720054.32000000,10822525.10476000,0
2024-12-16,6.392,6.467,5.918,6.059,11764107.85,2024-12-16 23:59:59.999,72109742.55684000,181124,5010740.72000000,30761608.72206000,0
2024-12-17,6.06,6.147,5.761,5.822,7192675.96,2024-12-17 23:59:59.999,43040278.80136000,125133,3366782.08000000,20143748.30411000,0
