Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-01-19,27.25,77.24,27.25,46.5,148508697.117,2025-01-19 23:59:59.999,8849748911.88167000,12940382,73668860.92000000,4429248939.88853000,0
2025-01-20,46.49,63.99,34.5,36.5,126104631.604,2025-01-20 23:59:59.999,6097324026.81726000,15125808,62159229.25800000,3017746786.22521000,0
2025-01-21,36.51,48.33,30.4,43.76,102564331.531,2025-01-21 23:59:59.999,3982573409.96769000,10192681,51672456.83400000,2012178149.64920000,0
2025-01-22,43.76,44.55,36.1,36.86,36515809.959,2025-01-22 23:59:59.999,1486700985.91617000,3887302,18154961.00500000,740168291.00069000,0
2025-01-23,36.86,39.84,34.0,34.69,42405473.229,2025-01-23 23:59:59.999,1559087347.84969000,3437224,21468009.98600000,791180416.33838000,0
2025-01-24,34.68,35.46,29.1,30.18,28847940.76,2025-01-24 23:59:59.999,951658773.49055000,2334293,13621389.86100000,450001381.35894000,0
2025-01-25,30.19,30.6,25.71,28.89,43259068.889,2025-01-25 23:59:59.999,1221093824.87148000,2882649,20844973.52900000,589850387.06293000,0
2025-01-26,28.89,32.3,27.07,27.38,29203595.477,2025-01-26 23:59:59.999,873107837.35814000,2144593,14157993.36900000,424195072.63127000,0
2025-01-27,27.39,28.25,24.58,28.0,30180658.994,2025-01-27 23:59:59.999,802999628.38225000,2345035,14562270.96600000,388045756.02621000,0
2025-01-28,28.01,30.47,26.27,27.34,27125442.9,2025-01-28 23:59:59.999,786839143.21350000,2256017,13551110.85900000,393342734.66245000,0
2025-01-29,27.35,28.7,26.26,27.25,20179800.755,2025-01-29 23:59:59.999,555431174.72779000,1477139,9973229.29700000,274702742.53435000,0
2025-01-30,27.25,28.3,25.77,26.06,17939658.96,2025-01-30 23:59:59.999,489516300.65028000,1078569,8831363.76900000,241157304.40722000,0
2025-01-31,26.06,26.64,23.62,24.14,17859827.809,2025-01-31 23:59:59.999,455957836.33820000,1131806,8379048.74600000,214231718.51392000,0
2025-02-01,24.14,25.03,18.56,19.7,36778747.525,2025-02-01 23:59:59.999,797985209.32434000,1868244,17374218.96600000,376821699.49192000,0
2025-02-02,19.71,22.65,19.38,21.01,45832143.992,2025-02-02 23:59:59.999,950911283.00705000,2780518,21531929.05000000,446856414.88921000,0
2025-02-03,21.01,21.25,16.0,19.66,64045316.754,2025-02-03 23:59:59.999,1180612642.18469000,3210549,31840850.74300000,587630758.82266000,0
2025-02-04,19.66,19.79,16.29,17.19,31757115.623,2025-02-04 23:59:59.999,557111027.54347000,1328955,15373789.84200000,269696023.72114000,0
2025-02-05,17.19,20.73,17.19,18.17,28279861.949,2025-02-05 23:59:59.999,531202260.95860000,1232658,14268485.60600000,268090030.28247000,0
2025-02-06,18.17,19.56,16.82,17.08,21930564.316,2025-02-06 23:59:59.999,400593065.58016000,1003180,10793020.48100000,197331219.65051000,0
2025-02-07,17.09,18.27,16.15,16.57,17348930.328,2025-02-07 23:59:59.999,302181853.74118000,784841,8318249.81900000,145158418.24602000,0
2025-02-08,16.57,17.48,16.2,17.25,10723993.869,2025-02-08 23:59:59.999,181615808.95984000,454003,5373722.60600000,91046468.47543000,0
2025-02-09,17.25,17.95,15.27,15.88,14878542.184,2025-02-09 23:59:59.999,247817628.30495000,575474,6882319.68600000,114724833.43686000,0
2025-02-10,15.88,16.56,14.27,15.91,18652059.836,2025-02-10 23:59:59.999,292679752.68911000,760698,8275458.94100000,129808895.47212000,0
2025-02-11,15.91,16.8,15.22,15.35,10961878.336,2025-02-11 23:59:59.999,175261190.56216000,563030,5361497.57800000,85871706.80192000,0
2025-02-12,15.35,15.58,14.46,15.45,12251961.322,2025-02-12 23:59:59.999,185321774.77353000,607676,6126315.90400000,92754903.05694000,0
2025-02-13,15.45,17.9,15.3,16.3,33073169.894,2025-02-13 23:59:59.999,551871321.62401000,1381597,16303556.62000000,272856603.24454000,0
2025-02-14,16.3,24.58,15.83,21.58,68341418.441,2025-02-14 23:59:59.999,1413576047.37541000,3114499,35557111.03000000,734903894.52976000,0
2025-02-15,21.58,22.42,18.09,18.66,40640656.395,2025-02-15 23:59:59.999,825008460.62462000,1894558,21896444.83900000,444710645.17996000,0
2025-02-16,18.66,19.61,18.22,18.75,22230823.886,2025-02-16 23:59:59.999,418818461.57078000,1173027,11805317.38500000,222568613.16839000,0
2025-02-17,18.74,19.35,16.82,17.18,20454866.554,2025-02-17 23:59:59.999,364243496.29188000,1006814,9710568.31500000,173071154.63539000,0
2025-02-18,17.19,17.43,15.61,16.38,15306154.861,2025-02-18 23:59:59.999,251024497.36658000,804418,7762359.95800000,127333369.29369000,0
2025-02-19,16.38,17.43,16.06,17.03,11941630.373,2025-02-19 23:59:59.999,201384948.90109000,637985,6066207.46100000,102398701.16600000,0
2025-02-20,17.03,17.46,16.57,17.09,9350500.116,2025-02-20 23:59:59.999,158268392.91103000,549064,4622125.14500000,78264180.62780000,0
2025-02-21,17.09,17.39,15.67,15.9,13934282.657,2025-02-21 23:59:59.999,230736324.97915000,696756,6761265.60800000,112096298.03077000,0
2025-02-22,15.91,16.79,15.74,16.52,7431910.692,2025-02-22 23:59:59.999,121504827.66653000,364504,3478581.77000000,56871588.00845000,0
2025-02-23,16.51,16.6,15.81,16.13,4827377.413,2025-02-23 23:59:59.999,77954266.93966000,251529,2105788.49600000,34019457.08000000,0
2025-02-24,16.13,16.3,12.17,12.95,16125362.553,2025-02-24 23:59:59.999,232661325.07993000,748742,7412121.18700000,106849579.57586000,0
2025-02-25,12.95,13.68,12.31,13.25,21881635.834,2025-02-25 23:59:59.999,286095790.21224000,915128,10921912.59200000,143018657.02776000,0
2025-02-26,13.26,13.35,12.41,13.3,18031437.382,2025-02-26 23:59:59.999,232614464.08256000,585389,9362064.69300000,120951572.32858000,0
