Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.2001,0.2013,0.1924,0.1993,500015285.7,2024-11-17 23:59:59.999,98313491.43646000,326879,234745924.90000000,46184766.79501000,0
2024-11-18,0.1993,0.2069,0.1993,0.2022,571154143.8,2024-11-18 23:59:59.999,116027413.44586800,429194,284186383.70000000,57734009.75947800,0
2024-11-19,0.2021,0.2067,0.1984,0.1995,464449963.0,2024-11-19 23:59:59.999,94275092.51629000,304737,215381599.00000000,43760184.82705000,0
2024-11-20,0.1994,0.1997,0.1933,0.1947,434644605.2,2024-11-20 23:59:59.999,85521329.30889000,271951,200149891.30000000,39394909.14512000,0
2024-11-21,0.1948,0.2014,0.1931,0.1985,542609747.0,2024-11-21 23:59:59.999,107407901.08094000,330937,273919666.00000000,54227621.28962000,0
2024-11-22,0.1985,0.2048,0.1968,0.2048,535332480.0,2024-11-22 23:59:59.999,107066718.02128000,344885,286548902.50000000,57366518.38108000,0
2024-11-23,0.2048,0.2248,0.2047,0.212,980876987.1,2024-11-23 23:59:59.999,209387048.83460600,705875,475330952.60000000,101419711.85468600,0
2024-11-24,0.2121,0.2171,0.2009,0.2085,978570183.4,2024-11-24 23:59:59.999,203398372.35983000,531356,489268241.70000000,101709223.00301000,0
2024-11-25,0.2086,0.2123,0.1941,0.1959,943941765.9,2024-11-25 23:59:59.999,191669579.06715000,492550,456541261.70000000,92756777.03116000,0
2024-11-26,0.1959,0.2009,0.1863,0.1944,1017550585.0,2024-11-26 23:59:59.999,196115884.13261000,541325,502688467.80000000,96927430.45156000,0
2024-11-27,0.1944,0.2022,0.1934,0.2011,467630974.9,2024-11-27 23:59:59.999,92966921.61639000,322634,248168621.30000000,49337126.63249000,0
2024-11-28,0.2011,0.2036,0.1977,0.2032,480948975.3,2024-11-28 23:59:59.999,96635858.70701000,260375,250113760.10000000,50277689.70441000,0
2024-11-29,0.2032,0.2072,0.2009,0.2044,324609154.9,2024-11-29 23:59:59.999,66145509.45689000,206028,167964480.30000000,34240358.59468000,0
