Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.009004,0.009721,0.008384,0.009231,4843108749.0,2024-11-17 23:59:59.999,44379209.86128500,242912,2427234246.00000000,22280105.27679900,0
2024-11-18,0.009232,0.009295,0.008461,0.008691,3240880465.0,2024-11-18 23:59:59.999,28665978.40116600,185558,1613672152.00000000,14256742.56531500,0
2024-11-19,0.008691,0.008835,0.008184,0.008572,2692100536.0,2024-11-19 23:59:59.999,23101477.06503300,183787,1379940652.00000000,11846770.86790700,0
2024-11-20,0.008574,0.008631,0.007501,0.007626,2852212854.0,2024-11-20 23:59:59.999,22876470.37573600,192282,1370275695.00000000,10991250.72541800,0
2024-11-21,0.007628,0.008432,0.007293,0.008094,3046753456.0,2024-11-21 23:59:59.999,24157481.03290200,201811,1538599428.00000000,12209591.00930100,0
2024-11-22,0.008093,0.008163,0.007269,0.007629,2615906627.0,2024-11-22 23:59:59.999,20074375.11811000,161201,1251365832.00000000,9606684.00693300,0
2024-11-23,0.007631,0.008183,0.007355,0.00771,4173605871.0,2024-11-23 23:59:59.999,32558866.93637100,218819,2028463695.00000000,15825918.47550900,0
2024-11-24,0.007711,0.008232,0.006917,0.00741,5267584162.0,2024-11-24 23:59:59.999,39268594.07224900,258136,2584094368.00000000,19220351.40910000,0
2024-11-25,0.007411,0.007605,0.006833,0.007091,4728695964.0,2024-11-25 23:59:59.999,34360876.22308100,218888,2316611462.00000000,16834211.76795500,0
2024-11-26,0.007089,0.007404,0.006481,0.006846,3428420260.0,2024-11-26 23:59:59.999,23611640.31272700,178200,1712452997.00000000,11782169.32777100,0
2024-11-27,0.006844,0.007297,0.006702,0.007267,2365607040.0,2024-11-27 23:59:59.999,16641930.65028000,130609,1195328243.00000000,8416024.95092200,0
2024-11-28,0.007264,0.007494,0.006982,0.007341,2288646556.0,2024-11-28 23:59:59.999,16520223.88398200,161592,1212886862.00000000,8755969.48589200,0
2024-11-29,0.007341,0.008229,0.007241,0.007846,5485754746.0,2024-11-29 23:59:59.999,42527192.75131200,273345,2864119617.00000000,22200669.22365200,0
