Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,9.082,9.344,8.578,8.751,4793217.98,2024-11-17 23:59:59.999,42820179.14645000,154141,2328897.22000000,20841218.53002000,0
2024-11-18,8.751,9.399,8.722,9.242,5752498.73,2024-11-18 23:59:59.999,52469992.71287000,171865,2843050.99000000,25930778.06079000,0
2024-11-19,9.242,9.634,9.113,9.399,5436445.04,2024-11-19 23:59:59.999,50803104.65222000,168651,2704123.10000000,25281495.50673000,0
2024-11-20,9.397,9.398,8.571,8.814,4616405.3,2024-11-20 23:59:59.999,41433686.13816000,138132,2290113.26000000,20542206.07458000,0
2024-11-21,8.814,9.701,8.513,9.246,8836674.65,2024-11-21 23:59:59.999,80758061.17313000,277483,4512274.40000000,41263109.34802000,0
2024-11-22,9.248,9.99,9.13,9.934,7246635.87,2024-11-22 23:59:59.999,68311317.44897000,201598,3734440.02000000,35214552.41140000,0
2024-11-23,9.933,11.331,9.755,10.733,12910044.24,2024-11-23 23:59:59.999,136853521.77713000,428942,6449814.43000000,68388708.67086000,0
2024-11-24,10.733,11.389,10.0,10.899,9095308.79,2024-11-24 23:59:59.999,97538320.30376000,325843,4594888.50000000,49329396.36201000,0
2024-11-25,10.898,12.439,10.528,11.128,13075178.96,2024-11-25 23:59:59.999,151573265.71106000,481985,6707698.08000000,77780438.41445000,0
2024-11-26,11.125,11.784,10.489,10.874,8891816.34,2024-11-26 23:59:59.999,98330015.29597000,300373,4321235.10000000,47888661.67696000,0
2024-11-27,10.874,13.797,10.713,13.53,13611298.18,2024-11-27 23:59:59.999,170373408.48612000,545540,7092320.24000000,88826960.28010000,0
2024-11-28,13.53,13.535,12.38,12.76,8407626.59,2024-11-28 23:59:59.999,107325686.64872000,393836,4225762.72000000,53941460.86536000,0
2024-11-29,12.761,12.968,12.311,12.573,4584773.2,2024-11-29 23:59:59.999,58053280.02109000,212210,2141333.06000000,27125285.57038000,0
2024-11-30,12.574,13.5,12.513,12.782,6961723.37,2024-11-30 23:59:59.999,90024902.28355000,290708,3584552.24000000,46398940.65452000,0
2024-12-01,12.782,13.341,12.6,13.06,5523865.94,2024-12-01 23:59:59.999,71837973.72312000,222402,2859740.40000000,37195805.80879000,0
2024-12-02,13.061,14.66,12.42,14.007,14220004.12,2024-12-02 23:59:59.999,192715563.72985000,606629,7165828.37000000,97272337.10236000,0
2024-12-03,14.007,15.338,13.14,15.119,11455581.67,2024-12-03 23:59:59.999,162769728.67466000,586945,5719797.25000000,81386729.46163000,0
2024-12-04,15.117,16.52,14.641,15.674,10745492.23,2024-12-04 23:59:59.999,167545576.53224000,469378,5401444.11000000,84260192.33283000,0
2024-12-05,15.672,15.939,14.5,15.025,9184348.72,2024-12-05 23:59:59.999,140672677.70838000,419509,4564509.41000000,70016706.80387000,0
2024-12-06,15.025,18.439,15.01,17.56,13045476.79,2024-12-06 23:59:59.999,218198784.22137000,647870,6822462.07000000,114324965.65879000,0
2024-12-07,17.559,18.628,17.215,18.061,9092825.72,2024-12-07 23:59:59.999,161727020.26936000,410246,4689086.11000000,83435619.61922000,0
2024-12-08,18.064,19.47,17.519,18.601,10531577.74,2024-12-08 23:59:59.999,195055086.68982000,523126,5128436.47000000,95053919.34873000,0
2024-12-09,18.602,18.855,14.0,16.025,12792426.09,2024-12-09 23:59:59.999,214157621.23971000,681908,6158889.72000000,103065543.92086000,0
2024-12-10,16.024,16.69,14.039,15.254,15151148.18,2024-12-10 23:59:59.999,233881365.30465000,765684,7771229.11000000,120003909.39539000,0
2024-12-11,15.254,17.224,14.718,17.159,8522248.63,2024-12-11 23:59:59.999,137204751.82753000,359251,4409922.32000000,70981203.06899000,0
2024-12-12,17.161,18.984,16.888,17.715,10043176.68,2024-12-12 23:59:59.999,182669343.21842000,531740,4960083.49000000,90272357.68319000,0
2024-12-13,17.716,18.175,16.83,17.49,4869326.39,2024-12-13 23:59:59.999,84986122.84482000,283145,2424992.39000000,42344302.37454000,0
2024-12-14,17.49,17.775,16.454,16.75,5733733.27,2024-12-14 23:59:59.999,97087430.74588000,310636,2741085.33000000,46425035.93484000,0
2024-12-15,16.751,17.224,16.211,17.073,4524262.03,2024-12-15 23:59:59.999,75475066.95813000,255306,2333660.78000000,38937609.59868000,0
2024-12-16,17.074,17.476,16.228,16.233,5789646.15,2024-12-16 23:59:59.999,96774093.05874000,331043,2932342.96000000,49067507.42092000,0
2024-12-17,16.234,16.575,15.595,16.242,5407343.6,2024-12-17 23:59:59.999,87041196.32910000,288544,2863971.40000000,46126365.39881000,0
2024-12-18,16.252,16.74,14.62,14.807,9742088.58,2024-12-18 23:59:59.999,154848536.60329000,524675,4996756.36000000,79574792.49826000,0
2024-12-19,14.799,15.407,12.634,12.726,14815514.28,2024-12-19 23:59:59.999,205358866.84269000,777045,7322398.80000000,101573676.86167000,0
2024-12-20,12.725,13.838,11.217,13.677,20494533.69,2024-12-20 23:59:59.999,254930734.50110000,911816,9972344.85000000,124208927.29997000,0
2024-12-21,13.68,14.785,13.036,13.384,8210582.98,2024-12-21 23:59:59.999,113339741.21247000,331810,3841373.29000000,53052591.18619000,0
2024-12-22,13.391,14.292,13.24,13.9,8677806.33,2024-12-22 23:59:59.999,119894206.10736000,383540,4146855.41000000,57331058.62283000,0
2024-12-23,13.9,14.638,13.235,14.291,7365516.96,2024-12-23 23:59:59.999,102278485.13267000,327908,3602471.75000000,50032673.29824000,0
2024-12-24,14.29,14.77,13.748,14.592,4779628.37,2024-12-24 23:59:59.999,68161630.26375000,208659,2459501.80000000,35086400.61638000,0
2024-12-25,14.589,14.598,13.669,13.911,3280404.69,2024-12-25 23:59:59.999,46281592.27218000,142967,1712021.35000000,24171315.33967000,0
