Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.02192,0.023,0.02191,0.02268,272475609.1,2024-09-19 23:59:59.999,6102798.49204500,54383,141392051.20000000,3167559.56485600,0
2024-09-20,0.02268,0.0244,0.02245,0.02389,386522980.4,2024-09-20 23:59:59.999,9148907.36544700,99038,195561681.10000000,4626913.80018000,0
2024-09-21,0.02388,0.02435,0.02354,0.02426,160424381.2,2024-09-21 23:59:59.999,3846199.00200800,55249,79012132.20000000,1894790.13334300,0
2024-09-22,0.02427,0.02429,0.02308,0.02374,148747804.4,2024-09-22 23:59:59.999,3509188.03224600,54730,75301904.70000000,1776779.98234700,0
2024-09-23,0.02375,0.02429,0.02319,0.024,163387867.1,2024-09-23 23:59:59.999,3913157.71837400,31776,82432765.30000000,1974752.70944100,0
2024-09-24,0.02401,0.02496,0.02373,0.02476,289391119.4,2024-09-24 23:59:59.999,7083677.51687300,38543,151312870.90000000,3704950.38733400,0
2024-09-25,0.02476,0.02554,0.02434,0.02458,215256230.4,2024-09-25 23:59:59.999,5378726.41466100,35398,104030410.10000000,2599495.47253300,0
2024-09-26,0.02458,0.02568,0.02419,0.02552,243051391.6,2024-09-26 23:59:59.999,6114352.30607000,39752,124445740.20000000,3132622.52099700,0
2024-09-27,0.0255,0.02698,0.02547,0.02662,322895728.3,2024-09-27 23:59:59.999,8535909.02053700,43794,165653414.80000000,4379463.25204900,0
2024-09-28,0.02663,0.02702,0.02551,0.0258,149268335.8,2024-09-28 23:59:59.999,3893871.69579700,26753,68651558.00000000,1791166.27978100,0
2024-09-29,0.0258,0.02608,0.02521,0.02576,164358869.7,2024-09-29 23:59:59.999,4211433.13266800,28759,82165131.10000000,2105766.53889500,0
2024-09-30,0.02576,0.02584,0.02408,0.0243,200872957.5,2024-09-30 23:59:59.999,5027193.39213500,39733,94320726.70000000,2361125.82422800,0
2024-10-01,0.02429,0.02513,0.02212,0.02268,423748652.1,2024-10-01 23:59:59.999,9990514.11878700,110873,216388683.80000000,5108356.18186200,0
2024-10-02,0.02267,0.02332,0.02201,0.02235,242555420.2,2024-10-02 23:59:59.999,5506804.13065700,39936,121901013.00000000,2769183.48569900,0
2024-10-03,0.02234,0.02283,0.02151,0.02213,240381706.4,2024-10-03 23:59:59.999,5301573.35996200,52060,116384266.60000000,2565768.55398100,0
2024-10-04,0.02213,0.02293,0.0219,0.02282,147847956.7,2024-10-04 23:59:59.999,3325843.90320300,26429,74052976.90000000,1667054.41169900,0
2024-10-05,0.02282,0.02304,0.02227,0.02264,82291378.2,2024-10-05 23:59:59.999,1869758.63665000,17190,38462620.70000000,874411.68667900,0
2024-10-06,0.02265,0.02334,0.02252,0.02326,88030051.5,2024-10-06 23:59:59.999,2023195.69928900,24353,45826775.10000000,1053487.84315500,0
