Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-04-11,0.4199,0.6,0.4199,0.528,17599961.7,2025-04-11 23:59:59.999,9446644.05937000,45422,8731831.50000000,4692721.83564000,0
2025-04-12,0.5283,0.6181,0.5195,0.6136,28880391.3,2025-04-12 23:59:59.999,16355605.60992000,89320,14285130.10000000,8096649.37375000,0
2025-04-13,0.6136,0.6373,0.5227,0.5408,11757790.5,2025-04-13 23:59:59.999,6807837.25955000,49053,5730887.30000000,3316675.51291000,0
2025-04-14,0.5404,0.5924,0.5342,0.5777,9145698.0,2025-04-14 23:59:59.999,5156424.61165000,53192,4789779.10000000,2704231.36268000,0
2025-04-15,0.5779,0.63,0.5556,0.5585,11969384.7,2025-04-15 23:59:59.999,7083130.59686000,83420,5828773.00000000,3454970.09631000,0
2025-04-16,0.5584,0.5646,0.5286,0.5368,8808906.6,2025-04-16 23:59:59.999,4815056.90412000,69045,4001461.10000000,2189294.20194000,0
2025-04-17,0.5367,0.5723,0.5253,0.5565,6086202.0,2025-04-17 23:59:59.999,3339170.92752000,51934,2860551.90000000,1569967.96154000,0
2025-04-18,0.5565,0.6,0.5424,0.5869,8274093.4,2025-04-18 23:59:59.999,4717467.87336000,63131,4299278.30000000,2455941.35418000,0
2025-04-19,0.5867,0.5924,0.5642,0.5827,4245128.3,2025-04-19 23:59:59.999,2454593.37714000,37678,2033746.10000000,1176866.86539000,0
2025-04-20,0.5826,0.5894,0.5482,0.5734,5144550.4,2025-04-20 23:59:59.999,2922236.08589000,39213,2285274.50000000,1299127.96681000,0
2025-04-21,0.5736,0.6013,0.5609,0.5677,6279965.5,2025-04-21 23:59:59.999,3676908.24538000,60167,3160422.70000000,1853547.12067000,0
2025-04-22,0.5676,0.6999,0.5505,0.6898,12441352.1,2025-04-22 23:59:59.999,7801282.11481000,77228,6640162.40000000,4172874.11912000,0
2025-04-23,0.6898,0.8518,0.6898,0.7264,32865810.3,2025-04-23 23:59:59.999,25334539.76318000,233340,16188685.10000000,12494417.64432000,0
2025-04-24,0.7263,0.7751,0.6732,0.7751,19554076.3,2025-04-24 23:59:59.999,13957646.27622000,179309,9597119.60000000,6855167.96692000,0
2025-04-25,0.7749,0.9855,0.7371,0.9239,42578607.6,2025-04-25 23:59:59.999,37559797.24578000,432529,22480299.10000000,19848030.33453000,0
2025-04-26,0.9241,1.1805,0.9188,1.1062,49090985.1,2025-04-26 23:59:59.999,52408480.30401000,594475,24699085.40000000,26346630.29444000,0
2025-04-27,1.1062,1.1681,1.0466,1.0685,27188997.7,2025-04-27 23:59:59.999,29742120.32937000,392554,13586504.30000000,14871443.40808000,0
2025-04-28,1.0691,1.4372,1.0275,1.4029,54676778.1,2025-04-28 23:59:59.999,68983795.99166000,679845,28049320.60000000,35384323.60318000,0
2025-04-29,1.4027,1.5352,1.3401,1.3789,39722521.0,2025-04-29 23:59:59.999,57683366.17563000,556266,18704614.00000000,27178949.76470000,0
2025-04-30,1.3789,1.5496,1.1967,1.5391,40473855.2,2025-04-30 23:59:59.999,54041345.70762000,530908,21195915.10000000,28330799.58422000,0
2025-05-01,1.539,1.795,1.4944,1.6394,50023988.3,2025-05-01 23:59:59.999,83825345.44808000,815051,25093911.30000000,42056715.13353000,0
2025-05-02,1.6394,1.894,1.5871,1.7599,42607890.3,2025-05-02 23:59:59.999,74711831.81586000,625184,20001211.30000000,35105901.10093000,0
2025-05-03,1.7608,1.8489,1.66,1.6927,27344036.2,2025-05-03 23:59:59.999,47965952.40604000,415610,12749487.30000000,22370623.01115000,0
2025-05-04,1.6937,1.7567,1.5784,1.638,31753345.8,2025-05-04 23:59:59.999,52738119.55228000,436952,15240838.40000000,25315662.42004000,0
2025-05-05,1.638,1.849,1.5786,1.6538,36124748.2,2025-05-05 23:59:59.999,61471513.30618000,506358,17121129.50000000,29160331.89942000,0
2025-05-06,1.6538,1.7029,1.3827,1.4898,51568227.5,2025-05-06 23:59:59.999,78976893.15642000,646206,24870859.20000000,38113838.56958000,0
2025-05-07,1.4896,1.5266,1.2703,1.3919,40733488.6,2025-05-07 23:59:59.999,56352204.33296000,511917,20080454.10000000,27771144.44800000,0
2025-05-08,1.3922,2.1416,1.3653,2.0871,73864077.5,2025-05-08 23:59:59.999,127889411.36184000,1054860,36771648.80000000,63984176.83986000,0
2025-05-09,2.0877,2.1852,1.8767,1.9484,63084025.4,2025-05-09 23:59:59.999,127585366.58243000,994761,31061157.30000000,62913274.29149000,0
2025-05-10,1.9484,2.0608,1.8735,2.0124,35474240.5,2025-05-10 23:59:59.999,69517247.10292000,557957,17229409.00000000,33816486.30111000,0
2025-05-11,2.0122,2.06,1.8604,1.9472,28388170.7,2025-05-11 23:59:59.999,55061013.06432000,477015,13560675.20000000,26327910.08795000,0
2025-05-12,1.9473,2.2213,1.8314,1.9963,59061975.0,2025-05-12 23:59:59.999,120902089.39575000,765039,28565880.30000000,58440059.12780000,0
2025-05-13,1.9963,2.1563,1.8806,2.0465,29852638.7,2025-05-13 23:59:59.999,60804840.67813000,423100,15032805.40000000,30640944.78328000,0
2025-05-14,2.0465,2.0567,1.9195,1.9888,22289186.2,2025-05-14 23:59:59.999,44391633.81272000,365673,10137704.70000000,20198360.06085000,0
2025-05-15,1.989,2.0366,1.7,1.8511,25034243.6,2025-05-15 23:59:59.999,47336174.73976000,375305,12209324.80000000,23114550.54163000,0
