Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.1667,0.1706,0.1624,0.1655,22121316.7,2024-09-19 23:59:59.999,3700256.83229000,19932,10466639.60000000,1752714.99641000,0
2024-09-20,0.1656,0.1741,0.1623,0.1716,16580061.5,2024-09-20 23:59:59.999,2809337.94710000,15872,7934172.00000000,1345830.05945000,0
2024-09-21,0.1716,0.174,0.1659,0.1716,13019503.5,2024-09-21 23:59:59.999,2221175.54516000,13635,6404059.50000000,1093869.55983000,0
2024-09-22,0.1714,0.1722,0.1592,0.1663,28552884.9,2024-09-22 23:59:59.999,4768765.73982000,24416,14075158.00000000,2354229.91873000,0
2024-09-23,0.1663,0.1839,0.1621,0.1731,29692426.5,2024-09-23 23:59:59.999,5267664.60106000,28733,14436459.70000000,2560642.52361000,0
2024-09-24,0.1733,0.183,0.1666,0.1804,37323446.8,2024-09-24 23:59:59.999,6629317.10478000,31855,18165704.00000000,3224469.20477000,0
2024-09-25,0.1803,0.1832,0.1713,0.173,11808255.0,2024-09-25 23:59:59.999,2096255.42418000,11985,5391219.00000000,957327.49805000,0
2024-09-26,0.1731,0.1806,0.1706,0.1789,13465363.9,2024-09-26 23:59:59.999,2388706.21226000,16290,5601520.30000000,994449.30942000,0
2024-09-27,0.1789,0.1901,0.1775,0.1856,31024356.2,2024-09-27 23:59:59.999,5740870.32745000,33244,15309394.20000000,2835882.68452000,0
2024-09-28,0.1857,0.1886,0.1761,0.1793,10797759.4,2024-09-28 23:59:59.999,1957457.56068000,12707,5390743.10000000,976473.81420000,0
2024-09-29,0.1793,0.1896,0.174,0.1872,18938222.4,2024-09-29 23:59:59.999,3451912.19413000,18849,9278537.60000000,1693535.53818000,0
2024-09-30,0.1873,0.188,0.1704,0.172,16457445.1,2024-09-30 23:59:59.999,2976395.59307000,20736,8292582.40000000,1497923.09297000,0
2024-10-01,0.1718,0.1808,0.1492,0.1513,30394205.9,2024-10-01 23:59:59.999,4948389.26231000,31711,15781533.90000000,2564521.30883000,0
2024-10-02,0.151,0.1605,0.1446,0.1483,19987712.2,2024-10-02 23:59:59.999,3056824.15503000,20899,9612545.00000000,1471110.32415000,0
2024-10-03,0.1484,0.1518,0.1419,0.1479,12605519.0,2024-10-03 23:59:59.999,1852771.59934000,13657,6126392.20000000,900647.32827000,0
2024-10-04,0.1478,0.158,0.1469,0.156,11274657.2,2024-10-04 23:59:59.999,1721806.56168000,12173,5704006.40000000,871640.13868000,0
2024-10-05,0.156,0.1583,0.1505,0.154,5577187.1,2024-10-05 23:59:59.999,860681.37288000,7176,2287532.80000000,353665.83213000,0
2024-10-06,0.154,0.1591,0.1525,0.1584,5999125.5,2024-10-06 23:59:59.999,938812.44992000,6899,2496024.80000000,390771.99285000,0
2024-10-07,0.1583,0.1622,0.1542,0.1546,12012477.3,2024-10-07 23:59:59.999,1905582.27983000,12689,5671132.00000000,899495.45373000,0
2024-10-08,0.1546,0.1568,0.1489,0.1513,10016479.3,2024-10-08 23:59:59.999,1527159.84501000,9541,4678417.80000000,713009.99454000,0
2024-10-09,0.1514,0.1537,0.1433,0.1458,9394666.4,2024-10-09 23:59:59.999,1400839.11696000,9347,4124163.80000000,615965.49087000,0
2024-10-10,0.1458,0.1488,0.1404,0.1465,9185707.0,2024-10-10 23:59:59.999,1327755.62211000,8410,4487490.10000000,648765.56725000,0
2024-10-11,0.1465,0.155,0.1458,0.1538,10526430.0,2024-10-11 23:59:59.999,1592853.20876000,9302,5075128.00000000,768725.43575000,0
2024-10-12,0.1538,0.1587,0.1535,0.1538,8623294.4,2024-10-12 23:59:59.999,1347199.81830000,8430,3853979.30000000,601888.15770000,0
2024-10-13,0.1538,0.1544,0.1473,0.1525,9294112.8,2024-10-13 23:59:59.999,1406240.15782000,10359,4516069.80000000,683805.86189000,0
2024-10-14,0.1526,0.1605,0.1506,0.1595,10453825.2,2024-10-14 23:59:59.999,1639844.38136000,9800,4965076.20000000,779359.27850000,0
2024-10-15,0.1597,0.1618,0.1518,0.1568,16221636.3,2024-10-15 23:59:59.999,2553751.04736000,14592,8234015.70000000,1296049.52121000,0
2024-10-16,0.1568,0.1582,0.1507,0.1533,10359831.0,2024-10-16 23:59:59.999,1595818.91642000,12181,5337181.30000000,821838.16249000,0
2024-10-17,0.1532,0.1551,0.1466,0.1501,8148545.0,2024-10-17 23:59:59.999,1226397.38211000,9048,3831011.70000000,576323.54012000,0
2024-10-18,0.15,0.1561,0.1496,0.1559,5955372.2,2024-10-18 23:59:59.999,914895.24219000,6352,2731574.70000000,420119.75625000,0
2024-10-19,0.156,0.1602,0.1544,0.1582,11914405.3,2024-10-19 23:59:59.999,1878809.90671000,12656,6095391.70000000,961234.27004000,0
2024-10-20,0.1583,0.1665,0.1548,0.1659,24698788.8,2024-10-20 23:59:59.999,3998000.33413000,25122,12600699.30000000,2041055.56721000,0
2024-10-21,0.1659,0.1718,0.1593,0.1639,34044897.8,2024-10-21 23:59:59.999,5627699.28991000,30841,16909509.30000000,2799205.14656000,0
2024-10-22,0.1638,0.1836,0.1597,0.177,51111422.1,2024-10-22 23:59:59.999,8773860.83045000,60925,25439247.20000000,4370973.02563000,0
2024-10-23,0.1769,0.1773,0.1556,0.1628,29443125.3,2024-10-23 23:59:59.999,4935018.64222000,37684,14314277.00000000,2397519.73553000,0
2024-10-24,0.163,0.1664,0.1573,0.1612,11984468.4,2024-10-24 23:59:59.999,1940736.88586000,16260,5639376.70000000,911369.83812000,0
2024-10-25,0.1615,0.1647,0.1423,0.1474,25055469.6,2024-10-25 23:59:59.999,3950898.46540000,29601,12406295.30000000,1958936.95941000,0
2024-10-26,0.1472,0.1514,0.1427,0.1486,8644547.6,2024-10-26 23:59:59.999,1280219.71007000,11061,4039160.10000000,598210.72018000,0
2024-10-27,0.1485,0.1552,0.147,0.1536,10944000.1,2024-10-27 23:59:59.999,1659057.10305000,14371,5354290.00000000,811356.77173000,0
2024-10-28,0.1536,0.1569,0.1475,0.1557,11236745.2,2024-10-28 23:59:59.999,1705875.15715000,15234,5104163.00000000,775363.58806000,0
2024-10-29,0.1557,0.161,0.1544,0.1593,10168044.3,2024-10-29 23:59:59.999,1606925.04431000,15518,4546957.70000000,719321.77139000,0
2024-10-30,0.1593,0.1621,0.156,0.1583,11295758.9,2024-10-30 23:59:59.999,1800814.87492000,16636,5269017.80000000,840496.42563000,0
2024-10-31,0.1582,0.1588,0.1487,0.1506,8312028.0,2024-10-31 23:59:59.999,1273471.48773000,10983,4166092.50000000,638585.88921000,0
2024-11-01,0.1506,0.1529,0.1436,0.1467,10709724.1,2024-11-01 23:59:59.999,1590405.79667000,14498,4980305.00000000,739308.81959000,0
2024-11-02,0.1467,0.1486,0.1419,0.1444,6944402.8,2024-11-02 23:59:59.999,1007284.06595000,9396,3463534.90000000,503033.16894000,0
2024-11-03,0.1447,0.145,0.1295,0.1351,11003078.6,2024-11-03 23:59:59.999,1497851.98788000,17018,5405587.70000000,734423.75497000,0
2024-11-04,0.1351,0.1389,0.1284,0.1325,8493697.1,2024-11-04 23:59:59.999,1145731.66439000,11760,4265336.50000000,575691.32526000,0
2024-11-05,0.1327,0.1409,0.1318,0.1393,6557980.7,2024-11-05 23:59:59.999,901359.35241000,11169,2900936.10000000,398852.38317000,0
2024-11-06,0.1395,0.1528,0.1395,0.1516,13775992.4,2024-11-06 23:59:59.999,2047189.16007000,25430,6043890.80000000,897782.03875000,0
2024-11-07,0.1517,0.1556,0.149,0.1512,17030756.1,2024-11-07 23:59:59.999,2596835.48042000,27523,7389650.50000000,1128175.82628000,0
2024-11-08,0.1517,0.1531,0.1459,0.151,13168860.8,2024-11-08 23:59:59.999,1970391.55041000,18638,6796069.80000000,1017297.98720000,0
