Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.001926,0.002016,0.001918,0.00194,539555079.0,2024-09-19 23:59:59.999,1057872.79265300,35719,268888211.00000000,528107.42055100,0
2024-09-20,0.00194,0.002062,0.001904,0.002013,472456304.0,2024-09-20 23:59:59.999,942248.72377600,32584,262399249.00000000,523640.62397600,0
2024-09-21,0.002013,0.002066,0.00199,0.002051,293929930.0,2024-09-21 23:59:59.999,595553.83316800,20718,143836431.00000000,291444.23465200,0
2024-09-22,0.002051,0.002059,0.001948,0.002013,164527757.0,2024-09-22 23:59:59.999,328869.93999800,17144,72032799.00000000,144129.59936600,0
2024-09-23,0.002011,0.002095,0.001968,0.002065,305565251.0,2024-09-23 23:59:59.999,628506.19736100,23256,150615544.00000000,309956.33208300,0
2024-09-24,0.002065,0.002128,0.002021,0.002113,269456322.0,2024-09-24 23:59:59.999,559140.85961700,20444,141826422.00000000,294700.76155500,0
2024-09-25,0.002116,0.002128,0.002055,0.002061,258722709.0,2024-09-25 23:59:59.999,541151.35464900,23419,119366454.00000000,250044.80827700,0
2024-09-26,0.002059,0.002124,0.002026,0.002116,300074099.0,2024-09-26 23:59:59.999,626992.29053300,23351,139160997.00000000,291288.13246400,0
2024-09-27,0.002116,0.002231,0.002104,0.002203,408823845.0,2024-09-27 23:59:59.999,888723.56917100,30683,215131990.00000000,467945.58732500,0
2024-09-28,0.002204,0.002223,0.002081,0.002099,280460378.0,2024-09-28 23:59:59.999,601918.00242400,22494,118468045.00000000,254530.34484200,0
2024-09-29,0.0021,0.002205,0.002078,0.002177,221041761.0,2024-09-29 23:59:59.999,474236.50847300,20944,109833928.00000000,235634.30363100,0
2024-09-30,0.002177,0.002179,0.00205,0.002084,419849498.0,2024-09-30 23:59:59.999,880175.25801600,27911,215739981.00000000,452140.39617500,0
2024-10-01,0.002084,0.002394,0.001976,0.001976,5224357272.0,2024-10-01 23:59:59.999,11508926.06859200,135453,2550992387.00000000,5629818.91896700,0
2024-10-02,0.001976,0.002098,0.001894,0.001924,1265228914.0,2024-10-02 23:59:59.999,2523302.08505400,35387,600562885.00000000,1197501.36696900,0
2024-10-03,0.001924,0.001994,0.001815,0.001839,697605208.0,2024-10-03 23:59:59.999,1305612.87184200,18195,391941021.00000000,733376.76702900,0
2024-10-04,0.001838,0.001947,0.001823,0.001933,369630815.0,2024-10-04 23:59:59.999,695167.74106300,11751,200367827.00000000,376800.58328500,0
2024-10-05,0.001934,0.001996,0.001853,0.00189,640515923.0,2024-10-05 23:59:59.999,1233578.62348100,13810,273082650.00000000,527220.53685300,0
2024-10-06,0.00189,0.001937,0.001865,0.00193,175143693.0,2024-10-06 23:59:59.999,334518.81658300,7947,92922276.00000000,177386.74429100,0
2024-10-07,0.00193,0.001973,0.001887,0.001907,379718405.0,2024-10-07 23:59:59.999,733347.86073100,14337,183691098.00000000,354855.57263100,0
2024-10-08,0.001906,0.001927,0.001859,0.001877,252619793.0,2024-10-08 23:59:59.999,478351.78517200,13836,139478919.00000000,264114.18518800,0
2024-10-09,0.001879,0.001927,0.001826,0.001864,311605363.0,2024-10-09 23:59:59.999,586389.11877400,18150,163798722.00000000,308302.93132200,0
2024-10-10,0.001865,0.001894,0.001793,0.001861,238817822.0,2024-10-10 23:59:59.999,440716.06101800,17597,120638194.00000000,222622.07157100,0
2024-10-11,0.00186,0.001893,0.001841,0.00186,420952083.0,2024-10-11 23:59:59.999,786548.40932300,16903,221740459.00000000,414481.41001000,0
2024-10-12,0.001858,0.001881,0.001838,0.001844,365218516.0,2024-10-12 23:59:59.999,678930.19203800,14501,173231338.00000000,322196.60117000,0
2024-10-13,0.001846,0.001874,0.001793,0.001855,387589610.0,2024-10-13 23:59:59.999,711084.26872400,15376,188220425.00000000,345553.69129000,0
2024-10-14,0.001856,0.00195,0.001824,0.001937,467688121.0,2024-10-14 23:59:59.999,889670.28150300,21438,247931680.00000000,471801.54003300,0
2024-10-15,0.001937,0.001954,0.001861,0.001898,408906279.0,2024-10-15 23:59:59.999,782386.66837300,22609,210662729.00000000,403379.87495600,0
2024-10-16,0.001898,0.001907,0.001842,0.001871,266389459.0,2024-10-16 23:59:59.999,499220.23510100,19553,146355522.00000000,274508.19788700,0
2024-10-17,0.001872,0.001889,0.001775,0.001808,246336519.0,2024-10-17 23:59:59.999,448340.34470500,17499,105284295.00000000,191804.99433300,0
2024-10-18,0.001806,0.00185,0.001796,0.001837,251649464.0,2024-10-18 23:59:59.999,460821.29280900,21293,131086801.00000000,240181.47543700,0
2024-10-19,0.001837,0.001849,0.001799,0.001819,272772422.0,2024-10-19 23:59:59.999,497473.82707200,17083,141450209.00000000,257949.56830200,0
2024-10-20,0.001823,0.001917,0.001779,0.001917,444157860.0,2024-10-20 23:59:59.999,817965.79905000,25521,243243671.00000000,448211.38410000,0
2024-10-21,0.001915,0.00192,0.001799,0.001808,528659056.0,2024-10-21 23:59:59.999,979818.88108200,31816,267682959.00000000,496476.60295300,0
2024-10-22,0.001808,0.001828,0.001785,0.001789,457146697.0,2024-10-22 23:59:59.999,824860.49585700,29784,230668226.00000000,416563.60591800,0
2024-10-23,0.00179,0.001791,0.001682,0.001733,408122764.0,2024-10-23 23:59:59.999,708569.47873300,29412,205891126.00000000,357640.33843900,0
2024-10-24,0.001732,0.001771,0.001691,0.001765,311208109.0,2024-10-24 23:59:59.999,540037.22962100,22641,165288154.00000000,286857.27641100,0
2024-10-25,0.001765,0.001768,0.001616,0.001644,391637742.0,2024-10-25 23:59:59.999,665613.78951400,23397,193693051.00000000,329289.26293900,0
2024-10-26,0.001644,0.001652,0.0016,0.001628,274219770.0,2024-10-26 23:59:59.999,445222.66864800,17501,154972363.00000000,251715.90093200,0
2024-10-27,0.001628,0.001647,0.001607,0.001639,252607446.0,2024-10-27 23:59:59.999,411323.65459000,16478,143385715.00000000,233500.21346600,0
2024-10-28,0.00164,0.001643,0.001576,0.001629,339539605.0,2024-10-28 23:59:59.999,546461.26922200,23834,179020867.00000000,288036.70744300,0
2024-10-29,0.001629,0.001684,0.001623,0.001671,413958509.0,2024-10-29 23:59:59.999,687524.06253100,26853,219224721.00000000,364227.16189300,0
2024-10-30,0.001672,0.001674,0.001611,0.001614,382467572.0,2024-10-30 23:59:59.999,626486.92012300,18488,196470212.00000000,322189.81494100,0
2024-10-31,0.001614,0.001617,0.0015,0.001515,413799078.0,2024-10-31 23:59:59.999,642718.72847600,21245,216254593.00000000,335759.68880700,0
2024-11-01,0.001515,0.00158,0.001493,0.001506,462252586.0,2024-11-01 23:59:59.999,706633.97162700,25328,253209571.00000000,387884.12649700,0
2024-11-02,0.001508,0.001517,0.001445,0.001457,292564039.0,2024-11-02 23:59:59.999,430208.74284300,17970,164297108.00000000,241657.65617000,0
2024-11-03,0.001457,0.001459,0.00136,0.001413,388407576.0,2024-11-03 23:59:59.999,546908.10993200,21904,199900850.00000000,281269.32592800,0
2024-11-04,0.001413,0.00144,0.001334,0.001367,409137254.0,2024-11-04 23:59:59.999,572683.53471400,21159,221773224.00000000,310630.87094400,0
2024-11-05,0.001367,0.001449,0.001359,0.001431,456354034.0,2024-11-05 23:59:59.999,639388.14090000,26303,266692983.00000000,373936.26782200,0
2024-11-06,0.001431,0.001585,0.001429,0.001573,664921795.0,2024-11-06 23:59:59.999,1014467.45059800,30773,366628993.00000000,559660.45801700,0
2024-11-07,0.001573,0.001618,0.001531,0.001597,708694028.0,2024-11-07 23:59:59.999,1116027.19655800,29988,389996943.00000000,614336.25470500,0
2024-11-08,0.001599,0.001617,0.001532,0.001599,635040878.0,2024-11-08 23:59:59.999,995428.39463200,29133,325122967.00000000,509580.90267600,0
2024-11-09,0.001599,0.00185,0.001581,0.001694,4072171003.0,2024-11-09 23:59:59.999,6949444.74372100,95795,2118249639.00000000,3615354.19541200,0
2024-11-10,0.001695,0.0021,0.001682,0.002005,3320723042.0,2024-11-10 23:59:59.999,6175171.66416300,96410,1689207002.00000000,3145334.63293000,0
