Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.03104,0.03251,0.03086,0.03245,27113604.0,2024-09-19 23:59:59.999,860028.94051000,13499,11853774.00000000,375800.98277000,0
2024-09-20,0.03245,0.03456,0.03228,0.03452,46858392.0,2024-09-20 23:59:59.999,1570579.10486000,20506,23186594.00000000,777987.16964000,0
2024-09-21,0.03455,0.03786,0.03403,0.0376,72909623.0,2024-09-21 23:59:59.999,2602181.21818000,26898,41394062.00000000,1477015.71387000,0
2024-09-22,0.0376,0.03819,0.03457,0.03564,47815868.0,2024-09-22 23:59:59.999,1706779.81785000,14834,22098266.00000000,788798.39947000,0
2024-09-23,0.03565,0.03692,0.03445,0.03649,30117119.0,2024-09-23 23:59:59.999,1085311.55996000,12376,14313501.00000000,516516.26182000,0
2024-09-24,0.0365,0.03679,0.03537,0.03658,21062560.0,2024-09-24 23:59:59.999,758010.95339000,9143,9097194.00000000,327760.60719000,0
2024-09-25,0.03666,0.03717,0.03575,0.03624,23222381.0,2024-09-25 23:59:59.999,848811.87898000,10457,10986609.00000000,401733.61539000,0
2024-09-26,0.03624,0.03752,0.03545,0.03731,24059106.0,2024-09-26 23:59:59.999,883949.96856000,11233,12255395.00000000,450252.10312000,0
2024-09-27,0.03731,0.03811,0.03708,0.03794,24294286.0,2024-09-27 23:59:59.999,915060.85483000,10647,10564547.00000000,397998.36880000,0
2024-09-28,0.03794,0.03928,0.0364,0.03716,29696092.0,2024-09-28 23:59:59.999,1119119.29892000,12647,14647886.00000000,553140.34720000,0
2024-09-29,0.03717,0.03769,0.03645,0.0373,14155834.0,2024-09-29 23:59:59.999,523899.68281000,8689,6126857.00000000,226779.17322000,0
2024-09-30,0.0373,0.03738,0.03437,0.03466,19543762.0,2024-09-30 23:59:59.999,701819.02219000,13609,8795360.00000000,315182.64551000,0
2024-10-01,0.03463,0.03579,0.0314,0.03206,39510298.0,2024-10-01 23:59:59.999,1318030.51427000,22823,21512061.00000000,715498.86076000,0
2024-10-02,0.03204,0.0334,0.03017,0.03074,40464897.0,2024-10-02 23:59:59.999,1289230.81237000,23255,21508537.00000000,682733.49258000,0
2024-10-03,0.03074,0.0323,0.02953,0.03043,66076892.0,2024-10-03 23:59:59.999,2049259.01414000,28987,34924186.00000000,1085412.99368000,0
2024-10-04,0.03042,0.03208,0.03011,0.03193,17849263.0,2024-10-04 23:59:59.999,556408.42329000,9793,8961467.00000000,279639.97244000,0
2024-10-05,0.03196,0.033,0.03163,0.03289,19182635.0,2024-10-05 23:59:59.999,623137.88425000,8391,10078744.00000000,327421.25780000,0
2024-10-06,0.03288,0.03377,0.03248,0.03374,17341063.0,2024-10-06 23:59:59.999,574020.91517000,8270,9001438.00000000,297969.19788000,0
2024-10-07,0.03376,0.03435,0.03313,0.03319,20376804.0,2024-10-07 23:59:59.999,690049.93798000,9065,7508642.00000000,254182.50114000,0
2024-10-08,0.03322,0.03378,0.03275,0.03334,21912829.0,2024-10-08 23:59:59.999,728794.71917000,8683,9816300.00000000,326637.84288000,0
2024-10-09,0.03334,0.03345,0.03193,0.0323,15934677.0,2024-10-09 23:59:59.999,523016.83228000,8061,7220599.00000000,236727.22449000,0
2024-10-10,0.0323,0.03261,0.03074,0.03178,26125840.0,2024-10-10 23:59:59.999,829936.61998000,12005,12598724.00000000,399809.90222000,0
