Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,4.13,4.34,4.12,4.27,248265.38,2024-09-19 23:59:59.999,1048239.60330000,10641,124184.57000000,525076.44570000,0
2024-09-20,4.27,4.45,4.18,4.41,268930.01,2024-09-20 23:59:59.999,1164941.31680000,9860,136769.92000000,592814.75280000,0
2024-09-21,4.41,4.5,4.31,4.5,113948.02,2024-09-21 23:59:59.999,501781.45380000,7097,59057.00000000,260395.73480000,0
2024-09-22,4.5,4.5,4.15,4.29,152008.77,2024-09-22 23:59:59.999,655741.24560000,7531,74515.80000000,321277.31760000,0
2024-09-23,4.28,4.46,4.19,4.44,136829.01,2024-09-23 23:59:59.999,600669.32560000,8206,68252.93000000,299806.86600000,0
2024-09-24,4.44,4.496,4.245,4.342,655960.78,2024-09-24 23:59:59.999,2883659.50743000,58945,308635.89000000,1358379.89970000,0
2024-09-25,4.342,4.48,4.254,4.263,191753.34,2024-09-25 23:59:59.999,839822.73802000,22871,90080.30000000,394734.62358000,0
2024-09-26,4.263,4.473,4.208,4.425,116122.82,2024-09-26 23:59:59.999,509853.88018000,10285,58945.84000000,259023.77033000,0
2024-09-27,4.434,4.528,4.34,4.451,140369.22,2024-09-27 23:59:59.999,624342.57881000,11857,67173.90000000,299052.36935000,0
2024-09-28,4.46,4.52,4.301,4.393,105727.86,2024-09-28 23:59:59.999,465516.30581000,9680,52563.88000000,231714.38441000,0
2024-09-29,4.401,4.737,4.351,4.507,735597.71,2024-09-29 23:59:59.999,3368859.41320000,38059,387971.11000000,1779170.79291000,0
2024-09-30,4.508,5.019,4.422,4.853,1058728.5,2024-09-30 23:59:59.999,5001544.40111000,58882,565414.94000000,2680706.46913000,0
2024-10-01,4.856,5.143,3.98,4.142,1007903.37,2024-10-01 23:59:59.999,4695897.77708000,78463,446817.30000000,2083601.37893000,0
2024-10-02,4.142,4.525,4.098,4.35,453564.05,2024-10-02 23:59:59.999,1982146.74770000,17658,179891.06000000,784981.01999000,0
2024-10-03,4.35,4.351,4.345,4.348,318726.18,2024-10-03 23:59:59.999,1386114.29913000,4013,122791.37000000,534095.84182000,0
2024-10-04,4.349,4.351,4.264,4.343,172885.66,2024-10-04 23:59:59.999,749552.16775000,6586,104329.21000000,452737.95493000,0
2024-10-05,4.344,4.351,4.169,4.308,113275.13,2024-10-05 23:59:59.999,485709.10355000,6707,53822.86000000,230975.68590000,0
2024-10-06,4.308,4.352,4.249,4.325,111721.62,2024-10-06 23:59:59.999,482780.94367000,7110,50951.37000000,220390.22495000,0
2024-10-07,4.327,4.475,4.294,4.406,327926.57,2024-10-07 23:59:59.999,1433808.55393000,12731,165874.44000000,725970.75219000,0
2024-10-08,4.405,7.95,4.379,6.333,15462747.78,2024-10-08 23:59:59.999,100466055.20902000,938317,7911962.85000000,51455911.35865000,0
2024-10-09,6.333,7.085,5.413,5.619,5138269.34,2024-10-09 23:59:59.999,32267215.83942000,274711,2439543.99000000,15337697.60959000,0
2024-10-10,5.62,5.869,4.88,5.161,2007263.05,2024-10-10 23:59:59.999,10495569.30974000,92111,961009.99000000,5033435.77384000,0
2024-10-11,5.156,6.12,5.068,5.502,2859044.05,2024-10-11 23:59:59.999,16082260.91764000,131549,1424845.08000000,8037605.98518000,0
2024-10-12,5.501,5.8,5.264,5.349,1411565.04,2024-10-12 23:59:59.999,7748031.64925000,72555,686940.60000000,3775790.38553000,0
2024-10-13,5.351,6.01,5.349,5.605,1973367.86,2024-10-13 23:59:59.999,11194173.78706000,116033,979462.26000000,5562825.20741000,0
2024-10-14,5.605,5.695,5.4,5.579,780177.64,2024-10-14 23:59:59.999,4305817.94692000,47148,353132.06000000,1951720.78159000,0
2024-10-15,5.581,5.587,5.035,5.159,817834.5,2024-10-15 23:59:59.999,4313294.02486000,41053,359938.94000000,1896681.39133000,0
2024-10-16,5.157,5.337,5.075,5.195,538157.01,2024-10-16 23:59:59.999,2805727.84553000,31891,259487.55000000,1354453.40187000,0
2024-10-17,5.195,5.443,5.08,5.202,689021.78,2024-10-17 23:59:59.999,3618242.71873000,38068,345075.45000000,1816809.74212000,0
2024-10-18,5.198,5.371,5.054,5.294,567699.54,2024-10-18 23:59:59.999,2959915.98463000,25010,286661.92000000,1497279.17125000,0
2024-10-19,5.296,5.418,5.098,5.164,443538.49,2024-10-19 23:59:59.999,2315716.28443000,24427,204504.43000000,1069358.50132000,0
2024-10-20,5.162,5.223,5.0,5.18,437365.99,2024-10-20 23:59:59.999,2239848.31937000,21193,196287.82000000,1006067.24693000,0
2024-10-21,5.181,5.338,5.025,5.109,824587.0,2024-10-21 23:59:59.999,4279148.31060000,29509,403788.23000000,2097444.73673000,0
2024-10-22,5.111,5.125,4.777,4.903,539979.44,2024-10-22 23:59:59.999,2662351.67487000,26485,243173.62000000,1197574.69262000,0
2024-10-23,4.905,4.914,4.454,4.603,455890.17,2024-10-23 23:59:59.999,2136746.23959000,25120,204837.54000000,959344.91992000,0
2024-10-24,4.6,4.79,4.563,4.744,400776.79,2024-10-24 23:59:59.999,1879412.86121000,21386,205321.72000000,963267.56495000,0
2024-10-25,4.746,6.0,4.5,5.262,3719219.67,2024-10-25 23:59:59.999,19098851.69472000,177943,1932690.63000000,9941254.25043000,0
2024-10-26,5.251,5.63,4.856,5.061,3384091.68,2024-10-26 23:59:59.999,17713061.69250000,176940,1660989.11000000,8707738.55215000,0
2024-10-27,5.06,5.179,4.7,4.82,836155.15,2024-10-27 23:59:59.999,4046095.99531000,45660,376927.01000000,1822860.84706000,0
2024-10-28,4.82,5.6,4.725,5.33,2275321.34,2024-10-28 23:59:59.999,11780206.12052000,118014,1153608.96000000,5984874.70344000,0
