Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,2.37,2.409,2.182,2.231,54856625.3,2024-11-17 23:59:59.999,125904293.91980000,594976,25844857.70000000,59269774.31950000,0
2024-11-18,2.231,2.426,2.214,2.395,52521876.3,2024-11-18 23:59:59.999,121836787.18640000,544061,24662950.30000000,57281004.09880000,0
2024-11-19,2.396,2.403,2.224,2.288,38835183.8,2024-11-19 23:59:59.999,89756752.43730000,473000,19014195.10000000,43928173.37050000,0
2024-11-20,2.288,2.289,2.062,2.114,55587414.8,2024-11-20 23:59:59.999,121652201.63680000,509157,27814850.60000000,60882578.54570000,0
2024-11-21,2.115,2.335,2.023,2.235,59108123.5,2024-11-21 23:59:59.999,129772867.71920000,554480,28767010.20000000,63218579.28650000,0
2024-11-22,2.235,2.298,2.112,2.256,54943215.8,2024-11-22 23:59:59.999,121388767.27970000,540727,27158755.20000000,60007327.03790000,0
2024-11-23,2.257,2.509,2.231,2.447,96803599.0,2024-11-23 23:59:59.999,228027263.65440000,896619,47672273.30000000,112402430.77020000,0
2024-11-24,2.448,2.69,2.3,2.549,97291515.9,2024-11-24 23:59:59.999,241842896.54990000,933417,48305353.00000000,120240062.24830000,0
2024-11-25,2.55,2.8,2.366,2.441,124112144.3,2024-11-25 23:59:59.999,316110187.04250000,1042174,59623255.90000000,151992375.75660000,0
2024-11-26,2.44,2.555,2.244,2.35,64724950.0,2024-11-26 23:59:59.999,153944704.75470000,603703,30852211.70000000,73383129.43300000,0
2024-11-27,2.35,2.6,2.295,2.553,51498157.7,2024-11-27 23:59:59.999,124172662.19160000,530481,25317771.20000000,61108176.71440000,0
2024-11-28,2.553,3.065,2.466,2.943,135841251.6,2024-11-28 23:59:59.999,376317285.47190000,1267456,69331262.40000000,192344153.18080000,0
2024-11-29,2.944,2.963,2.79,2.921,75999537.5,2024-11-29 23:59:59.999,218568960.70690000,826159,36792370.70000000,105881673.51840000,0
2024-11-30,2.921,3.736,2.861,3.626,124005282.5,2024-11-30 23:59:59.999,408851187.48220000,1827330,62083447.10000000,204981925.91100000,0
2024-12-01,3.627,3.661,3.255,3.402,76352027.8,2024-12-01 23:59:59.999,259222528.76790000,1014619,35770179.80000000,121460099.09430000,0
2024-12-02,3.402,3.405,3.075,3.282,74805439.7,2024-12-02 23:59:59.999,241165337.68290000,909329,35280373.30000000,113796567.43330000,0
2024-12-03,3.283,3.479,2.867,3.296,102633875.8,2024-12-03 23:59:59.999,332888760.96000000,1195759,50644601.30000000,164491361.74520000,0
2024-12-04,3.296,3.495,3.188,3.297,82244381.1,2024-12-04 23:59:59.999,273987224.99890000,1178202,38670321.90000000,128948960.97750000,0
2024-12-05,3.298,4.087,3.123,3.717,138675122.4,2024-12-05 23:59:59.999,498769565.80540000,1673947,68166642.60000000,245017168.43300000,0
2024-12-06,3.718,4.19,3.621,3.917,90853769.4,2024-12-06 23:59:59.999,356621604.53460000,947695,44333773.80000000,174190103.36570000,0
2024-12-07,3.917,3.94,3.74,3.77,34916354.3,2024-12-07 23:59:59.999,133843001.63540000,379601,14790110.70000000,56720800.46120000,0
2024-12-08,3.771,3.823,3.644,3.811,25671982.7,2024-12-08 23:59:59.999,95912069.87020000,324131,11755416.80000000,43931580.82130000,0
2024-12-09,3.811,3.812,2.5,2.926,102691931.8,2024-12-09 23:59:59.999,327010354.96550000,972872,51380567.80000000,162744851.51740000,0
2024-12-10,2.926,3.098,2.579,2.833,102716231.5,2024-12-10 23:59:59.999,291676119.55050000,778276,50847083.40000000,144604155.04240000,0
2024-12-11,2.833,3.16,2.712,3.131,57586055.1,2024-12-11 23:59:59.999,171793103.16840000,510612,28450972.60000000,84960640.25360000,0
2024-12-12,3.132,3.36,3.008,3.077,54389688.6,2024-12-12 23:59:59.999,173488359.36970000,642313,24613776.70000000,78573617.94310000,0
2024-12-13,3.078,3.135,2.984,3.087,39466970.9,2024-12-13 23:59:59.999,120756593.54920000,486172,18639706.50000000,57079972.18110000,0
2024-12-14,3.086,3.115,2.838,2.923,29395951.4,2024-12-14 23:59:59.999,87313526.71000000,435989,12921655.40000000,38422151.24770000,0
2024-12-15,2.924,3.1,2.866,3.05,30882731.9,2024-12-15 23:59:59.999,92227554.98710000,441659,15324902.80000000,45796286.50760000,0
2024-12-16,3.05,3.161,2.845,2.866,40188617.6,2024-12-16 23:59:59.999,119433836.27800000,519581,18943367.60000000,56348471.32980000,0
2024-12-17,2.866,2.913,2.686,2.708,40122396.1,2024-12-17 23:59:59.999,112570563.17660000,500085,17579274.10000000,49378011.29990000,0
2024-12-18,2.708,2.734,2.35,2.413,61726078.6,2024-12-18 23:59:59.999,159218154.30030000,542545,30032700.50000000,77442347.52410000,0
2024-12-19,2.413,2.469,2.107,2.188,79400139.7,2024-12-19 23:59:59.999,183147983.51190000,584554,37669263.80000000,86963890.18140000,0
2024-12-20,2.188,2.399,1.937,2.364,87314867.6,2024-12-20 23:59:59.999,187959298.32410000,609558,41558377.60000000,89558626.99310000,0
2024-12-21,2.363,2.504,2.148,2.182,47837411.8,2024-12-21 23:59:59.999,110149411.93200000,439910,22228172.40000000,51185290.40380000,0
2024-12-22,2.183,2.306,2.138,2.216,36767699.3,2024-12-22 23:59:59.999,81681390.91050000,388034,17832544.30000000,39652891.15200000,0
2024-12-23,2.216,2.363,2.114,2.324,45476947.5,2024-12-23 23:59:59.999,100778972.90130000,420024,21927582.50000000,48629715.90180000,0
2024-12-24,2.325,2.418,2.25,2.357,34436983.5,2024-12-24 23:59:59.999,80185780.31490000,422832,16555811.20000000,38556555.71400000,0
2024-12-25,2.357,2.389,2.265,2.301,23038125.8,2024-12-25 23:59:59.999,53686586.71630000,254349,11323972.60000000,26411159.56870000,0
2024-12-26,2.301,2.326,2.146,2.186,26404811.5,2024-12-26 23:59:59.999,58290155.14580000,266131,12679245.40000000,27983067.60670000,0
2024-12-27,2.186,2.311,2.156,2.186,35880253.8,2024-12-27 23:59:59.999,79882808.20530000,330839,17599851.80000000,39178953.02670000,0
