Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1284,0.1527,0.1238,0.1292,19616591.8,2024-11-17 23:59:59.999,2681431.99017000,67399,9644640.60000000,1321061.82666000,0
2024-11-18,0.1292,0.1422,0.1286,0.1412,7156935.1,2024-11-18 23:59:59.999,959786.00107000,31116,3692003.70000000,495439.69714000,0
2024-11-19,0.1412,0.1413,0.1341,0.1372,4468560.8,2024-11-19 23:59:59.999,610979.74780000,21128,2243228.50000000,306803.98396000,0
2024-11-20,0.1372,0.1377,0.127,0.1291,4622764.0,2024-11-20 23:59:59.999,613634.81860000,20911,2209189.20000000,293314.36085000,0
2024-11-21,0.1291,0.1397,0.125,0.137,5967175.2,2024-11-21 23:59:59.999,791600.05100000,22818,3110552.50000000,412520.24543000,0
2024-11-22,0.137,0.138,0.1314,0.1368,5157175.3,2024-11-22 23:59:59.999,697837.55715000,21407,2478141.90000000,335811.27493000,0
2024-11-23,0.1368,0.1516,0.1354,0.1477,6545669.8,2024-11-23 23:59:59.999,939510.92574000,30220,3507094.10000000,502441.02082000,0
2024-11-24,0.1479,0.159,0.1415,0.1546,8200227.6,2024-11-24 23:59:59.999,1236719.88070000,42691,4135890.00000000,625002.66098000,0
2024-11-25,0.1548,0.1607,0.1514,0.154,7389275.5,2024-11-25 23:59:59.999,1152305.73335000,37517,3720446.80000000,580444.48975000,0
2024-11-26,0.154,0.1589,0.1426,0.1494,6368165.4,2024-11-26 23:59:59.999,954211.78499000,28531,3081131.80000000,461914.46252000,0
2024-11-27,0.1493,0.1631,0.1456,0.1617,8348660.0,2024-11-27 23:59:59.999,1294038.52131000,37145,4144867.00000000,642674.04371000,0
2024-11-28,0.1616,0.1666,0.1589,0.1646,5002942.3,2024-11-28 23:59:59.999,811790.24091000,30876,2482658.80000000,403244.70045000,0
2024-11-29,0.1647,0.1758,0.1633,0.174,5245973.7,2024-11-29 23:59:59.999,888569.28302000,32830,2561921.40000000,434461.12074000,0
2024-11-30,0.174,0.183,0.1712,0.1802,5413817.7,2024-11-30 23:59:59.999,967324.67520000,30736,2768729.70000000,495021.81520000,0
2024-12-01,0.1803,0.1883,0.1751,0.1851,5792795.6,2024-12-01 23:59:59.999,1056987.99062000,32074,2854755.40000000,521342.07180000,0
2024-12-02,0.1852,0.1967,0.174,0.1949,12097901.1,2024-12-02 23:59:59.999,2240364.40081000,68327,6007311.50000000,1113550.42155000,0
2024-12-03,0.1948,0.2251,0.185,0.2228,24164766.7,2024-12-03 23:59:59.999,5083655.53911000,121334,11783981.80000000,2485377.30737000,0
2024-12-04,0.2229,0.2409,0.217,0.2285,13639123.5,2024-12-04 23:59:59.999,3120256.35002000,89277,6877763.40000000,1572433.44596000,0
