Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,4.752e-05,4.96e-05,4.281e-05,4.382e-05,162127215801.0,2024-11-17 23:59:59.999,7422274.42953544,78485,81045963183.00,3711042.62917398,0
2024-11-18,4.384e-05,4.658e-05,4.319e-05,4.612e-05,98707229737.0,2024-11-18 23:59:59.999,4475930.81979501,57965,45744046419.00,2073225.05490265,0
2024-11-19,4.608e-05,4.617e-05,4.387e-05,4.533e-05,77866728057.0,2024-11-19 23:59:59.999,3514351.49904689,41563,41112207291.00,1854767.42522156,0
2024-11-20,4.534e-05,4.546e-05,4.235e-05,4.457e-05,90807793941.0,2024-11-20 23:59:59.999,4013876.65609272,43384,45849038851.00,2029688.84365349,0
2024-11-21,4.458e-05,5.048e-05,4.299e-05,4.486e-05,599143006970.0,2024-11-21 23:59:59.999,28145839.44064558,218460,289608076253.00,13619960.53327827,0
2024-11-22,4.484e-05,4.549e-05,4.317e-05,4.543e-05,190827432146.0,2024-11-22 23:59:59.999,8452388.74586212,66043,94411957437.00,4185386.18236661,0
2024-11-23,4.541e-05,4.807e-05,4.429e-05,4.607e-05,327042137376.0,2024-11-23 23:59:59.999,15160680.37073041,111695,150961553029.00,6999488.36716997,0
2024-11-24,4.607e-05,4.806e-05,4.316e-05,4.644e-05,214175472299.0,2024-11-24 23:59:59.999,9859750.10613467,78356,100046024710.00,4604626.03499342,0
2024-11-25,4.646e-05,4.765e-05,4.472e-05,4.552e-05,172474187622.0,2024-11-25 23:59:59.999,8011008.91089731,55402,73753571750.00,3423748.17561882,0
2024-11-26,4.553e-05,4.759e-05,4.3e-05,4.555e-05,179779315310.0,2024-11-26 23:59:59.999,8102571.32750250,63810,80643095464.00,3619122.02352580,0
2024-11-27,4.555e-05,4.913e-05,4.458e-05,4.868e-05,124207728882.0,2024-11-27 23:59:59.999,5798678.12715496,45362,62628241003.00,2926817.05441295,0
2024-11-28,4.871e-05,5.158e-05,4.744e-05,4.935e-05,214387002825.0,2024-11-28 23:59:59.999,10612486.77098241,82231,106744845011.00,5292648.07961259,0
2024-11-29,4.937e-05,4.982e-05,4.748e-05,4.959e-05,70748240503.0,2024-11-29 23:59:59.999,3454375.21112331,29499,33019876909.00,1612671.83051482,0
2024-11-30,4.963e-05,5.079e-05,4.866e-05,4.987e-05,110006207512.0,2024-11-30 23:59:59.999,5473440.88161931,55477,53237058330.00,2650969.55224177,0
2024-12-01,4.986e-05,5.257e-05,4.838e-05,5.175e-05,137578095665.0,2024-12-01 23:59:59.999,7007734.03146719,75876,61297239503.00,3123588.45245239,0
2024-12-02,5.175e-05,5.35e-05,4.684e-05,5.151e-05,212423542852.0,2024-12-02 23:59:59.999,10661588.76984918,75227,104168978473.00,5220370.27912110,0
2024-12-03,5.152e-05,5.747e-05,4.722e-05,5.612e-05,549384833897.0,2024-12-03 23:59:59.999,28350933.53206640,178148,259868789197.00,13431649.16911559,0
2024-12-04,5.612e-05,5.926e-05,5.274e-05,5.77e-05,406758056849.0,2024-12-04 23:59:59.999,22774254.87127336,158855,213048094939.00,11947530.27849084,0
