Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.2208,0.2257,0.1887,0.1964,739713439.0,2024-11-17 23:59:59.999,148742731.21920000,623752,369786084.00000000,74356877.77460000,0
2024-11-18,0.1964,0.2558,0.1958,0.2318,1164840576.0,2024-11-18 23:59:59.999,271261510.55470000,881082,587512280.00000000,136759004.58250000,0
2024-11-19,0.2318,0.2454,0.2222,0.2315,519271688.0,2024-11-19 23:59:59.999,120823903.74990000,420256,258851691.00000000,60303788.30790000,0
2024-11-20,0.2316,0.2698,0.2268,0.2474,763567203.0,2024-11-20 23:59:59.999,188806875.02490000,670057,388145712.00000000,96024356.31820000,0
2024-11-21,0.2474,0.2648,0.2294,0.2624,652834922.0,2024-11-21 23:59:59.999,159479512.22330000,485901,323746977.00000000,79219953.88380000,0
2024-11-22,0.2623,0.3524,0.2623,0.3399,1431086099.0,2024-11-22 23:59:59.999,432282419.77700000,1254421,701542279.00000000,212264390.83960000,0
2024-11-23,0.3398,0.5481,0.3391,0.5218,2525478915.1,2024-11-23 23:59:59.999,1171053049.68150800,2813857,1275077144.10000000,591973104.29076800,0
2024-11-24,0.522,0.6374,0.4349,0.5362,2607934625.8,2024-11-24 23:59:59.999,1412401071.12318700,3294281,1325697518.70000000,718787981.64025700,0
2024-11-25,0.5361,0.5585,0.4732,0.4817,1167357967.0,2024-11-25 23:59:59.999,602387316.85770000,1701629,579163658.00000000,299174720.45600000,0
2024-11-26,0.4817,0.514,0.4166,0.4385,1178834691.0,2024-11-26 23:59:59.999,539601082.78020000,1304322,592666726.00000000,271259234.80580000,0
2024-11-27,0.4385,0.532,0.4182,0.4833,1225507885.0,2024-11-27 23:59:59.999,594298932.05110000,1575011,603684237.00000000,292751008.89960000,0
2024-11-28,0.4834,0.5054,0.4636,0.5002,545652703.0,2024-11-28 23:59:59.999,264052384.71760000,748663,275668229.00000000,133536067.96640000,0
2024-11-29,0.5002,0.5615,0.486,0.5478,883553914.0,2024-11-29 23:59:59.999,463316478.86870000,1240209,449330509.00000000,235908149.68820000,0
2024-11-30,0.548,0.5629,0.519,0.5249,728555222.0,2024-11-30 23:59:59.999,390074461.55960000,913466,383076722.00000000,205111316.26430000,0
2024-12-01,0.5249,0.58,0.4921,0.5607,797557144.0,2024-12-01 23:59:59.999,417501814.03880000,1160870,410847413.00000000,215145795.59030000,0
2024-12-02,0.5606,0.6081,0.4954,0.5393,1359459731.0,2024-12-02 23:59:59.999,743439123.33780000,2000519,689745226.00000000,377425418.10330000,0
2024-12-03,0.5392,0.6078,0.4522,0.5066,1034950593.0,2024-12-03 23:59:59.999,552817486.47520000,1270999,496634889.00000000,265689802.66370000,0
2024-12-04,0.5066,0.5223,0.476,0.4892,450166895.0,2024-12-04 23:59:59.999,226805685.03680000,630291,210154622.00000000,105957862.83030000,0
2024-12-05,0.4891,0.5037,0.459,0.4709,420182758.0,2024-12-05 23:59:59.999,203741353.16290000,562783,199985632.00000000,96999629.36710000,0
2024-12-06,0.4709,0.4997,0.4544,0.4957,297218755.0,2024-12-06 23:59:59.999,141547412.88860000,439049,144261505.00000000,68759167.99510000,0
2024-12-07,0.4958,0.5105,0.4798,0.5038,226507399.0,2024-12-07 23:59:59.999,111759418.61660000,351916,111701946.00000000,55164547.39910000,0
2024-12-08,0.5038,0.504,0.475,0.4931,164595562.0,2024-12-08 23:59:59.999,80533179.75270000,254497,83736619.00000000,40976403.88350000,0
2024-12-09,0.4931,0.4932,0.3512,0.4103,462079591.0,2024-12-09 23:59:59.999,198428102.01740000,544170,221301495.00000000,95012022.41630000,0
2024-12-10,0.4103,0.4398,0.3624,0.4365,560766807.0,2024-12-10 23:59:59.999,225030361.92750000,630483,277717175.00000000,111632876.79600000,0
2024-12-11,0.4365,0.4462,0.4026,0.4351,363504675.0,2024-12-11 23:59:59.999,154401781.15280000,370842,186890141.00000000,79463684.99560000,0
2024-12-12,0.4352,0.4508,0.4187,0.425,289135548.0,2024-12-12 23:59:59.999,125932870.21610000,325330,142932254.00000000,62274146.13860000,0
2024-12-13,0.4251,0.453,0.4118,0.4379,220644245.0,2024-12-13 23:59:59.999,95699854.96120000,275249,108395746.00000000,47125111.59160000,0
2024-12-14,0.4379,0.4518,0.411,0.4243,170891298.0,2024-12-14 23:59:59.999,73485945.73710000,196921,85825670.00000000,36933119.21070000,0
2024-12-15,0.4244,0.4357,0.4162,0.4304,137413254.0,2024-12-15 23:59:59.999,58645805.85270000,183751,66794658.00000000,28522006.89730000,0
2024-12-16,0.4305,0.446,0.407,0.4187,223201569.0,2024-12-16 23:59:59.999,94980000.94880000,259769,113483949.00000000,48286719.03780000,0
2024-12-17,0.4188,0.4718,0.4101,0.4292,483039488.0,2024-12-17 23:59:59.999,215185630.21590000,524795,247042978.00000000,110005517.92350000,0
2024-12-18,0.4291,0.4475,0.3865,0.3959,478600939.0,2024-12-18 23:59:59.999,201830913.01400000,432130,245217224.00000000,103580845.52670000,0
2024-12-19,0.3959,0.4147,0.3535,0.3697,385337579.0,2024-12-19 23:59:59.999,147612613.02870000,352425,189028501.00000000,72527191.04820000,0
2024-12-20,0.3698,0.3843,0.3126,0.3751,480749523.0,2024-12-20 23:59:59.999,167990337.44210000,375190,242730563.00000000,84910274.94700000,0
2024-12-21,0.3751,0.39,0.3509,0.3561,202168498.0,2024-12-21 23:59:59.999,74121419.09270000,192530,100160357.00000000,36700290.29140000,0
2024-12-22,0.3561,0.3721,0.3429,0.3564,166820240.0,2024-12-22 23:59:59.999,59609408.51250000,157963,81616264.00000000,29188009.33430000,0
2024-12-23,0.3564,0.3753,0.3463,0.371,163387985.0,2024-12-23 23:59:59.999,58632527.45880000,157174,80683571.00000000,28957730.57000000,0
2024-12-24,0.3711,0.4141,0.3602,0.4025,197388131.0,2024-12-24 23:59:59.999,77006953.30700000,192085,96540145.00000000,37634938.31530000,0
2024-12-25,0.4025,0.4038,0.3785,0.3829,116012986.0,2024-12-25 23:59:59.999,45016762.74640000,113408,56143788.00000000,21780039.92180000,0
2024-12-26,0.3829,0.3867,0.3506,0.3547,115223473.0,2024-12-26 23:59:59.999,41892839.90620000,106786,51129220.00000000,18559095.48180000,0
2024-12-27,0.3548,0.3691,0.3445,0.3498,106497255.0,2024-12-27 23:59:59.999,37827652.64560000,109939,55165699.00000000,19603551.08160000,0
2024-12-28,0.3499,0.36,0.3448,0.3563,66917774.0,2024-12-28 23:59:59.999,23460153.16170000,73971,28218217.00000000,9903090.86150000,0
2024-12-29,0.3563,0.3564,0.3353,0.3382,52788981.0,2024-12-29 23:59:59.999,18342282.83110000,59131,25322245.00000000,8799143.20650000,0
2024-12-30,0.3382,0.3482,0.321,0.3319,124995677.0,2024-12-30 23:59:59.999,41764119.94540000,115517,61351177.00000000,20502985.99500000,0
2024-12-31,0.332,0.3466,0.3238,0.3327,102820079.0,2024-12-31 23:59:59.999,34353170.44720000,95486,53160989.00000000,17790718.03260000,0
2025-01-01,0.3327,0.4383,0.3322,0.4258,748444543.0,2025-01-01 23:59:59.999,294204588.88230000,555403,386956456.00000000,151775073.61380000,0
2025-01-02,0.4258,0.4605,0.4122,0.4321,562248803.0,2025-01-02 23:59:59.999,244265212.69930000,461157,289684789.00000000,125932106.66370000,0
2025-01-03,0.4321,0.4607,0.4299,0.4481,370846605.0,2025-01-03 23:59:59.999,166026235.78310000,389459,184590109.00000000,82661949.79770000,0
2025-01-04,0.4481,0.486,0.4441,0.4504,292035231.0,2025-01-04 23:59:59.999,135008430.69980000,338822,145883262.00000000,67474097.76330000,0
2025-01-05,0.4505,0.4568,0.4323,0.4407,134672379.0,2025-01-05 23:59:59.999,59519573.19540000,160552,65585818.00000000,28994335.85980000,0
2025-01-06,0.4408,0.4637,0.4325,0.4466,175119124.0,2025-01-06 23:59:59.999,78942833.33870000,212908,84745150.00000000,38231041.07070000,0
2025-01-07,0.4466,0.4698,0.4143,0.4178,343359364.0,2025-01-07 23:59:59.999,151731141.01480000,472379,173636553.00000000,76782034.36050000,0
2025-01-08,0.4178,0.4394,0.3896,0.4255,337768250.0,2025-01-08 23:59:59.999,141697872.07760000,523063,171856283.00000000,72172599.60690000,0
2025-01-09,0.4255,0.4301,0.3868,0.3913,194095843.0,2025-01-09 23:59:59.999,78345890.55490000,292167,97031668.00000000,39144714.49860000,0
2025-01-10,0.3912,0.4258,0.3874,0.4143,210834930.0,2025-01-10 23:59:59.999,85408789.49630000,329143,103158770.00000000,41785466.26390000,0
2025-01-11,0.4144,0.4591,0.4034,0.4459,212481589.0,2025-01-11 23:59:59.999,91421051.68860000,342494,111558430.00000000,47992830.91800000,0
2025-01-12,0.4458,0.4469,0.4194,0.4224,127386387.0,2025-01-12 23:59:59.999,55004478.71920000,214723,62369622.00000000,26916142.18810000,0
2025-01-13,0.4223,0.4392,0.3918,0.4196,239343092.0,2025-01-13 23:59:59.999,99040771.74550000,435044,119284835.00000000,49420843.98910000,0
