Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,0.65,0.685,0.65,0.679,1219014.1,2024-09-19 23:59:59.999,817656.60120000,5595,581055.60000000,389855.22990000,0
2024-09-20,0.681,0.698,0.673,0.693,1989368.9,2024-09-20 23:59:59.999,1367538.86820000,6037,1103925.10000000,759272.23840000,0
2024-09-21,0.693,0.708,0.691,0.705,1827174.4,2024-09-21 23:59:59.999,1279775.08390000,6020,1008450.00000000,706770.71810000,0
2024-09-22,0.706,0.706,0.673,0.692,756066.1,2024-09-22 23:59:59.999,521696.11850000,3078,392820.00000000,271072.38950000,0
2024-09-23,0.693,0.714,0.682,0.698,3925470.4,2024-09-23 23:59:59.999,2736834.70690000,11680,2217115.00000000,1546635.73800000,0
2024-09-24,0.698,0.717,0.684,0.711,1783907.8,2024-09-24 23:59:59.999,1247246.44030000,5640,911026.70000000,638217.51580000,0
2024-09-25,0.71,0.718,0.699,0.707,1920729.1,2024-09-25 23:59:59.999,1360701.95260000,6233,892307.90000000,632351.74130000,0
2024-09-26,0.707,0.742,0.698,0.74,1934226.8,2024-09-26 23:59:59.999,1405123.01900000,8061,871583.40000000,632682.72650000,0
2024-09-27,0.739,0.757,0.737,0.756,1674840.4,2024-09-27 23:59:59.999,1253866.79470000,7552,763235.80000000,571749.82670000,0
2024-09-28,0.755,0.764,0.731,0.742,945045.2,2024-09-28 23:59:59.999,707815.03010000,4969,472458.40000000,354298.10310000,0
2024-09-29,0.741,0.758,0.728,0.746,1048982.6,2024-09-29 23:59:59.999,777259.30040000,4803,475388.00000000,351946.36690000,0
2024-09-30,0.745,0.747,0.7,0.705,2067270.8,2024-09-30 23:59:59.999,1502229.42630000,9744,970148.20000000,704860.41870000,0
2024-10-01,0.705,0.719,0.642,0.659,2274859.9,2024-10-01 23:59:59.999,1549633.08860000,12792,1126565.40000000,766124.55550000,0
2024-10-02,0.658,0.68,0.635,0.644,1975561.5,2024-10-02 23:59:59.999,1304541.04680000,10025,942487.80000000,621775.66620000,0
2024-10-03,0.643,0.651,0.621,0.638,1847580.5,2024-10-03 23:59:59.999,1173812.05090000,10587,874634.30000000,554737.00930000,0
2024-10-04,0.639,0.661,0.634,0.657,1157902.6,2024-10-04 23:59:59.999,748997.80420000,5382,585974.80000000,378820.84070000,0
2024-10-05,0.657,0.668,0.651,0.664,539263.6,2024-10-05 23:59:59.999,355962.32160000,3001,289446.80000000,191078.67540000,0
2024-10-06,0.663,0.679,0.661,0.678,699769.4,2024-10-06 23:59:59.999,468663.07120000,3837,333448.80000000,223304.21850000,0
2024-10-07,0.678,0.687,0.661,0.662,1612002.3,2024-10-07 23:59:59.999,1089674.60630000,9191,758529.90000000,513083.42080000,0
2024-10-08,0.663,0.669,0.65,0.655,1623614.0,2024-10-08 23:59:59.999,1070138.82730000,7936,797613.20000000,525862.42370000,0
2024-10-09,0.655,0.663,0.635,0.65,1592924.7,2024-10-09 23:59:59.999,1035149.58900000,7243,731985.90000000,476368.20740000,0
2024-10-10,0.65,0.66,0.629,0.65,2534187.3,2024-10-10 23:59:59.999,1633834.35330000,9692,1331507.80000000,858086.00790000,0
2024-10-11,0.651,0.684,0.649,0.683,1709009.0,2024-10-11 23:59:59.999,1133165.44870000,6332,853405.90000000,565521.23150000,0
2024-10-12,0.684,0.704,0.683,0.693,969279.2,2024-10-12 23:59:59.999,673588.05080000,5395,455793.30000000,316605.46040000,0
2024-10-13,0.694,0.697,0.677,0.687,958983.4,2024-10-13 23:59:59.999,660186.40370000,5719,489660.90000000,337492.28680000,0
2024-10-14,0.689,0.713,0.683,0.707,1710309.2,2024-10-14 23:59:59.999,1200600.49160000,7260,872256.40000000,612613.17210000,0
2024-10-15,0.708,0.715,0.68,0.701,2815657.8,2024-10-15 23:59:59.999,1968168.84680000,11426,1331475.60000000,931161.94960000,0
2024-10-16,0.702,0.704,0.686,0.692,1697077.3,2024-10-16 23:59:59.999,1179201.97400000,5984,871905.20000000,606093.98740000,0
2024-10-17,0.691,0.697,0.67,0.677,2412106.0,2024-10-17 23:59:59.999,1648797.30580000,6923,1317100.80000000,901137.50010000,0
2024-10-18,0.678,0.695,0.674,0.694,1486228.7,2024-10-18 23:59:59.999,1018969.94550000,4872,680836.10000000,466848.55510000,0
2024-10-19,0.694,0.703,0.686,0.694,796581.6,2024-10-19 23:59:59.999,552894.63360000,3850,348078.20000000,241752.00720000,0
2024-10-20,0.694,0.712,0.685,0.711,1320510.1,2024-10-20 23:59:59.999,923674.75720000,6101,601576.60000000,420579.63180000,0
2024-10-21,0.711,0.715,0.687,0.694,2477580.9,2024-10-21 23:59:59.999,1731361.82770000,9858,1072506.20000000,750344.11060000,0
2024-10-22,0.695,0.703,0.677,0.684,2067421.1,2024-10-22 23:59:59.999,1424042.93400000,8441,946053.20000000,651630.55740000,0
