Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,6491.0,6500.0,6027.0,6128.0,841.61578,2024-11-17 23:59:59.999,5271160.18212000,45238,392.79898000,2463679.82430000,0
2024-11-18,6131.0,6491.0,6111.0,6420.0,929.87626,2024-11-18 23:59:59.999,5879153.69603000,46427,448.80040000,2838713.40094000,0
2024-11-19,6418.0,6447.0,6161.0,6325.0,619.53213,2024-11-19 23:59:59.999,3910138.73990000,27035,298.02367000,1882708.47639000,0
2024-11-20,6325.0,6362.0,5988.0,6070.0,969.31092,2024-11-20 23:59:59.999,5999878.27544000,37803,467.84154000,2898691.48757000,0
2024-11-21,6057.0,6638.0,5917.0,6515.0,1169.79722,2024-11-21 23:59:59.999,7494251.09812000,46548,562.82848000,3606479.60934000,0
2024-11-22,6517.0,6695.0,6260.0,6573.0,929.10687,2024-11-22 23:59:59.999,6016641.66913000,33639,450.15922000,2918427.69628000,0
2024-11-23,6575.0,7632.0,6560.0,7297.0,2802.39067,2024-11-23 23:59:59.999,20013570.92575000,120446,1398.38700000,9980665.71928000,0
2024-11-24,7285.0,7974.0,6833.0,7429.0,2236.35197,2024-11-24 23:59:59.999,16380516.58393000,92794,1081.82266000,7929272.30885000,0
2024-11-25,7428.0,7698.0,7088.0,7192.0,1469.2794,2024-11-25 23:59:59.999,10877796.07272000,70635,730.70969000,5414312.28960000,0
2024-11-26,7193.0,7449.0,6746.0,7173.0,1090.15137,2024-11-26 23:59:59.999,7710452.53840000,50685,521.97837000,3693364.23246000,0
2024-11-27,7175.0,7594.0,7039.0,7526.0,1045.62521,2024-11-27 23:59:59.999,7716586.94719000,46922,532.51132000,3933708.47237000,0
2024-11-28,7516.0,7580.0,7203.0,7361.0,552.52486,2024-11-28 23:59:59.999,4066224.03548000,28853,278.55785000,2050425.49891000,0
2024-11-29,7362.0,7759.0,7245.0,7641.0,759.57506,2024-11-29 23:59:59.999,5733256.37342000,35634,405.31041000,3057736.10254000,0
2024-11-30,7641.0,8424.0,7578.0,8053.0,1982.43401,2024-11-30 23:59:59.999,15860946.56732000,106263,1021.75488000,8180351.02375000,0
2024-12-01,8053.0,8100.0,7778.0,8000.0,879.61052,2024-12-01 23:59:59.999,6983395.32464000,41951,401.52547000,3191205.27470000,0
2024-12-02,8000.0,8643.0,7646.0,8541.0,2116.52675,2024-12-02 23:59:59.999,17207624.03738000,104153,1003.51168000,8170171.93927000,0
2024-12-03,8541.0,9460.0,8301.0,9235.0,3207.59046,2024-12-03 23:59:59.999,28746729.42703000,178851,1570.73209000,14077774.23381000,0
2024-12-04,9237.0,10789.0,9009.0,10174.0,2971.54138,2024-12-04 23:59:59.999,28697015.00110000,184228,1473.67802000,14262598.79800000,0
2024-12-05,10178.0,12490.0,9801.0,11782.0,7487.8387,2024-12-05 23:59:59.999,85514350.54894000,508922,3678.62845000,42020354.89805000,0
2024-12-06,11788.0,14466.0,11499.0,13968.0,5547.47881,2024-12-06 23:59:59.999,72361409.89021000,462825,2730.88495000,35667216.23406000,0
2024-12-07,13968.0,14774.0,13080.0,13760.0,3398.55009,2024-12-07 23:59:59.999,47287590.86302000,301376,1680.66788000,23396777.72699000,0
2024-12-08,13760.0,14172.0,12501.0,13004.0,2010.05798,2024-12-08 23:59:59.999,26766390.40730000,162982,987.62090000,13155935.26820000,0
2024-12-09,13002.0,13136.0,8636.0,10500.0,4472.51121,2024-12-09 23:59:59.999,50240951.53599000,314344,2119.28084000,23806452.71227000,0
2024-12-10,10500.0,11455.0,9637.0,11015.0,4311.32142,2024-12-10 23:59:59.999,45189283.59504000,264765,2114.46248000,22162591.51520000,0
2024-12-11,11012.0,12316.0,10361.0,11531.0,2470.08429,2024-12-11 23:59:59.999,27743215.52884000,157999,1210.89123000,13619886.66979000,0
2024-12-12,11537.0,11985.0,11137.0,11440.0,1672.0161,2024-12-12 23:59:59.999,19342530.26110000,109854,815.24176000,9433374.24109000,0
2024-12-13,11442.0,11557.0,11063.0,11444.0,992.2186,2024-12-13 23:59:59.999,11219691.07173000,63239,477.85498000,5404702.42332000,0
2024-12-14,11442.0,11609.0,10430.0,10735.0,924.59849,2024-12-14 23:59:59.999,10109310.23165000,53874,425.98615000,4657670.37469000,0
2024-12-15,10741.0,11475.0,10369.0,11003.0,763.20214,2024-12-15 23:59:59.999,8269411.98141000,54792,373.21608000,4048174.84918000,0
2024-12-16,11002.0,11507.0,10532.0,10752.0,828.20629,2024-12-16 23:59:59.999,9087749.03697000,60434,394.65726000,4330440.58922000,0
2024-12-17,10753.0,10756.0,9965.0,10060.0,904.26823,2024-12-17 23:59:59.999,9407884.75292000,53489,427.08321000,4450180.94455000,0
2024-12-18,10060.0,10194.0,8984.0,9207.0,1302.94655,2024-12-18 23:59:59.999,12669329.93560000,89212,644.17635000,6263930.40504000,0
2024-12-19,9208.0,9594.0,8143.0,8481.0,1703.93593,2024-12-19 23:59:59.999,15087673.65577000,111850,827.59593000,7326941.25178000,0
2024-12-20,8481.0,9102.0,7307.0,9102.0,1862.68638,2024-12-20 23:59:59.999,15344627.25201000,103001,942.96604000,7767746.65282000,0
2024-12-21,9097.0,9693.0,8386.0,8537.0,1052.37722,2024-12-21 23:59:59.999,9441480.09230000,60112,493.80706000,4435711.01829000,0
2024-12-22,8547.0,8851.0,8307.0,8569.0,572.09474,2024-12-22 23:59:59.999,4922817.24987000,35770,275.24782000,2370468.42884000,0
2024-12-23,8569.0,9329.0,8360.0,9028.0,641.14269,2024-12-23 23:59:59.999,5624315.71027000,36827,316.37707000,2774151.86207000,0
2024-12-24,9028.0,9570.0,8772.0,9336.0,755.96754,2024-12-24 23:59:59.999,6943905.49827000,39233,371.76949000,3411063.15209000,0
2024-12-25,9336.0,9422.0,8944.0,9215.0,363.32756,2024-12-25 23:59:59.999,3337627.55547000,20132,170.09893000,1563225.22485000,0
2024-12-26,9213.0,9258.0,8422.0,8540.0,473.69738,2024-12-26 23:59:59.999,4124102.10998000,23035,222.37760000,1933463.92757000,0
2024-12-27,8540.0,9021.0,8464.0,8530.0,345.58726,2024-12-27 23:59:59.999,3006409.47516000,20571,185.58421000,1614194.99723000,0
2024-12-28,8538.0,8894.0,8439.0,8787.0,313.95701,2024-12-28 23:59:59.999,2714100.08945000,15849,141.62578000,1224022.76183000,0
2024-12-29,8790.0,8799.0,8210.0,8336.0,290.09576,2024-12-29 23:59:59.999,2463978.06924000,15746,136.23168000,1159256.44797000,0
2024-12-30,8335.0,8653.0,8118.0,8268.0,423.01172,2024-12-30 23:59:59.999,3550472.03287000,22455,183.01914000,1536026.44612000,0
2024-12-31,8263.0,8424.0,7917.0,8011.0,615.23427,2024-12-31 23:59:59.999,5014287.81008000,29587,310.31393000,2528657.13477000,0
2025-01-01,8010.0,8430.0,7878.0,8328.0,393.77597,2025-01-01 23:59:59.999,3214731.54667000,21385,192.27357000,1570544.95990000,0
2025-01-02,8334.0,8660.0,8252.0,8375.0,456.20407,2025-01-02 23:59:59.999,3868110.35840000,27083,237.09065000,2011697.53590000,0
2025-01-03,8384.0,9205.0,8275.0,8924.0,604.70984,2025-01-03 23:59:59.999,5296297.44671000,34728,312.58424000,2737423.21214000,0
2025-01-04,8938.0,9062.0,8684.0,8845.0,401.32333,2025-01-04 23:59:59.999,3560592.67269000,28892,203.87506000,1810627.61635000,0
2025-01-05,8848.0,9024.0,8638.0,8956.0,306.34426,2025-01-05 23:59:59.999,2702766.85242000,17612,154.77308000,1365650.23009000,0
2025-01-06,8958.0,9245.0,8774.0,9037.0,440.94804,2025-01-06 23:59:59.999,3978474.89379000,23555,223.19255000,2013906.01848000,0
2025-01-07,9036.0,9036.0,8127.0,8178.0,588.8779,2025-01-07 23:59:59.999,5072941.05864000,42661,280.83656000,2415746.84831000,0
2025-01-08,8181.0,8274.0,7760.0,8158.0,476.08621,2025-01-08 23:59:59.999,3846417.24842000,28946,240.84653000,1947277.82305000,0
2025-01-09,8150.0,8401.0,7730.0,7867.0,443.25104,2025-01-09 23:59:59.999,3575458.18112000,22372,191.35489000,1544788.24560000,0
2025-01-10,7870.0,8186.0,7817.0,8034.0,366.88157,2025-01-10 23:59:59.999,2952957.50191000,20722,169.01292000,1360059.51774000,0
2025-01-11,8040.0,8079.0,7890.0,7983.0,170.70294,2025-01-11 23:59:59.999,1364078.08958000,10297,90.29760000,722193.44810000,0
2025-01-12,7993.0,8046.0,7766.0,7892.0,210.06232,2025-01-12 23:59:59.999,1665974.19253000,12626,109.51916000,868685.96517000,0
2025-01-13,7892.0,8079.0,7263.0,7803.0,579.81252,2025-01-13 23:59:59.999,4391581.37836000,31012,289.13412000,2193480.79571000,0
2025-01-14,7792.0,7994.0,7670.0,7958.0,284.09368,2025-01-14 23:59:59.999,2226750.53242000,12733,143.34867000,1123531.19271000,0
2025-01-15,7958.0,8451.0,7937.0,8438.0,540.30066,2025-01-15 23:59:59.999,4427366.88035000,26035,307.07393000,2515542.07443000,0
2025-01-16,8435.0,8520.0,8140.0,8212.0,499.41009,2025-01-16 23:59:59.999,4160449.21540000,31388,265.27586000,2209467.77192000,0
2025-01-17,8213.0,8862.0,8212.0,8720.0,669.35427,2025-01-17 23:59:59.999,5766320.89334000,35994,350.03256000,3012821.72152000,0
2025-01-18,8718.0,8780.0,8011.0,8188.0,577.63037,2025-01-18 23:59:59.999,4794037.48969000,31858,271.69800000,2257313.58903000,0
2025-01-19,8181.0,8416.0,7418.0,7605.0,1024.29976,2025-01-19 23:59:59.999,8095262.16131000,57558,465.71958000,3683697.00563000,0
2025-01-20,7597.0,8374.0,7357.0,7767.0,880.50714,2025-01-20 23:59:59.999,6875228.32624000,63825,422.14254000,3299233.73119000,0
2025-01-21,7767.0,7987.0,7488.0,7787.0,447.33977,2025-01-21 23:59:59.999,3474928.79342000,24703,221.87922000,1724097.06188000,0
2025-01-22,7794.0,7883.0,7518.0,7581.0,229.08802,2025-01-22 23:59:59.999,1769378.74205000,14247,114.14182000,882282.45617000,0
2025-01-23,7579.0,7766.0,7417.0,7663.0,360.05972,2025-01-23 23:59:59.999,2727259.40687000,19386,185.94852000,1408956.95860000,0
2025-01-24,7663.0,7765.0,7436.0,7475.0,288.92124,2025-01-24 23:59:59.999,2197946.32715000,13600,137.14311000,1044056.88248000,0
2025-01-25,7477.0,7631.0,7385.0,7523.0,235.13683,2025-01-25 23:59:59.999,1774392.97911000,12665,120.45557000,909339.99032000,0
2025-01-26,7520.0,7573.0,7165.0,7173.0,220.73651,2025-01-26 23:59:59.999,1638885.79445000,10919,103.20922000,767531.54318000,0
2025-01-27,7167.0,7378.0,6729.0,7321.0,689.67391,2025-01-27 23:59:59.999,4851371.06070000,35996,339.47561000,2391915.15612000,0
