Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.02058,0.02185,0.01847,0.01873,595144134.3,2024-11-17 23:59:59.999,11786413.40328400,56452,277789025.80000000,5515835.38278300,0
2024-11-18,0.01873,0.02236,0.01853,0.02086,787374847.3,2024-11-18 23:59:59.999,16144336.54530000,69446,391012169.00000000,8015360.42145300,0
2024-11-19,0.02084,0.02165,0.02006,0.02076,460793620.1,2024-11-19 23:59:59.999,9614832.11771200,45389,228790186.30000000,4776977.13231900,0
2024-11-20,0.02072,0.02083,0.01935,0.01972,322747690.9,2024-11-20 23:59:59.999,6476756.36915200,35775,149614278.50000000,3004568.02024600,0
2024-11-21,0.01971,0.02092,0.01908,0.02084,430732704.0,2024-11-21 23:59:59.999,8737291.76660800,45843,219801205.80000000,4459788.77358800,0
2024-11-22,0.02084,0.02226,0.02045,0.02223,483957280.0,2024-11-22 23:59:59.999,10251916.74027500,52883,250071896.50000000,5299496.10872300,0
2024-11-23,0.02223,0.02536,0.02186,0.02437,959189768.6,2024-11-23 23:59:59.999,22869229.19596500,116547,457757473.70000000,10920916.57466300,0
2024-11-24,0.02438,0.02665,0.0226,0.02478,792348407.2,2024-11-24 23:59:59.999,19505332.34687000,101104,379594834.90000000,9345441.35888400,0
2024-11-25,0.02479,0.02575,0.02288,0.02345,559128595.8,2024-11-25 23:59:59.999,13675079.52577500,70514,276345254.50000000,6764762.59148900,0
2024-11-26,0.02343,0.0253,0.02246,0.02466,647155803.9,2024-11-26 23:59:59.999,15406184.75163600,81084,326389849.00000000,7771753.48810700,0
2024-11-27,0.02465,0.02582,0.02399,0.0257,427269884.2,2024-11-27 23:59:59.999,10630561.74443700,56498,206571080.70000000,5141252.38727800,0
2024-11-28,0.02571,0.02571,0.02429,0.02506,296565166.8,2024-11-28 23:59:59.999,7376408.13910800,35017,139070146.70000000,3458412.63382600,0
2024-11-29,0.02506,0.02692,0.02421,0.0263,559120949.6,2024-11-29 23:59:59.999,14269826.02523200,58422,271436755.50000000,6947186.71606700,0
2024-11-30,0.0263,0.02743,0.02577,0.02644,641418639.6,2024-11-30 23:59:59.999,16977696.28223000,74542,322654422.20000000,8549627.39930200,0
2024-12-01,0.02645,0.02735,0.02544,0.02685,440441840.3,2024-12-01 23:59:59.999,11649852.77657900,46890,210672564.10000000,5571937.94530800,0
2024-12-02,0.02685,0.03156,0.02534,0.03044,1768705642.3,2024-12-02 23:59:59.999,50336252.43000600,228299,875574802.80000000,24942499.83367200,0
2024-12-03,0.03044,0.03771,0.03025,0.03529,3165653384.3,2024-12-03 23:59:59.999,106911725.74968800,428691,1558222493.70000000,52656641.54371800,0
2024-12-04,0.03532,0.03605,0.0322,0.03389,1181070221.7,2024-12-04 23:59:59.999,40510630.53478300,141656,564545951.40000000,19365371.28727900,0
2024-12-05,0.03388,0.03633,0.03216,0.03519,1245216080.1,2024-12-05 23:59:59.999,42655798.86557600,163540,624881674.50000000,21422405.55721000,0
2024-12-06,0.03519,0.03653,0.03267,0.03591,834117945.3,2024-12-06 23:59:59.999,29024677.25797500,116042,402849634.60000000,14024829.08573900,0
2024-12-07,0.03592,0.0375,0.03435,0.03504,599602562.1,2024-12-07 23:59:59.999,21501813.21125000,98864,281559346.80000000,10106270.71870500,0
2024-12-08,0.03505,0.03544,0.03373,0.03483,339517138.2,2024-12-08 23:59:59.999,11735398.30305900,54992,164585261.50000000,5691655.73483400,0
2024-12-09,0.03482,0.035,0.02387,0.02789,993217982.6,2024-12-09 23:59:59.999,29752466.71751000,175750,489409813.80000000,14661491.02000600,0
2024-12-10,0.02791,0.02817,0.02376,0.02646,879474171.5,2024-12-10 23:59:59.999,23120985.54567900,126197,423389957.10000000,11153097.11502100,0
2024-12-11,0.02646,0.02878,0.02524,0.02832,406632942.0,2024-12-11 23:59:59.999,11018639.29019400,69577,204511726.10000000,5549275.14263000,0
2024-12-12,0.02831,0.0298,0.02785,0.02834,433656579.7,2024-12-12 23:59:59.999,12460907.86004400,65364,212647961.50000000,6117795.72161200,0
2024-12-13,0.02836,0.0287,0.02722,0.02859,344553599.0,2024-12-13 23:59:59.999,9683501.21340400,53777,178303948.90000000,5016387.63515500,0
2024-12-14,0.02862,0.02876,0.02618,0.0268,216707284.2,2024-12-14 23:59:59.999,5942912.53179100,33950,100092927.80000000,2747644.68036600,0
2024-12-15,0.0268,0.02803,0.02601,0.02764,275932607.3,2024-12-15 23:59:59.999,7447414.52803200,37473,147411323.30000000,3980428.49461400,0
2024-12-16,0.02763,0.02835,0.02582,0.02651,275486592.4,2024-12-16 23:59:59.999,7423836.00218500,41671,130606561.50000000,3519227.38267200,0
2024-12-17,0.02651,0.02678,0.02496,0.0253,300273448.0,2024-12-17 23:59:59.999,7804635.20780900,43172,147211858.20000000,3829303.73264100,0
2024-12-18,0.02535,0.02544,0.02207,0.0223,462691712.7,2024-12-18 23:59:59.999,10986289.53552900,68157,229490460.50000000,5446172.73374000,0
2024-12-19,0.0223,0.02295,0.01958,0.0202,629317888.1,2024-12-19 23:59:59.999,13444181.57290000,73331,314614051.20000000,6739137.19641800,0
2024-12-20,0.02023,0.02182,0.01785,0.02145,564522999.8,2024-12-20 23:59:59.999,11176824.60817600,60415,283457216.20000000,5618170.56511100,0
2024-12-21,0.02146,0.02343,0.02012,0.02042,332570234.1,2024-12-21 23:59:59.999,7230861.95897000,35926,165663568.50000000,3599270.19904200,0
2024-12-22,0.02044,0.02166,0.02017,0.02075,282534871.3,2024-12-22 23:59:59.999,5895126.52340300,27023,146398159.10000000,3057469.34283800,0
2024-12-23,0.02076,0.0226,0.02022,0.02238,304436031.3,2024-12-23 23:59:59.999,6486755.37196600,44426,147171806.40000000,3136154.91743000,0
2024-12-24,0.02235,0.02399,0.02167,0.02355,216261270.0,2024-12-24 23:59:59.999,4950397.01703900,31535,100960530.70000000,2309758.44085500,0
2024-12-25,0.02356,0.02357,0.0223,0.02258,197276481.6,2024-12-25 23:59:59.999,4516526.53273800,22902,96988066.20000000,2219604.32530200,0
2024-12-26,0.02258,0.02283,0.0207,0.02098,165438089.8,2024-12-26 23:59:59.999,3545187.33666300,17271,78898670.00000000,1690752.37234400,0
2024-12-27,0.02099,0.0222,0.02081,0.02107,164049503.9,2024-12-27 23:59:59.999,3515604.79667200,17474,77444144.20000000,1660096.86322600,0
2024-12-28,0.02108,0.02229,0.02097,0.02213,143520928.9,2024-12-28 23:59:59.999,3085679.96130200,14213,65772491.00000000,1415407.92493000,0
2024-12-29,0.02213,0.02219,0.02057,0.02091,109334437.6,2024-12-29 23:59:59.999,2336772.58577000,11598,48813485.80000000,1042337.50232000,0
2024-12-30,0.0209,0.02185,0.02015,0.02087,199198327.1,2024-12-30 23:59:59.999,4200379.94558500,20196,94118995.10000000,1986849.04332500,0
2024-12-31,0.02086,0.02118,0.01998,0.02012,162372117.4,2024-12-31 23:59:59.999,3332839.98607100,19049,77655568.20000000,1594026.88712300,0
2025-01-01,0.02012,0.02141,0.0197,0.02119,188307409.6,2025-01-01 23:59:59.999,3863625.22179900,19762,94624684.20000000,1941579.88322800,0
2025-01-02,0.02125,0.02194,0.02121,0.02156,175426766.6,2025-01-02 23:59:59.999,3789789.49216700,24226,84054864.40000000,1815837.01321300,0
2025-01-03,0.02157,0.02348,0.02128,0.0233,200782139.0,2025-01-03 23:59:59.999,4516754.43367100,26146,99816772.60000000,2245058.32329800,0
2025-01-04,0.02329,0.02345,0.02266,0.02319,164554667.9,2025-01-04 23:59:59.999,3798687.45900300,24453,80587761.20000000,1861508.84038400,0
2025-01-05,0.02319,0.02334,0.02262,0.02315,135585915.7,2025-01-05 23:59:59.999,3118943.85206800,16168,63168697.30000000,1453677.76224400,0
2025-01-06,0.02316,0.02505,0.02279,0.02437,281786820.8,2025-01-06 23:59:59.999,6775796.41003800,35227,148991262.30000000,3578128.52421600,0
2025-01-07,0.02437,0.02449,0.02137,0.02137,295527712.7,2025-01-07 23:59:59.999,6744025.92103000,31594,136458779.00000000,3116815.21979900,0
2025-01-08,0.02139,0.02188,0.01987,0.02096,315303621.3,2025-01-08 23:59:59.999,6567439.97879600,31134,156012053.70000000,3255630.19450800,0
2025-01-09,0.02095,0.02175,0.02045,0.02149,358809919.6,2025-01-09 23:59:59.999,7583525.42173300,37202,170936879.90000000,3618921.35241700,0
2025-01-10,0.02149,0.0223,0.02077,0.02201,253337833.8,2025-01-10 23:59:59.999,5433556.17186700,25082,123163838.50000000,2642802.09164100,0
2025-01-11,0.02202,0.02242,0.02116,0.0216,146742582.6,2025-01-11 23:59:59.999,3180391.44842400,15958,69876044.50000000,1514900.71107800,0
2025-01-12,0.02161,0.02212,0.02072,0.02099,123940142.7,2025-01-12 23:59:59.999,2654428.82959100,12442,65193255.10000000,1396515.21951200,0
2025-01-13,0.021,0.02164,0.0186,0.02014,248124483.3,2025-01-13 23:59:59.999,4921122.86173100,23977,119052454.30000000,2358839.51073700,0
2025-01-14,0.02015,0.02173,0.01992,0.02164,194500994.2,2025-01-14 23:59:59.999,4081140.60681500,17661,98108707.30000000,2057836.19821100,0
2025-01-15,0.02163,0.02308,0.02091,0.02301,215442786.7,2025-01-15 23:59:59.999,4732695.45029000,24099,104989253.70000000,2309645.70195300,0
2025-01-16,0.02303,0.02315,0.02186,0.02251,223274611.4,2025-01-16 23:59:59.999,5028264.61540200,23483,104630623.60000000,2357157.15951300,0
2025-01-17,0.02252,0.02386,0.02251,0.02364,226847423.6,2025-01-17 23:59:59.999,5299013.69554200,23457,115310645.30000000,2695371.05160200,0
2025-01-18,0.02363,0.02382,0.02147,0.02199,219932993.5,2025-01-18 23:59:59.999,4905643.71307200,28613,105849883.80000000,2360911.90855900,0
2025-01-19,0.02198,0.0226,0.01936,0.0198,482641144.0,2025-01-19 23:59:59.999,10051155.39112100,57772,224763160.40000000,4684125.93461400,0
2025-01-20,0.01978,0.02187,0.01905,0.01988,513695271.7,2025-01-20 23:59:59.999,10416577.22442600,70477,244788343.90000000,4960503.26405600,0
2025-01-21,0.01988,0.02105,0.01903,0.02051,292311248.6,2025-01-21 23:59:59.999,5847483.29145700,37071,140075363.80000000,2789294.27843200,0
2025-01-22,0.02051,0.02066,0.01985,0.02,136744833.9,2025-01-22 23:59:59.999,2779581.86042800,17670,67906052.20000000,1380224.11352300,0
2025-01-23,0.02,0.02039,0.01919,0.01993,195464384.9,2025-01-23 23:59:59.999,3855865.20313700,26282,102030114.50000000,2012591.11428200,0
2025-01-24,0.01993,0.02038,0.01917,0.01938,154882261.7,2025-01-24 23:59:59.999,3069752.86541100,16855,75041343.00000000,1488333.21310700,0
2025-01-25,0.01937,0.0197,0.01913,0.01944,85041318.2,2025-01-25 23:59:59.999,1653762.73914400,9548,42755444.50000000,831661.78933600,0
2025-01-26,0.01944,0.02012,0.01914,0.01917,111033468.8,2025-01-26 23:59:59.999,2193809.44147600,10678,56110615.30000000,1108804.16277800,0
2025-01-27,0.01915,0.0193,0.01739,0.01888,342824581.1,2025-01-27 23:59:59.999,6259004.90785000,32302,165840652.20000000,3029607.31800800,0
2025-01-28,0.01887,0.01908,0.01766,0.01781,122320617.6,2025-01-28 23:59:59.999,2268467.16519700,15044,60476492.60000000,1121827.95368800,0
2025-01-29,0.0178,0.01868,0.01739,0.01805,197093935.7,2025-01-29 23:59:59.999,3555254.13215500,25391,101106408.80000000,1821425.06703300,0
2025-01-30,0.01803,0.01917,0.01778,0.01854,185490479.2,2025-01-30 23:59:59.999,3461687.77816300,20198,81827897.90000000,1525952.52391100,0
2025-01-31,0.01854,0.01953,0.01823,0.01879,146550153.5,2025-01-31 23:59:59.999,2765363.20584400,16240,68190608.40000000,1288638.04594000,0
2025-02-01,0.01879,0.01931,0.01722,0.01735,183784211.8,2025-02-01 23:59:59.999,3377045.75240300,20904,94921911.00000000,1741914.20944400,0
2025-02-02,0.01734,0.01774,0.0144,0.01515,429866151.5,2025-02-02 23:59:59.999,6889364.13486300,37603,211436617.00000000,3399134.46513300,0
2025-02-03,0.01517,0.01563,0.01124,0.01545,948148031.0,2025-02-03 23:59:59.999,13096978.57799800,68033,466432676.00000000,6459520.28368800,0
2025-02-04,0.01546,0.0157,0.01385,0.01447,377258072.2,2025-02-04 23:59:59.999,5485987.40468400,25837,174826172.90000000,2539740.80454700,0
2025-02-05,0.01446,0.01484,0.01402,0.0142,170464018.8,2025-02-05 23:59:59.999,2464301.03031700,16402,85712120.80000000,1239738.02751000,0
2025-02-06,0.0142,0.01457,0.01345,0.01366,197886794.2,2025-02-06 23:59:59.999,2759871.22574600,19589,93254232.60000000,1300407.39944700,0
2025-02-07,0.01367,0.01446,0.01328,0.01369,189461900.0,2025-02-07 23:59:59.999,2634731.77326500,16577,95177102.50000000,1325265.36535800,0
2025-02-08,0.01367,0.01442,0.01354,0.01435,95107186.5,2025-02-08 23:59:59.999,1319018.32772100,6448,48862062.40000000,677790.78019300,0
2025-02-09,0.01436,0.01486,0.01361,0.01428,305563837.5,2025-02-09 23:59:59.999,4426016.88244800,18127,148582046.10000000,2149402.41639500,0
2025-02-10,0.01427,0.01496,0.01382,0.01489,181253513.4,2025-02-10 23:59:59.999,2623177.63603200,11640,96486467.70000000,1401130.02580700,0
2025-02-11,0.01488,0.01536,0.01448,0.01473,167583147.8,2025-02-11 23:59:59.999,2502863.47674600,14563,81307016.70000000,1215490.10177200,0
2025-02-12,0.01473,0.01566,0.01411,0.0155,207922913.9,2025-02-12 23:59:59.999,3069364.82341500,13997,102825190.90000000,1519596.33808300,0
2025-02-13,0.01553,0.01559,0.01471,0.01505,146696254.2,2025-02-13 23:59:59.999,2210392.62119300,9617,72228250.70000000,1088956.93189300,0
2025-02-14,0.01506,0.01553,0.01501,0.01526,151244087.8,2025-02-14 23:59:59.999,2307151.67555100,10840,74494103.10000000,1136223.37042100,0
2025-02-15,0.01526,0.01538,0.01458,0.01473,114983329.0,2025-02-15 23:59:59.999,1719063.44108400,8037,51623293.10000000,771692.81066900,0
2025-02-16,0.01473,0.0151,0.01455,0.01457,104841898.3,2025-02-16 23:59:59.999,1549614.91130200,7446,51411096.60000000,759694.00793600,0
2025-02-17,0.01457,0.01514,0.01428,0.01478,135647512.7,2025-02-17 23:59:59.999,1992051.24245000,9884,71040980.90000000,1043227.68366500,0
2025-02-18,0.01477,0.01486,0.0137,0.01413,144639477.7,2025-02-18 23:59:59.999,2052031.65590900,9749,73530105.00000000,1043668.95936900,0
2025-02-19,0.01413,0.01457,0.01395,0.01446,97354195.0,2025-02-19 23:59:59.999,1390855.40543900,6543,47308214.40000000,675857.39180500,0
2025-02-20,0.01445,0.01493,0.01442,0.01487,120782472.6,2025-02-20 23:59:59.999,1766158.37361100,8069,63683585.80000000,930886.08949400,0
2025-02-21,0.01488,0.01552,0.01417,0.01444,189088212.7,2025-02-21 23:59:59.999,2820253.96444400,14379,88104665.80000000,1312842.47099000,0
2025-02-22,0.01444,0.01506,0.01435,0.01493,87618163.4,2025-02-22 23:59:59.999,1293001.63477900,6854,46216470.90000000,682002.84014000,0
2025-02-23,0.01492,0.01505,0.01446,0.0146,87609610.4,2025-02-23 23:59:59.999,1293053.13155500,6355,40594122.40000000,598581.62340300,0
2025-02-24,0.01461,0.01468,0.01286,0.01312,200837613.1,2025-02-24 23:59:59.999,2763766.94131700,15005,99790682.10000000,1376849.28650700,0
2025-02-25,0.01312,0.0135,0.01224,0.01332,275493686.6,2025-02-25 23:59:59.999,3548676.74616100,17726,132014655.00000000,1705148.33503700,0
2025-02-26,0.01332,0.01355,0.01281,0.01336,161930509.6,2025-02-26 23:59:59.999,2145584.63167600,9942,76623133.50000000,1015838.99844700,0
2025-02-27,0.01336,0.01408,0.01323,0.01377,159448165.2,2025-02-27 23:59:59.999,2185312.54204700,9036,79673088.50000000,1091883.25859600,0
2025-02-28,0.01377,0.01384,0.01254,0.01369,240831236.3,2025-02-28 23:59:59.999,3154648.41176800,14052,118611434.70000000,1556263.38349500,0
