Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.1506,0.1527,0.1419,0.1452,117785958.9,2024-11-17 23:59:59.999,17337281.77515000,77063,59032667.60000000,8690276.82636000,0
2024-11-18,0.1453,0.1549,0.1439,0.1543,121450671.1,2024-11-18 23:59:59.999,18245311.80544000,89828,57589025.40000000,8653171.10681000,0
2024-11-19,0.1544,0.1558,0.141,0.1443,84865773.9,2024-11-19 23:59:59.999,12556523.47113000,76631,40574474.10000000,5996737.31013000,0
2024-11-20,0.1443,0.1446,0.1324,0.1343,101501589.6,2024-11-20 23:59:59.999,14142960.93197000,88350,51979362.60000000,7246175.31528000,0
2024-11-21,0.1343,0.1522,0.1301,0.1489,164491335.2,2024-11-21 23:59:59.999,23679261.06161000,177535,85350538.20000000,12287016.08202000,0
2024-11-22,0.149,0.1599,0.1454,0.1557,195012720.2,2024-11-22 23:59:59.999,29782419.40478000,223386,94446208.50000000,14434119.19083000,0
2024-11-23,0.1557,0.1717,0.1483,0.1659,208693089.7,2024-11-23 23:59:59.999,34242088.66549000,251090,103758774.80000000,17051031.65460000,0
2024-11-24,0.1659,0.1756,0.1525,0.1741,159207185.8,2024-11-24 23:59:59.999,26347668.90053000,167153,74910623.70000000,12398800.83924000,0
2024-11-25,0.1743,0.18,0.1655,0.1727,140685463.4,2024-11-25 23:59:59.999,24403713.07367000,121825,69078431.60000000,12001126.02239000,0
2024-11-26,0.1727,0.1766,0.1552,0.1649,148941920.5,2024-11-26 23:59:59.999,24426739.06774000,95616,72310807.10000000,11847158.17325000,0
2024-11-27,0.1649,0.1838,0.1616,0.1817,118116697.5,2024-11-27 23:59:59.999,20221990.90200000,74278,61454154.50000000,10535055.80009000,0
2024-11-28,0.1817,0.1874,0.1758,0.1798,113030061.9,2024-11-28 23:59:59.999,20492749.50842000,71208,55819035.90000000,10130451.45935000,0
2024-11-29,0.1798,0.19,0.1764,0.1868,77279771.9,2024-11-29 23:59:59.999,14108544.97318000,62887,35281264.90000000,6457252.55886000,0
2024-11-30,0.187,0.1935,0.1835,0.1897,79272228.3,2024-11-30 23:59:59.999,14979715.31078000,57441,39497108.20000000,7467981.41350000,0
