Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,3.705,3.775,3.5,3.597,3990358.56,2024-11-17 23:59:59.999,14625895.65609000,85454,1969252.94000000,7225169.30428000,0
2024-11-18,3.598,3.847,3.577,3.819,3970659.49,2024-11-18 23:59:59.999,14817990.11797000,78741,1923038.65000000,7179834.50790000,0
2024-11-19,3.82,3.85,3.501,3.599,3434484.85,2024-11-19 23:59:59.999,12541336.12520000,61508,1717296.26000000,6274142.05556000,0
2024-11-20,3.6,3.6,3.342,3.4,3416186.37,2024-11-20 23:59:59.999,11833039.91653000,58440,1610783.71000000,5582741.43883000,0
2024-11-21,3.401,3.699,3.301,3.602,4993639.51,2024-11-21 23:59:59.999,17737684.07844000,83250,2474886.04000000,8796489.86210000,0
2024-11-22,3.602,3.723,3.5,3.717,4378071.25,2024-11-22 23:59:59.999,15745101.64344000,90606,2077814.64000000,7471938.67326000,0
2024-11-23,3.718,4.054,3.689,3.902,8299190.72,2024-11-23 23:59:59.999,32124608.65492000,156257,4054194.76000000,15712992.64422000,0
2024-11-24,3.903,4.569,3.615,4.505,9191816.22,2024-11-24 23:59:59.999,36588975.26745000,189609,4712639.86000000,18791555.28855000,0
2024-11-25,4.506,4.827,4.212,4.356,12045454.42,2024-11-25 23:59:59.999,53644308.46834000,269267,5994230.50000000,26732292.55682000,0
2024-11-26,4.355,4.463,4.123,4.376,8367901.11,2024-11-26 23:59:59.999,35861404.79187000,188303,4120698.38000000,17665529.21344000,0
2024-11-27,4.375,4.949,4.236,4.893,7676729.1,2024-11-27 23:59:59.999,35539229.38264000,168931,4012776.83000000,18593458.35948000,0
2024-11-28,4.892,4.976,4.592,4.748,5335468.73,2024-11-28 23:59:59.999,25299885.86238000,124501,2648353.89000000,12566608.91987000,0
2024-11-29,4.75,4.977,4.575,4.853,3962815.28,2024-11-29 23:59:59.999,18964705.03217000,93840,1999415.35000000,9574855.66949000,0
2024-11-30,4.852,5.21,4.78,4.929,6039133.1,2024-11-30 23:59:59.999,29844488.64358000,190818,3055068.07000000,15125435.15457000,0
2024-12-01,4.929,6.778,4.908,6.3,32813340.07,2024-12-01 23:59:59.999,202947176.87011000,900535,16707979.37000000,103197196.45198000,0
2024-12-02,6.3,6.909,6.043,6.296,20408628.49,2024-12-02 23:59:59.999,128860509.62698000,565687,10054063.86000000,63586427.10741000,0
2024-12-03,6.295,6.458,5.721,6.107,13578633.89,2024-12-03 23:59:59.999,83100431.41706000,368243,6348598.50000000,38876990.71836000,0
2024-12-04,6.109,6.919,5.933,6.23,11558889.86,2024-12-04 23:59:59.999,73025066.63991000,312343,5838502.56000000,36924038.09162000,0
