Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-11-17,0.4028,0.4028,0.3592,0.3681,11744408.0,2024-11-17 23:59:59.999,4490339.48320000,36233,5558416.00000000,2128472.00670000,0
2024-11-18,0.3682,0.5428,0.3649,0.475,104551325.0,2024-11-18 23:59:59.999,47940929.72230000,289736,51757072.00000000,23764086.83480000,0
2024-11-19,0.4749,0.4749,0.4196,0.4344,30959349.0,2024-11-19 23:59:59.999,13766795.20980000,74926,14182238.00000000,6303812.82940000,0
2024-11-20,0.4343,0.437,0.4059,0.411,18632589.0,2024-11-20 23:59:59.999,7834016.49380000,36354,9135796.00000000,3843416.94990000,0
2024-11-21,0.4112,0.4369,0.4018,0.428,23930103.0,2024-11-21 23:59:59.999,10100928.27670000,62687,12322783.00000000,5204485.82200000,0
2024-11-22,0.4282,0.4568,0.4205,0.4524,19648807.0,2024-11-22 23:59:59.999,8662458.18610000,47556,9767650.00000000,4310495.87760000,0
2024-11-23,0.4526,0.4825,0.441,0.4627,19461484.0,2024-11-23 23:59:59.999,8985742.43790000,59733,9637822.00000000,4454036.17670000,0
2024-11-24,0.463,0.5353,0.4532,0.5081,35759050.0,2024-11-24 23:59:59.999,17713020.34150000,114413,17607992.00000000,8735575.69140000,0
2024-11-25,0.5083,0.5134,0.4619,0.478,22133529.0,2024-11-25 23:59:59.999,10928595.21050000,70860,10501239.00000000,5188349.81180000,0
2024-11-26,0.4775,0.6252,0.4695,0.6015,82767527.0,2024-11-26 23:59:59.999,44394219.35100000,277124,41285078.00000000,22173968.31610000,0
2024-11-27,0.6015,0.6345,0.5263,0.5766,43722754.0,2024-11-27 23:59:59.999,24294134.46770000,140479,21389537.00000000,11883238.72950000,0
2024-11-28,0.5772,0.5777,0.5347,0.5493,15906007.0,2024-11-28 23:59:59.999,8785758.03230000,60583,7991036.00000000,4415555.15500000,0
2024-11-29,0.5498,0.5817,0.5376,0.5715,12334390.0,2024-11-29 23:59:59.999,6869377.28030000,39074,5740185.00000000,3199819.16280000,0
2024-11-30,0.5713,0.6,0.5517,0.5838,20162834.0,2024-11-30 23:59:59.999,11636006.67800000,66476,10196136.00000000,5886643.51290000,0
2024-12-01,0.5838,0.6174,0.5668,0.5943,23661365.0,2024-12-01 23:59:59.999,13991015.57830000,90135,11627102.00000000,6884655.60150000,0
2024-12-02,0.5948,0.6289,0.5305,0.6167,29853612.0,2024-12-02 23:59:59.999,17185172.45690000,111853,14520609.00000000,8372189.68530000,0
2024-12-03,0.6169,0.6792,0.5842,0.6462,50899415.0,2024-12-03 23:59:59.999,32501925.42600000,222603,25760703.00000000,16463808.82780000,0
2024-12-04,0.6464,0.6981,0.6374,0.6634,34778131.0,2024-12-04 23:59:59.999,23195024.01000000,165989,17725970.00000000,11824547.83970000,0
2024-12-05,0.6634,0.6869,0.6181,0.6388,34260893.0,2024-12-05 23:59:59.999,22372473.98900000,151347,17152356.00000000,11210809.62260000,0
2024-12-06,0.639,0.912,0.6312,0.7523,215564695.0,2024-12-06 23:59:59.999,175725188.27420000,880564,110856463.00000000,90469560.29000000,0
2024-12-07,0.7522,0.8491,0.7314,0.7606,54200377.0,2024-12-07 23:59:59.999,42331787.00120000,166191,26099106.00000000,20398234.34690000,0
2024-12-08,0.7611,0.7675,0.73,0.764,23102189.0,2024-12-08 23:59:59.999,17313371.88960000,81095,11292978.00000000,8468830.63710000,0
2024-12-09,0.7641,0.7646,0.5155,0.6104,63386616.0,2024-12-09 23:59:59.999,42273949.44070000,231394,30891358.00000000,20657922.89370000,0
2024-12-10,0.6105,0.619,0.5088,0.5608,55132961.0,2024-12-10 23:59:59.999,31075066.77280000,141775,27094283.00000000,15277081.54950000,0
2024-12-11,0.5609,0.6296,0.5289,0.6258,27739933.0,2024-12-11 23:59:59.999,16224133.47870000,101947,13494855.00000000,7891730.75610000,0
2024-12-12,0.6258,0.6756,0.6166,0.6397,34833813.0,2024-12-12 23:59:59.999,22656025.53700000,143409,17589304.00000000,11439232.74530000,0
2024-12-13,0.6398,0.6778,0.6174,0.6543,35211544.0,2024-12-13 23:59:59.999,22968016.37600000,156773,18004786.00000000,11755806.56110000,0
2024-12-14,0.654,0.6652,0.5957,0.6061,15200248.0,2024-12-14 23:59:59.999,9539570.59040000,71859,7221699.00000000,4534377.86320000,0
2024-12-15,0.6063,0.6291,0.5881,0.625,15103521.0,2024-12-15 23:59:59.999,9203613.04870000,67860,7697953.00000000,4692836.79530000,0
2024-12-16,0.6253,0.6381,0.583,0.5938,17909595.0,2024-12-16 23:59:59.999,10847615.27840000,73009,8770070.00000000,5309875.13850000,0
2024-12-17,0.5939,0.6026,0.5519,0.5589,13794960.0,2024-12-17 23:59:59.999,8027648.23290000,58245,6890627.00000000,4010350.13020000,0
2024-12-18,0.5591,0.5619,0.4865,0.4956,22896888.0,2024-12-18 23:59:59.999,12089776.27890000,84320,11198546.00000000,5918079.29030000,0
2024-12-19,0.4952,0.5134,0.4399,0.4543,25732684.0,2024-12-19 23:59:59.999,12261066.36690000,86649,12102083.00000000,5772556.75560000,0
2024-12-20,0.4544,0.49,0.4043,0.4767,38830330.0,2024-12-20 23:59:59.999,17391950.52950000,96929,18722139.00000000,8404541.95730000,0
2024-12-21,0.4766,0.51,0.4418,0.4503,18511703.0,2024-12-21 23:59:59.999,8794986.46900000,53523,8951890.00000000,4263649.01640000,0
2024-12-22,0.4506,0.4765,0.4378,0.4557,14803065.0,2024-12-22 23:59:59.999,6737850.53700000,47621,6742861.00000000,3071588.97030000,0
2024-12-23,0.4554,0.4899,0.4399,0.4788,13730858.0,2024-12-23 23:59:59.999,6307665.79280000,38406,6662246.00000000,3062189.38990000,0
2024-12-24,0.4787,0.5251,0.4634,0.5139,15006468.0,2024-12-24 23:59:59.999,7463643.31310000,46432,7825681.00000000,3888731.31810000,0
2024-12-25,0.5139,0.5479,0.4996,0.5058,31103455.0,2024-12-25 23:59:59.999,16323650.54560000,74084,14766010.00000000,7754705.49230000,0
2024-12-26,0.5061,0.5125,0.4569,0.4615,13273602.0,2024-12-26 23:59:59.999,6377690.97440000,33132,6189741.00000000,2977571.90970000,0
2024-12-27,0.4615,0.4911,0.456,0.4753,9595581.0,2024-12-27 23:59:59.999,4558603.75700000,26376,4705918.00000000,2236148.43060000,0
2024-12-28,0.4752,0.5009,0.4705,0.4971,13555504.0,2024-12-28 23:59:59.999,6626387.94490000,30769,6584829.00000000,3221152.12100000,0
2024-12-29,0.4972,0.4972,0.4611,0.467,6243111.0,2024-12-29 23:59:59.999,3011536.55170000,18120,2805578.00000000,1351968.42080000,0
2024-12-30,0.4659,0.4869,0.445,0.4638,8515959.0,2024-12-30 23:59:59.999,3970242.54320000,24090,3691510.00000000,1720108.19240000,0
2024-12-31,0.4639,0.4754,0.4458,0.4572,7684662.0,2024-12-31 23:59:59.999,3545401.41730000,18523,3842609.00000000,1774195.61900000,0
2025-01-01,0.4567,0.4773,0.441,0.4735,10038714.0,2025-01-01 23:59:59.999,4627368.31030000,27999,5405411.00000000,2494541.60390000,0
2025-01-02,0.4735,0.5044,0.4735,0.4929,14690827.0,2025-01-02 23:59:59.999,7248561.35340000,52820,7416834.00000000,3659542.78640000,0
2025-01-03,0.4932,0.532,0.4812,0.5219,10196983.0,2025-01-03 23:59:59.999,5176737.22030000,31170,4932256.00000000,2501933.89350000,0
2025-01-04,0.5218,0.5589,0.5142,0.5353,20918485.0,2025-01-04 23:59:59.999,11306290.25530000,83478,10364448.00000000,5606819.36590000,0
2025-01-05,0.5352,0.5451,0.5233,0.5363,9314546.0,2025-01-05 23:59:59.999,4964825.19810000,28664,4276070.00000000,2282172.03520000,0
2025-01-06,0.5362,0.5577,0.5255,0.547,10670302.0,2025-01-06 23:59:59.999,5784383.52150000,37613,5359383.00000000,2904227.40740000,0
2025-01-07,0.5468,0.5479,0.4793,0.4832,12742190.0,2025-01-07 23:59:59.999,6540712.03900000,52015,5988307.00000000,3071217.75940000,0
2025-01-08,0.4835,0.51,0.4562,0.4987,19115651.0,2025-01-08 23:59:59.999,9174717.75620000,51447,9592871.00000000,4605776.18210000,0
2025-01-09,0.4987,0.5234,0.4728,0.5042,21014982.0,2025-01-09 23:59:59.999,10443614.05080000,50988,10560620.00000000,5251280.54710000,0
2025-01-10,0.5041,0.5182,0.4777,0.5087,15770748.0,2025-01-10 23:59:59.999,7789019.61920000,46077,7416915.00000000,3664287.24090000,0
2025-01-11,0.5089,0.523,0.4918,0.5009,10296023.0,2025-01-11 23:59:59.999,5179212.41820000,32409,5314017.00000000,2672997.48580000,0
2025-01-12,0.501,0.5144,0.4793,0.4892,7931957.0,2025-01-12 23:59:59.999,3954671.21330000,22129,3814307.00000000,1903664.30220000,0
2025-01-13,0.4893,0.5045,0.4284,0.4681,15749182.0,2025-01-13 23:59:59.999,7231941.24310000,43725,7618738.00000000,3497702.30300000,0
2025-01-14,0.4684,0.4914,0.4632,0.4876,7086484.0,2025-01-14 23:59:59.999,3383753.77280000,22116,3450853.00000000,1649111.74090000,0
2025-01-15,0.4877,0.5218,0.4751,0.5213,9820946.0,2025-01-15 23:59:59.999,4876033.63620000,32870,4748535.00000000,2359211.33790000,0
2025-01-16,0.521,0.5231,0.4968,0.5078,10489286.0,2025-01-16 23:59:59.999,5353024.37900000,39428,5165059.00000000,2637706.62540000,0
2025-01-17,0.5084,0.555,0.508,0.5484,13946594.0,2025-01-17 23:59:59.999,7426528.67370000,76169,6847464.00000000,3647624.79840000,0
2025-01-18,0.548,0.5531,0.4929,0.5035,12702969.0,2025-01-18 23:59:59.999,6506174.21030000,42796,5524661.00000000,2832166.91870000,0
2025-01-19,0.5031,0.5248,0.4412,0.4502,23245649.0,2025-01-19 23:59:59.999,11119957.68320000,83327,10796196.00000000,5170774.56860000,0
